date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,1,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,1,0,0,0,0
2020-03-02,0,0,1,0,0,0,0,1,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,1,0,0,0,0
2020-03-05,0,0,0,0,0,1,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,1,0,0,0,0,0
2020-03-08,0,0,1,0,0,2,1,2,0,0
2020-03-09,0,0,0,0,1,0,0,2,1,0
2020-03-10,0,0,1,0,1,1,0,1,1,0
2020-03-11,0,0,0,1,0,4,0,0,2,0
2020-03-12,0,0,3,6,2,5,1,3,5,0
2020-03-13,0,0,5,0,4,1,2,3,1,0
2020-03-14,1,0,4,4,3,3,5,1,0,0
2020-03-15,0,0,2,4,1,1,1,0,1,0
2020-03-16,0,1,13,3,5,14,9,8,6,0
2020-03-17,1,3,9,6,7,10,3,6,7,0
2020-03-18,0,2,14,8,12,20,10,11,4,0
2020-03-19,0,5,4,2,3,10,4,6,4,0
2020-03-20,0,3,8,15,11,26,17,6,9,0
2020-03-21,0,3,4,1,5,13,12,6,7,0
2020-03-22,0,2,5,4,6,5,5,7,3,0
2020-03-23,0,0,7,15,17,18,14,8,17,0
2020-03-24,0,2,13,10,13,24,11,10,16,2
2020-03-25,0,1,10,7,5,16,14,7,9,0
2020-03-26,0,1,8,7,15,21,11,10,3,0
2020-03-27,0,0,7,12,7,28,15,13,10,0
2020-03-28,0,1,1,6,7,13,2,2,12,1
2020-03-29,0,0,3,2,4,4,1,9,11,0
2020-03-30,0,1,9,15,7,13,12,14,14,0
2020-03-31,0,2,5,8,8,13,10,12,10,0
2020-04-01,0,0,11,8,9,16,6,7,12,0
2020-04-02,0,1,5,4,5,8,11,5,8,0
2020-04-03,1,0,7,6,13,8,7,4,4,0
2020-04-04,0,0,7,1,3,6,4,7,5,0
2020-04-05,0,0,3,3,1,4,2,1,1,0
2020-04-06,0,2,13,8,7,14,7,6,11,0
2020-04-07,0,0,2,7,5,10,4,4,6,0
2020-04-08,0,0,6,8,5,6,1,2,9,0
2020-04-09,1,2,4,2,5,5,4,3,1,0
2020-04-10,0,0,3,5,3,4,7,4,5,0
2020-04-11,0,1,4,1,3,5,1,3,6,0
2020-04-12,0,0,3,1,3,2,2,1,1,0
2020-04-13,0,0,3,2,4,2,0,0,3,0
2020-04-14,0,0,4,4,5,6,4,3,2,0
2020-04-15,0,0,3,2,1,3,2,0,2,0
2020-04-16,0,0,1,3,2,4,2,2,3,0
2020-04-17,0,0,2,2,1,3,2,1,6,0
2020-04-18,0,1,0,1,2,1,1,0,3,0
2020-04-19,0,0,0,1,0,2,0,1,5,0
2020-04-20,0,1,2,3,3,2,1,2,5,0
2020-04-21,0,0,1,3,1,1,1,0,1,0
2020-04-22,0,0,0,0,1,2,1,2,1,0
2020-04-23,0,0,1,2,2,2,2,1,5,0
2020-04-24,0,0,1,1,2,3,0,1,1,0
2020-04-25,0,0,1,0,0,2,0,0,2,0
2020-04-26,0,0,0,0,1,0,0,0,1,0
2020-04-27,2,0,0,5,2,5,0,1,3,0
2020-04-28,0,0,0,1,1,2,3,0,3,0
2020-04-29,0,0,2,1,1,1,1,1,0,0
2020-04-30,0,0,0,0,0,2,1,1,2,0
2020-05-01,0,0,1,1,0,2,0,0,0,0
2020-05-02,0,0,0,2,0,0,0,0,0,0
2020-05-03,0,0,1,0,1,0,0,0,0,0
2020-05-04,1,0,1,1,0,1,2,0,2,0
2020-05-05,0,0,1,0,0,1,0,0,0,0
2020-05-06,0,1,1,0,1,0,0,0,1,0
2020-05-07,0,0,0,0,0,1,0,0,0,0
2020-05-08,0,1,0,1,0,0,0,1,1,0
2020-05-09,0,1,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,1,0,0,0
2020-05-11,0,0,0,1,1,1,0,1,0,0
2020-05-12,0,0,0,0,0,0,0,0,0,0
2020-05-13,0,1,0,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,1,0,0,1,0
2020-05-15,1,2,2,1,1,1,0,1,0,0
2020-05-16,0,1,1,0,1,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,1,0,0,0,1,0
2020-05-19,0,0,0,0,0,1,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,1,0,0,0
2020-05-22,0,0,0,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,1,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,1,0,0,0,1,0
2020-05-26,0,0,1,0,0,2,0,0,0,0
2020-05-27,1,0,1,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,1,1,0,0,0,0
2020-06-01,0,0,0,0,0,0,1,0,0,0
2020-06-02,0,0,0,0,1,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,1,0,0,0,0,0,1,0,0
2020-06-05,0,0,1,0,0,1,0,0,0,0
2020-06-06,0,1,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,1,1,0,0,0,0,0
2020-06-08,0,0,1,1,0,0,3,0,0,0
2020-06-09,0,1,0,0,0,0,0,0,0,0
2020-06-10,0,0,1,0,1,1,1,0,0,0
2020-06-11,0,0,1,0,1,2,0,0,0,0
2020-06-12,0,0,0,1,1,1,1,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,2,1,1,0,1,0,0,0
2020-06-16,0,0,1,1,0,0,1,1,0,0
2020-06-17,0,0,0,0,0,1,0,0,0,0
2020-06-18,0,0,0,1,0,0,0,0,0,0
2020-06-19,0,1,4,0,1,1,1,0,0,0
2020-06-20,0,0,1,0,1,1,1,0,0,0
2020-06-21,0,0,1,0,0,0,1,0,0,0
2020-06-22,0,0,0,1,1,2,0,0,0,0
2020-06-23,0,0,0,4,0,1,0,1,0,0
2020-06-24,0,0,3,1,3,2,1,0,0,0
2020-06-25,0,0,0,4,1,2,0,0,0,0
2020-06-26,0,0,0,1,4,2,1,0,0,0
2020-06-27,0,1,0,1,0,1,0,0,0,0
2020-06-28,0,0,0,0,0,1,0,0,0,0
2020-06-29,0,0,2,2,0,1,2,1,0,0
2020-06-30,0,1,0,0,1,0,1,1,0,0
2020-07-01,0,0,0,2,0,0,1,0,0,0
2020-07-02,0,1,0,0,0,2,1,0,0,0
2020-07-03,0,0,0,2,1,1,0,0,0,0
2020-07-04,0,0,0,1,0,1,0,0,0,0
2020-07-05,0,0,1,0,1,0,0,0,0,0
2020-07-06,0,0,3,0,0,0,0,0,0,0
2020-07-07,0,0,1,0,1,0,1,0,0,0
2020-07-08,0,0,0,0,0,0,0,0,0,0
2020-07-09,0,1,0,0,1,0,0,0,0,0
2020-07-10,0,1,0,0,1,0,0,0,0,0
2020-07-11,0,1,1,0,1,1,1,0,0,0
2020-07-12,0,0,0,0,1,1,1,0,0,0
2020-07-13,0,0,2,1,0,0,0,0,0,0
2020-07-14,0,0,2,1,1,1,0,0,0,0
2020-07-15,1,0,0,0,0,1,0,0,0,0
2020-07-16,0,0,0,0,0,1,0,0,0,0
2020-07-17,0,0,0,0,0,0,2,0,0,0
2020-07-18,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,1,0,0,0,0
2020-07-20,0,0,2,0,0,0,0,1,0,0
2020-07-21,0,0,0,0,0,2,0,0,0,0
2020-07-22,0,0,1,1,1,0,0,0,0,0
2020-07-23,0,0,1,0,0,1,0,0,0,0
2020-07-24,0,0,0,1,0,0,1,0,0,0
2020-07-25,0,0,0,0,0,0,0,0,0,0
2020-07-26,0,0,0,0,1,0,0,0,0,0
2020-07-27,0,0,1,0,1,0,0,0,0,0
2020-07-28,0,0,2,0,1,0,0,0,0,0
2020-07-29,0,0,0,0,0,0,0,0,0,0
