date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,0.0,0.0,0.0,0.2941228374618376,0.0,0.0,0.0,0.0,0.0,
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8576549996998207,
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4359942510535673,
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5639648988246971,
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5500913151583163,
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6193983164753758,
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9855452307203558,
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4101403089997088,0.0,
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.07412228100942686,0.0,0.0,1.7568517217146873,
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5309433801979357,
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.4359673024523161,0.6871152154793316,1.340549960621345,
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28637376358127575,0.23548028559049036,
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878191556826053,0.8561248024492019,
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9268441882235177,1.3105163696599735,
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.4844081138359067,1.633159674021329,1.7968268038643755,
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.3158569673309139,0.45188038726149193,0.7206609902602666,
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778196936168227,1.0918381459132498,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6757806956486481,1.5098213881297842,
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6871152154793316,1.2179971255267836,
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.241467497346363,
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.09692730742724878,0.31361529439067687,2.1287126078325977,2.305249629719278,
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.7266121707538601,0.9161536206391088,4.189218626941703,
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705050660708095,2.6022285485289602,
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.09078306750538118,0.0,0.9624484689048941,2.113749943381698,
2020-04-08,0.0,0.0,0.0,0.13238264940043898,0.0,0.0,0.0,0.8961135555097541,2.4566622446746265,
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6490765171503958,1.7968268038643755,
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7538628829998069,4.214943379260605,
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.7266121707538601,1.8323072412782175,2.7134096705920663,
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7705050660708095,5.294787281920948,
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.647393640960474,
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.25472060969925137,0.0,0.0,1.2798402759335634,
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.20237916951683996,0.0,0.0,3.1681328081273166,
