date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,1,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,1,0,0,2,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,1,0,0,0,0,0
2020-03-09,0,1,2,1,3,0,0,1,0,0
2020-03-10,0,0,1,0,0,0,0,0,0,0
2020-03-11,0,0,0,1,0,1,0,5,1,0
2020-03-12,0,0,0,1,2,4,0,0,1,0
2020-03-13,0,1,1,1,2,1,0,3,0,0
2020-03-14,0,1,2,2,0,1,0,1,0,0
2020-03-15,0,0,0,0,1,1,1,0,0,0
2020-03-16,0,1,4,2,7,8,3,2,1,0
2020-03-17,0,2,6,3,8,5,3,2,0,0
2020-03-18,0,3,3,2,2,4,5,3,3,2
2020-03-19,0,1,2,2,3,5,5,0,2,0
2020-03-20,0,1,6,8,7,5,6,4,2,0
2020-03-21,0,1,1,1,1,2,1,1,1,0
2020-03-22,0,0,2,3,0,1,1,2,2,0
2020-03-23,0,1,9,8,6,17,3,1,4,0
2020-03-24,0,0,3,2,6,10,5,1,2,0
2020-03-25,0,0,5,5,4,8,7,1,0,0
2020-03-26,0,1,3,3,5,6,8,0,5,0
2020-03-27,0,0,6,5,3,4,9,3,5,0
2020-03-28,0,0,0,2,1,1,1,1,2,0
2020-03-29,0,1,0,0,0,0,0,1,0,0
2020-03-30,0,2,7,2,4,13,3,2,4,0
2020-03-31,0,1,2,2,8,9,4,3,5,2
2020-04-01,0,1,2,1,1,4,7,1,5,0
2020-04-02,1,0,4,4,2,6,4,1,0,0
2020-04-03,0,1,6,3,3,6,1,4,8,0
2020-04-04,0,0,2,0,2,3,1,0,1,0
2020-04-05,0,0,1,0,2,3,0,0,0,0
2020-04-06,0,2,5,5,10,4,4,3,3,0
2020-04-07,0,0,5,4,0,3,4,4,4,0
2020-04-08,0,0,3,3,2,0,1,2,2,0
2020-04-09,0,0,2,2,5,2,0,1,0,0
2020-04-10,0,0,3,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,3,2,1,0,2,0
2020-04-12,0,0,1,1,1,0,1,0,3,0
2020-04-13,0,0,2,0,0,1,1,2,0,0
2020-04-14,0,0,0,0,3,2,3,1,0,0
2020-04-15,0,1,2,0,2,2,2,0,1,0
2020-04-16,0,0,1,1,0,1,0,1,3,0
2020-04-17,0,0,2,2,1,2,1,2,2,0
2020-04-18,0,0,1,0,0,1,0,1,0,0
2020-04-19,0,0,0,1,0,0,1,0,1,0
2020-04-20,0,0,2,2,1,1,1,2,3,0
2020-04-21,0,0,6,4,0,0,0,1,2,0
2020-04-22,0,0,1,0,1,0,0,1,0,0
2020-04-23,0,0,4,0,0,2,0,0,0,0
2020-04-24,0,2,1,2,0,1,1,1,1,0
2020-04-25,0,0,0,1,1,2,1,0,0,0
2020-04-26,0,0,0,0,0,0,0,0,0,0
2020-04-27,0,1,1,1,0,1,0,0,1,0
2020-04-28,0,0,1,0,1,1,1,0,0,0
2020-04-29,0,0,2,0,0,0,1,0,3,0
2020-04-30,0,0,0,0,0,1,0,1,0,0
2020-05-01,0,0,1,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,0,0,1,1,0,0,0,0
2020-05-05,0,0,0,0,0,0,0,1,0,0
2020-05-06,0,0,0,0,0,1,0,2,0,0
2020-05-07,0,0,0,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,1,0,1,0
2020-05-09,0,0,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,1,0,0,0,0
2020-05-12,0,0,0,0,0,0,0,0,0,0
2020-05-13,1,0,0,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,0,0,0,0
2020-05-15,0,0,0,0,0,0,0,0,0,0
2020-05-16,0,0,0,0,0,1,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,1,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,1,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,1,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,1,0,0,0,0
2020-06-08,0,0,0,0,2,0,0,0,0,0
2020-06-09,0,0,0,0,0,1,0,0,0,0
2020-06-10,0,1,1,0,1,0,0,0,0,0
2020-06-11,0,0,0,1,0,0,1,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,1,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,1,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,1,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,1,2,0,0,0,0,0,0
2020-06-23,1,0,0,0,0,0,1,1,0,0
2020-06-24,0,0,1,0,0,0,0,1,0,0
2020-06-25,0,0,2,0,1,0,1,0,0,0
2020-06-26,0,0,1,0,0,1,0,0,0,0
2020-06-27,0,0,1,1,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,1,0,0,0
2020-06-29,1,1,3,3,4,4,0,0,0,0
2020-06-30,0,2,2,1,2,0,1,0,0,0
2020-07-01,0,0,1,2,0,1,0,0,0,0
2020-07-02,0,1,1,3,0,0,1,0,0,0
2020-07-03,0,1,0,1,3,0,1,0,0,0
2020-07-04,0,0,1,0,1,0,0,1,0,0
2020-07-05,0,0,0,1,0,0,2,0,0,0
2020-07-06,0,0,4,1,0,1,1,0,0,0
2020-07-07,0,1,1,0,1,3,0,0,0,0
2020-07-08,0,1,2,2,2,1,0,1,0,0
2020-07-09,1,0,1,0,0,1,3,0,0,0
2020-07-10,0,0,0,0,0,1,0,0,0,0
2020-07-11,0,0,0,2,0,0,1,0,0,0
2020-07-12,0,0,2,1,1,0,0,0,0,0
2020-07-13,0,1,1,0,0,0,0,0,0,0
2020-07-14,0,1,0,3,1,0,0,0,0,0
2020-07-15,0,0,0,1,0,0,1,1,0,0
2020-07-16,0,2,0,1,1,0,1,0,0,0
2020-07-17,1,1,1,2,1,1,0,0,1,0
2020-07-18,0,0,0,0,1,0,0,1,0,0
2020-07-19,0,0,0,0,0,1,0,1,0,0
2020-07-20,0,0,1,3,2,0,2,1,0,0
2020-07-21,0,0,2,3,2,0,3,0,0,0
2020-07-22,0,0,1,0,0,1,4,0,0,0
2020-07-23,0,0,1,0,0,0,2,0,0,0
2020-07-24,1,0,3,2,1,1,2,0,0,0
2020-07-25,0,0,1,1,0,0,0,0,0,0
2020-07-26,0,0,1,0,0,0,0,0,0,0
2020-07-27,0,0,1,4,3,2,2,0,0,0
2020-07-28,0,0,2,1,2,0,0,0,0,0
2020-07-29,0,0,4,1,1,1,1,1,0,0
2020-07-30,0,0,1,1,0,0,0,0,0,0
2020-07-31,0,1,1,0,1,0,0,1,0,0
2020-08-01,0,0,0,0,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,0,2,0,0,0
2020-08-03,0,0,4,0,1,0,0,1,0,0
2020-08-04,0,1,4,2,3,1,2,1,0,0
2020-08-05,0,3,3,3,0,1,0,0,0,0
2020-08-06,0,2,2,0,0,2,3,0,0,0
2020-08-07,0,0,5,1,3,1,0,0,0,0
2020-08-08,0,0,0,1,1,1,0,0,0,0
2020-08-09,0,3,2,0,0,1,1,0,0,0
2020-08-10,0,5,2,2,0,2,2,0,0,0
2020-08-11,0,0,4,1,1,3,1,0,0,0
2020-08-12,0,2,6,1,0,1,0,0,0,0
2020-08-13,0,0,11,2,2,0,1,0,0,0
2020-08-14,0,0,5,0,0,0,1,0,0,0
2020-08-15,0,0,3,0,1,0,0,0,0,0
2020-08-16,0,1,1,0,0,4,0,0,0,0
2020-08-17,0,2,7,4,3,0,0,0,1,0
2020-08-18,1,3,6,2,2,2,1,0,0,0
2020-08-19,0,0,3,3,1,1,1,0,0,0
2020-08-20,0,1,6,5,4,1,2,0,0,0
2020-08-21,0,0,0,3,1,1,0,0,0,0
2020-08-22,0,0,2,0,0,0,0,0,0,0
2020-08-23,0,0,1,0,1,0,0,0,0,0
2020-08-24,0,0,4,1,2,2,1,0,0,0
2020-08-25,0,2,2,1,4,0,1,0,0,0
2020-08-26,0,0,4,2,0,3,0,0,0,0
2020-08-27,0,0,0,1,0,1,0,0,0,0
2020-08-28,0,1,2,2,0,2,0,0,0,0
2020-08-29,0,0,2,0,1,0,0,0,0,0
2020-08-30,0,0,0,0,0,0,0,0,0,0
2020-08-31,1,1,3,1,1,1,0,0,0,0
2020-09-01,0,3,3,0,1,2,0,3,1,0
2020-09-02,0,1,2,2,2,2,0,0,0,0
2020-09-03,0,5,5,1,0,3,3,0,0,0
2020-09-04,0,2,6,2,2,2,0,0,0,0
2020-09-05,0,2,1,2,1,0,0,1,0,0
2020-09-06,0,1,2,0,0,0,0,2,1,0
2020-09-07,0,4,10,4,1,2,3,0,1,0
2020-09-08,0,2,5,2,1,2,0,1,0,0
2020-09-09,0,4,6,6,1,1,1,1,0,0
2020-09-10,0,2,5,3,2,1,2,0,0,0
2020-09-11,0,6,5,0,1,2,1,0,0,0
2020-09-12,0,2,3,0,0,2,0,0,0,0
2020-09-13,0,0,0,0,0,0,0,1,2,0
2020-09-14,0,5,3,2,3,5,3,0,1,0
2020-09-15,1,0,8,2,4,3,1,0,0,0
2020-09-16,0,4,5,5,7,4,2,1,0,0
2020-09-17,0,1,10,5,1,3,1,0,0,0
2020-09-18,0,1,10,5,5,1,2,0,0,0
2020-09-19,0,0,6,0,0,0,1,0,1,0
2020-09-20,0,0,2,2,1,1,0,0,0,0
2020-09-21,1,5,8,4,4,2,2,0,0,0
2020-09-22,0,1,3,3,2,6,0,1,0,0
2020-09-23,0,3,2,0,1,2,1,0,1,0
2020-09-24,0,1,3,0,2,4,1,1,0,0
2020-09-25,0,3,3,0,1,0,0,1,1,0
2020-09-26,0,0,1,0,0,1,2,0,0,0
2020-09-27,0,0,0,0,1,0,0,0,0,0
2020-09-28,0,1,2,5,2,4,3,0,0,0
2020-09-29,0,1,8,4,0,6,2,2,2,0
2020-09-30,0,4,6,7,2,1,1,1,1,0
2020-10-01,2,8,6,1,6,9,3,1,0,0
2020-10-02,1,1,6,7,5,6,6,1,0,0
2020-10-03,3,4,2,5,4,1,4,0,1,0
2020-10-04,0,3,2,1,1,0,0,0,0,0
2020-10-05,1,17,9,14,15,8,4,5,2,0
2020-10-06,0,11,11,8,5,6,7,1,2,0
2020-10-07,1,10,16,10,10,13,12,3,2,0
2020-10-08,1,11,23,8,6,9,4,4,3,0
2020-10-09,0,9,31,17,13,12,10,3,1,0
2020-10-10,1,1,11,4,7,6,6,1,2,0
2020-10-11,0,3,10,1,3,6,1,1,1,0
2020-10-12,0,17,38,27,17,36,31,16,6,0
2020-10-13,0,9,29,25,28,28,16,10,8,0
2020-10-14,1,21,38,34,20,31,24,16,6,0
2020-10-15,1,7,42,27,20,26,18,9,17,0
2020-10-16,0,14,49,29,28,32,24,14,6,0
2020-10-17,1,4,20,12,14,20,6,5,8,0
2020-10-18,0,1,10,11,7,7,6,6,11,0
2020-10-19,3,28,86,61,53,74,44,22,19,0
2020-10-20,2,27,61,54,49,68,44,19,21,0
2020-10-21,1,49,71,74,54,61,48,21,12,0
2020-10-22,1,38,63,48,40,56,45,18,30,0
2020-10-23,6,44,84,59,52,64,42,31,22,0
2020-10-24,0,8,25,34,25,21,12,12,3,0
2020-10-25,2,5,18,6,11,11,2,2,5,0
2020-10-26,1,58,128,118,110,138,69,37,36,0
2020-10-27,2,47,82,93,73,91,73,39,30,0
2020-10-28,1,42,89,57,70,77,40,26,44,0
2020-10-29,2,38,94,54,62,77,56,40,45,0
2020-10-30,3,46,96,81,64,72,53,33,36,0
2020-10-31,1,10,29,20,31,27,20,7,15,0
2020-11-01,0,6,21,18,15,15,8,6,3,0
2020-11-02,2,26,111,83,107,94,73,36,46,0
2020-11-03,0,17,42,39,26,37,18,22,15,0
2020-11-04,0,0,0,0,0,0,0,0,0,0
