date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,1,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,1,0,0,2,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,3,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,2,0,0
2020-03-12,0,0,0,0,1,0,0,0,0,0
2020-03-13,0,0,0,0,1,1,0,3,0,0
2020-03-14,0,1,2,2,0,1,0,0,0,0
2020-03-15,0,0,0,0,0,0,1,0,0,0
2020-03-16,0,0,2,1,1,3,2,0,1,0
2020-03-17,0,2,3,0,4,3,1,1,0,0
2020-03-18,0,1,0,2,0,1,2,1,1,1
2020-03-19,0,1,2,1,2,0,3,0,1,0
2020-03-20,0,1,4,3,5,2,1,4,0,0
2020-03-21,0,0,0,1,1,0,0,0,0,0
2020-03-22,0,0,0,2,0,1,0,2,0,0
2020-03-23,0,0,6,5,2,8,1,1,1,0
2020-03-24,0,0,2,2,2,6,2,1,0,0
2020-03-25,0,0,3,3,2,4,2,0,0,0
2020-03-26,0,1,0,3,3,2,4,0,2,0
2020-03-27,0,0,3,3,1,3,4,1,2,0
2020-03-28,0,0,0,2,1,1,0,0,1,0
2020-03-29,0,0,0,0,0,0,0,0,0,0
2020-03-30,0,1,5,1,2,6,0,0,2,0
2020-03-31,0,0,0,2,6,6,2,1,2,1
2020-04-01,0,1,1,0,0,1,0,0,3,0
2020-04-02,0,0,2,2,2,3,2,1,0,0
2020-04-03,0,1,1,0,1,1,0,2,5,0
2020-04-04,0,0,1,0,1,1,1,0,1,0
2020-04-05,0,0,1,0,2,3,0,0,0,0
2020-04-06,0,1,5,3,7,3,3,2,4,0
2020-04-07,0,0,1,3,0,2,3,2,1,0
2020-04-08,0,0,1,1,1,0,1,0,1,0
2020-04-09,0,0,1,2,3,2,0,0,0,0
2020-04-10,0,0,2,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,2,1,0,0,2,0
2020-04-12,0,0,1,1,1,0,0,0,2,0
2020-04-13,0,0,2,0,0,0,1,1,0,0
2020-04-14,0,0,0,0,1,0,1,0,0,0
2020-04-15,0,1,1,0,1,2,1,0,0,0
2020-04-16,0,0,1,0,0,1,0,0,4,0
2020-04-17,0,0,1,1,1,0,1,1,1,0
2020-04-18,0,0,1,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0,0,0,0
2020-04-20,0,0,1,1,1,1,1,0,3,0
2020-04-21,0,0,2,2,0,0,0,1,1,0
2020-04-22,0,0,1,0,1,0,0,1,0,0
2020-04-23,0,0,3,0,0,0,0,0,0,0
2020-04-24,0,1,1,1,0,0,0,1,0,0
2020-04-25,0,0,0,1,0,1,0,0,0,0
2020-04-26,0,0,0,0,0,0,0,0,0,0
2020-04-27,0,1,1,0,0,1,0,0,1,0
2020-04-28,0,0,0,0,0,1,1,0,0,0
2020-04-29,0,0,2,0,0,0,0,0,1,0
2020-04-30,0,0,0,0,0,1,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,0,0,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,0,0,1,0,0
2020-05-06,0,0,0,0,0,1,0,1,0,0
2020-05-07,0,0,0,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,1,0,0,0
2020-05-09,0,0,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,1,0,0,0,0
2020-05-12,0,0,0,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,0,0,0,0
2020-05-15,0,0,0,0,0,0,0,0,0,0
2020-05-16,0,0,0,0,0,1,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,1,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,1,0,0,0,0,0
2020-06-09,0,0,0,0,0,1,0,0,0,0
2020-06-10,0,1,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,1,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,1,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,1,0,0
2020-06-24,0,0,0,0,0,0,0,0,0,0
2020-06-25,0,0,1,0,1,0,0,0,0,0
2020-06-26,0,0,1,0,0,0,0,0,0,0
2020-06-27,0,0,1,1,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,1,0,0,0
2020-06-29,1,1,0,1,1,2,0,0,0,0
2020-06-30,0,1,1,1,0,0,0,0,0,0
2020-07-01,0,0,1,1,0,1,0,0,0,0
2020-07-02,0,0,1,1,0,0,1,0,0,0
2020-07-03,0,0,0,0,1,0,0,0,0,0
2020-07-04,0,0,1,0,1,0,0,1,0,0
2020-07-05,0,0,0,0,0,0,1,0,0,0
2020-07-06,0,0,0,0,0,0,1,0,0,0
2020-07-07,0,1,1,0,1,3,0,0,0,0
2020-07-08,0,1,2,1,0,1,0,0,0,0
2020-07-09,1,0,0,0,0,0,2,0,0,0
2020-07-10,0,0,0,0,0,0,0,0,0,0
2020-07-11,0,0,0,1,0,0,1,0,0,0
2020-07-12,0,0,2,0,0,0,0,0,0,0
2020-07-13,0,1,0,0,0,0,0,0,0,0
2020-07-14,0,1,0,2,0,0,0,0,0,0
2020-07-15,0,0,0,0,0,0,0,1,0,0
2020-07-16,0,0,0,0,0,0,1,0,0,0
2020-07-17,1,1,1,2,0,1,0,0,0,0
2020-07-18,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,1,0,0,0,0
2020-07-20,0,0,1,0,1,0,1,1,0,0
2020-07-21,0,0,1,0,2,0,3,0,0,0
2020-07-22,0,0,1,0,0,1,3,0,0,0
2020-07-23,0,0,0,0,0,0,2,0,0,0
2020-07-24,0,0,2,0,0,0,1,0,0,0
2020-07-25,0,0,1,0,0,0,0,0,0,0
2020-07-26,0,0,1,0,0,0,0,0,0,0
2020-07-27,0,0,1,1,0,1,1,0,0,0
2020-07-28,0,0,1,1,1,0,0,0,0,0
2020-07-29,0,0,3,0,1,0,0,0,0,0
2020-07-30,0,0,0,0,0,0,0,0,0,0
2020-07-31,0,1,0,0,1,0,0,0,0,0
2020-08-01,0,0,0,0,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,0,0,0,0,0
2020-08-03,0,0,3,0,1,0,0,0,0,0
2020-08-04,0,1,2,1,1,1,1,1,0,0
2020-08-05,0,0,3,1,0,0,0,0,0,0
2020-08-06,0,0,0,0,0,1,1,0,0,0
2020-08-07,0,0,0,0,2,1,0,0,0,0
2020-08-08,0,0,0,1,0,0,0,0,0,0
2020-08-09,0,2,1,0,0,0,1,0,0,0
2020-08-10,0,2,1,2,0,0,1,0,0,0
2020-08-11,0,0,2,1,0,2,0,0,0,0
2020-08-12,0,0,2,0,0,0,0,0,0,0
2020-08-13,0,0,6,1,0,0,0,0,0,0
2020-08-14,0,0,2,0,0,0,1,0,0,0
2020-08-15,0,0,0,0,0,0,0,0,0,0
2020-08-16,0,0,0,0,0,3,0,0,0,0
2020-08-17,0,0,4,2,3,0,0,0,1,0
2020-08-18,1,1,3,0,1,1,0,0,0,0
2020-08-19,0,0,2,1,0,0,0,0,0,0
2020-08-20,0,1,3,4,1,1,1,0,0,0
2020-08-21,0,0,0,0,0,0,0,0,0,0
2020-08-22,0,0,1,0,0,0,0,0,0,0
2020-08-23,0,0,1,0,0,0,0,0,0,0
2020-08-24,0,0,2,1,1,1,1,0,0,0
2020-08-25,0,1,1,0,3,0,1,0,0,0
2020-08-26,0,0,3,1,0,2,0,0,0,0
2020-08-27,0,0,0,1,0,1,0,0,0,0
2020-08-28,0,1,0,2,0,2,0,0,0,0
2020-08-29,0,0,2,0,1,0,0,0,0,0
2020-08-30,0,0,0,0,0,0,0,0,0,0
2020-08-31,1,0,0,0,0,0,0,0,0,0
2020-09-01,0,1,1,0,0,0,0,1,1,0
2020-09-02,0,0,1,1,2,1,0,0,0,0
2020-09-03,0,1,1,0,0,1,0,0,0,0
2020-09-04,0,2,1,1,1,1,0,0,0,0
2020-09-05,0,0,0,0,1,0,0,0,0,0
2020-09-06,0,0,2,0,0,0,0,1,0,0
2020-09-07,0,1,5,1,1,0,2,0,1,0
2020-09-08,0,1,3,0,0,0,0,1,0,0
2020-09-09,0,3,2,3,1,0,1,0,0,0
2020-09-10,0,1,3,3,1,1,0,0,0,0
2020-09-11,0,6,2,0,0,0,1,0,0,0
2020-09-12,0,1,2,0,0,1,0,0,0,0
2020-09-13,0,0,0,0,0,0,0,1,1,0
2020-09-14,0,3,3,1,0,3,2,0,0,0
2020-09-15,1,0,2,2,1,2,0,0,0,0
2020-09-16,0,2,2,3,4,2,0,0,0,0
2020-09-17,0,0,5,1,0,1,0,0,0,0
2020-09-18,0,1,7,2,3,0,1,0,0,0
2020-09-19,0,0,3,0,0,0,0,0,1,0
2020-09-20,0,0,1,1,1,0,0,0,0,0
2020-09-21,0,3,3,1,2,2,0,0,0,0
2020-09-22,0,0,2,0,1,4,0,1,0,0
2020-09-23,0,1,1,0,0,2,0,0,0,0
2020-09-24,0,1,2,0,2,2,0,1,0,0
2020-09-25,0,2,1,0,0,0,0,0,0,0
2020-09-26,0,0,0,0,0,0,1,0,0,0
2020-09-27,0,0,0,0,0,0,0,0,0,0
2020-09-28,0,0,2,2,1,1,1,0,0,0
2020-09-29,0,1,3,2,0,3,0,0,0,0
2020-09-30,0,3,4,7,1,0,0,0,1,0
2020-10-01,2,4,3,0,4,3,1,1,1,0
2020-10-02,0,0,5,3,4,3,4,1,0,0
2020-10-03,1,1,1,2,2,0,1,0,0,0
2020-10-04,0,3,1,1,1,0,0,0,0,0
2020-10-05,0,10,5,6,8,3,2,2,0,0
2020-10-06,0,4,4,5,2,5,5,1,1,0
2020-10-07,0,6,8,4,5,6,6,2,2,0
2020-10-08,0,8,13,3,4,6,2,2,2,0
2020-10-09,0,5,12,10,6,8,4,3,1,0
2020-10-10,1,0,6,4,1,4,5,1,0,0
2020-10-11,0,2,2,0,2,2,0,0,0,0
2020-10-12,0,12,14,12,4,16,20,3,2,0
2020-10-13,0,3,13,10,14,13,10,3,5,0
2020-10-14,1,15,16,14,11,15,15,7,4,0
2020-10-15,0,4,16,13,10,12,11,2,13,0
2020-10-16,0,11,30,13,14,14,12,9,3,0
2020-10-17,0,1,8,4,5,8,2,2,6,0
2020-10-18,0,1,8,5,4,3,6,5,6,0
2020-10-19,2,18,39,24,32,33,17,14,11,0
2020-10-20,0,17,31,25,21,37,27,10,12,0
2020-10-21,1,31,34,36,28,28,18,9,9,0
2020-10-22,1,19,29,19,14,29,19,6,21,0
2020-10-23,2,27,43,28,28,33,23,17,30,0
2020-10-24,0,4,9,16,10,14,7,2,1,0
2020-10-25,1,2,9,4,7,7,0,1,3,0
2020-10-26,1,29,49,56,56,79,36,19,40,0
2020-10-27,0,21,36,48,32,51,33,19,16,0
2020-10-28,1,17,40,22,34,42,14,9,32,0
2020-10-29,2,18,47,25,31,40,19,19,24,0
2020-10-30,1,21,45,41,39,43,25,18,21,0
2020-10-31,0,5,12,9,18,15,7,3,12,0
2020-11-01,0,2,13,7,9,7,2,2,2,0
2020-11-02,1,20,69,48,66,57,39,19,90,0
2020-11-03,3,21,48,33,35,39,25,46,100,0
2020-11-04,1,21,36,40,43,36,28,16,18,0
2020-11-05,0,19,40,27,27,21,21,10,19,0
2020-11-06,1,17,58,34,40,45,24,16,92,0
2020-11-07,0,4,10,9,10,13,4,5,10,0
2020-11-08,2,4,9,3,6,5,8,1,35,0
2020-11-09,1,25,54,49,49,62,25,21,100,0
2020-11-10,1,14,32,38,42,33,22,13,57,0
2020-11-11,3,10,19,12,18,14,9,6,6,0
2020-11-12,0,0,0,0,0,0,0,0,0,0
