date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,1,0,0,0,0,0,0
2020-02-27,0,0,0,1,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,3,1,0,0,0,0,0,0
2020-03-01,0,0,1,1,0,0,0,0,0,0
2020-03-02,0,0,4,1,0,0,0,0,0,0
2020-03-03,0,0,0,1,0,0,0,0,0,0
2020-03-04,0,0,0,3,1,0,1,0,0,0
2020-03-05,0,1,1,1,1,0,1,0,0,0
2020-03-06,0,0,1,1,2,1,0,0,0,0
2020-03-07,0,0,2,1,1,2,1,0,0,0
2020-03-08,0,0,2,0,1,1,0,2,1,0
2020-03-09,0,0,1,4,1,2,3,1,1,0
2020-03-10,1,3,4,6,8,7,3,0,1,0
2020-03-11,1,1,9,5,6,11,4,3,0,0
2020-03-12,3,1,5,6,5,10,4,1,4,0
2020-03-13,0,2,4,15,5,16,5,2,4,0
2020-03-14,0,0,3,6,6,11,1,7,0,0
2020-03-15,0,0,3,7,8,11,5,4,0,0
2020-03-16,0,3,18,21,19,38,18,11,5,2
2020-03-17,1,6,14,20,21,28,25,9,6,0
2020-03-18,0,9,17,19,20,35,13,10,11,0
2020-03-19,1,2,15,27,23,29,26,4,7,2
2020-03-20,0,9,13,23,20,26,26,12,12,0
2020-03-21,1,2,3,11,10,21,7,7,8,2
2020-03-22,0,3,4,9,4,9,8,6,7,0
2020-03-23,0,11,21,21,29,37,33,14,10,0
2020-03-24,2,4,19,19,23,28,20,13,12,0
2020-03-25,0,8,12,19,16,21,17,10,7,1
2020-03-26,0,6,17,16,20,19,11,11,13,1
2020-03-27,2,8,23,21,27,39,13,20,7,0
2020-03-28,1,0,9,11,10,19,6,10,5,0
2020-03-29,0,0,4,5,10,9,2,3,6,0
2020-03-30,0,7,23,19,24,34,18,11,22,0
2020-03-31,3,9,14,11,27,21,15,11,17,0
2020-04-01,1,5,20,12,27,19,14,7,10,0
2020-04-02,0,3,6,20,17,21,17,10,21,0
2020-04-03,1,6,16,16,22,22,14,9,27,0
2020-04-04,0,4,7,6,7,5,4,8,2,0
2020-04-05,0,0,2,2,5,1,3,3,6,0
2020-04-06,0,4,12,13,14,23,15,5,11,1
2020-04-07,0,1,14,12,17,18,13,5,7,0
2020-04-08,1,5,10,7,11,12,9,5,1,0
2020-04-09,1,2,7,7,6,9,9,8,3,0
2020-04-10,1,2,4,4,6,4,2,3,8,0
2020-04-11,0,0,2,2,4,2,3,2,3,0
2020-04-12,2,0,0,2,2,7,6,3,9,0
2020-04-13,1,0,3,6,1,2,2,1,1,0
2020-04-14,2,2,5,9,6,8,10,5,7,0
2020-04-15,0,6,6,3,4,1,2,2,4,0
2020-04-16,1,4,6,10,7,2,2,2,6,0
2020-04-17,0,3,6,4,7,4,1,0,4,0
2020-04-18,0,1,1,3,0,2,1,2,3,0
2020-04-19,1,2,0,1,2,2,0,0,0,0
2020-04-20,0,0,1,3,8,8,3,2,3,0
2020-04-21,0,1,8,7,8,4,2,2,3,0
2020-04-22,0,1,6,3,2,3,2,2,1,0
2020-04-23,0,0,1,6,3,6,3,3,2,0
2020-04-24,0,1,4,6,4,3,3,1,4,0
2020-04-25,0,0,2,1,2,3,2,2,3,0
2020-04-26,1,2,1,1,1,0,2,1,0,0
2020-04-27,0,0,2,4,7,3,2,0,3,0
2020-04-28,0,3,3,3,3,4,3,1,3,0
2020-04-29,1,0,2,0,0,2,0,1,0,0
2020-04-30,1,0,2,1,2,3,0,0,2,0
2020-05-01,0,0,0,0,0,0,0,0,0,0
2020-05-02,0,0,1,0,1,1,1,0,0,0
2020-05-03,0,0,2,0,0,0,0,0,0,0
2020-05-04,1,0,6,3,2,3,1,2,0,0
2020-05-05,0,2,1,2,3,3,1,1,0,0
2020-05-06,1,0,2,1,1,3,2,0,2,0
2020-05-07,1,0,0,2,1,1,0,0,1,0
2020-05-08,0,1,0,0,2,0,0,0,0,0
2020-05-09,0,0,0,0,1,0,0,0,0,0
2020-05-10,0,1,0,0,0,1,0,0,0,0
2020-05-11,0,0,1,2,1,0,2,0,0,0
2020-05-12,1,1,1,0,1,2,1,0,0,0
2020-05-13,0,0,0,1,0,0,0,0,0,0
2020-05-14,0,1,0,0,1,1,0,1,0,0
2020-05-15,0,0,0,1,2,0,0,1,0,0
2020-05-16,0,0,0,0,1,0,0,0,0,0
2020-05-17,0,0,0,0,1,1,2,0,0,0
2020-05-18,0,0,1,0,0,0,1,0,0,0
2020-05-19,0,0,0,0,0,1,0,0,0,0
2020-05-20,0,0,0,1,0,1,0,0,0,0
2020-05-21,0,0,0,0,1,0,1,0,0,0
2020-05-22,0,0,0,0,0,0,0,1,0,0
2020-05-23,0,0,1,0,0,0,0,0,1,0
2020-05-24,1,0,1,0,0,0,0,0,0,0
2020-05-25,0,0,1,1,2,1,1,0,0,0
2020-05-26,0,1,0,0,1,0,0,0,0,0
2020-05-27,2,1,0,1,1,0,0,0,0,0
2020-05-28,0,5,0,2,0,1,0,0,0,0
2020-05-29,0,0,2,1,0,0,0,1,0,0
2020-05-30,0,0,0,0,1,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,1,0,0,1,0,0,0,0,0
2020-06-03,1,4,2,2,0,1,0,0,0,0
2020-06-04,0,1,0,2,0,0,0,0,0,0
2020-06-05,1,0,0,2,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,1,1,0,0,1,0,0,0
2020-06-09,0,0,1,0,0,0,1,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0
2020-06-11,2,0,1,0,1,0,0,0,0,0
2020-06-12,0,1,2,1,3,1,0,0,0,0
2020-06-13,0,0,1,2,0,0,0,0,1,0
2020-06-14,2,0,1,0,0,0,1,1,1,0
2020-06-15,0,2,2,0,1,2,0,0,0,0
2020-06-16,0,0,1,1,0,0,2,0,0,0
2020-06-17,1,0,1,3,0,0,0,0,0,0
2020-06-18,0,0,1,0,1,1,1,0,0,0
2020-06-19,0,1,2,2,0,0,0,0,0,0
2020-06-20,0,0,1,1,1,2,0,1,0,0
2020-06-21,0,0,1,0,1,0,0,0,0,0
2020-06-22,0,0,3,1,2,0,0,0,0,0
2020-06-23,0,1,1,0,1,2,1,0,0,0
2020-06-24,3,1,5,1,4,2,0,1,0,0
2020-06-25,0,0,6,3,2,0,0,0,0,0
2020-06-26,0,2,9,4,7,2,3,0,0,0
2020-06-27,0,1,0,4,1,2,0,0,0,0
2020-06-28,0,1,2,0,0,0,0,0,0,0
2020-06-29,0,2,9,13,6,5,3,1,1,0
2020-06-30,2,1,14,9,8,7,6,0,2,0
2020-07-01,0,5,9,7,8,4,2,0,0,0
2020-07-02,1,3,15,7,5,7,2,0,0,0
2020-07-03,0,1,4,8,3,1,0,2,1,0
2020-07-04,0,1,1,0,0,2,1,0,0,0
2020-07-05,0,0,3,0,1,1,3,0,3,0
2020-07-06,0,1,3,3,2,4,4,1,1,0
2020-07-07,2,1,8,9,2,3,2,1,0,0
2020-07-08,0,0,4,5,3,4,2,1,0,0
2020-07-09,1,2,8,4,2,0,1,1,0,0
2020-07-10,0,2,7,6,4,2,2,0,1,0
2020-07-11,2,3,1,6,2,3,3,0,2,0
2020-07-12,0,1,2,2,0,1,3,0,1,0
2020-07-13,0,0,2,5,6,5,2,0,0,0
2020-07-14,0,1,7,7,2,7,2,2,1,0
2020-07-15,0,0,9,4,2,2,3,0,0,0
2020-07-16,1,2,5,5,3,2,3,1,1,0
2020-07-17,0,2,5,3,4,2,0,0,1,0
2020-07-18,0,2,4,8,2,6,2,4,0,0
2020-07-19,0,0,3,1,2,0,0,0,1,0
2020-07-20,1,1,6,9,3,4,2,3,1,0
2020-07-21,0,2,9,4,2,6,2,2,1,0
2020-07-22,0,0,3,8,6,6,2,0,2,0
2020-07-23,0,1,5,5,2,2,3,1,0,0
2020-07-24,0,2,10,2,1,4,3,0,1,0
2020-07-25,0,1,4,2,4,4,1,1,1,0
2020-07-26,0,0,2,1,0,1,0,1,0,0
2020-07-27,0,2,10,7,4,8,8,0,0,0
2020-07-28,0,2,8,6,3,0,1,0,0,0
2020-07-29,1,2,5,2,2,3,6,0,0,0
2020-07-30,2,1,2,5,3,4,1,1,0,0
2020-07-31,0,0,0,0,0,0,0,0,0,0
