date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,1,0,0,0,0,0,0,0
2020-02-27,0,0,0,1,0,1,0,0,0,0
2020-02-28,0,0,1,1,1,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,1,0,0,0,0,0,0
2020-03-02,0,1,0,0,0,0,0,1,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,1,0,0,0,0
2020-03-05,0,0,0,1,0,1,0,0,0,0
2020-03-06,0,0,5,2,2,2,1,0,0,0
2020-03-07,0,0,0,2,0,0,0,0,0,0
2020-03-08,0,0,0,1,2,2,1,0,1,0
2020-03-09,1,0,0,2,5,3,0,1,0,0
2020-03-10,0,1,1,3,2,2,1,1,0,0
2020-03-11,0,0,3,1,1,5,2,1,0,0
2020-03-12,0,0,1,3,1,4,1,5,3,0
2020-03-13,0,2,5,4,5,3,5,3,1,0
2020-03-14,0,2,4,6,4,9,8,0,4,0
2020-03-15,0,0,1,2,1,4,2,1,1,0
2020-03-16,0,2,8,7,6,12,8,5,3,0
2020-03-17,1,0,7,15,16,16,8,7,1,0
2020-03-18,0,0,5,6,12,10,8,4,10,0
2020-03-19,0,1,4,4,6,7,3,4,1,0
2020-03-20,0,2,3,4,4,8,5,0,3,0
2020-03-21,0,2,9,6,7,22,5,9,5,0
2020-03-22,0,0,3,10,4,9,5,4,7,0
2020-03-23,0,1,10,11,13,16,7,5,2,0
2020-03-24,0,1,6,8,12,14,8,9,9,0
2020-03-25,0,1,8,15,14,6,4,7,13,0
2020-03-26,0,1,6,11,21,17,11,12,2,0
2020-03-27,0,2,3,7,14,22,14,8,13,0
2020-03-28,1,0,7,16,16,20,18,11,9,0
2020-03-29,0,0,6,5,10,7,8,6,4,0
2020-03-30,0,4,13,12,22,14,16,14,14,0
2020-03-31,0,2,10,23,17,37,15,10,11,0
2020-04-01,0,3,18,14,18,41,11,6,8,0
2020-04-02,1,3,9,21,21,28,9,7,8,0
2020-04-03,2,2,13,18,17,13,8,6,8,0
2020-04-04,0,2,5,3,13,10,7,5,6,0
2020-04-05,0,1,5,5,9,7,2,2,2,0
2020-04-06,0,4,14,18,12,16,14,4,8,0
2020-04-07,0,2,14,6,15,12,9,6,5,0
2020-04-08,1,2,7,8,11,7,7,4,10,0
2020-04-09,0,0,9,6,12,2,2,4,8,0
2020-04-10,0,0,6,3,3,7,0,0,6,0
2020-04-11,0,1,4,2,5,5,2,2,3,0
2020-04-12,0,0,3,3,1,2,0,2,2,0
2020-04-13,0,0,3,4,1,0,1,1,5,0
2020-04-14,0,1,5,4,6,2,4,0,5,0
2020-04-15,1,4,11,2,3,8,1,1,2,0
2020-04-16,0,2,3,8,4,9,1,1,2,0
2020-04-17,0,1,2,5,6,3,1,0,4,0
2020-04-18,0,1,2,1,0,6,0,1,1,0
2020-04-19,0,0,1,0,2,1,0,1,0,0
2020-04-20,0,1,4,3,3,2,1,1,3,0
2020-04-21,0,0,0,2,1,2,2,0,5,0
2020-04-22,1,0,1,2,2,2,0,0,2,0
2020-04-23,0,1,1,1,0,5,3,1,2,0
2020-04-24,2,0,2,0,1,0,1,2,1,0
2020-04-25,0,0,0,0,0,1,0,0,2,0
2020-04-26,0,0,0,2,2,0,1,0,0,0
2020-04-27,0,0,0,0,1,2,3,0,1,0
2020-04-28,2,0,1,0,1,1,0,0,3,0
2020-04-29,0,0,2,0,2,0,2,0,1,0
2020-04-30,0,0,1,0,0,1,1,0,1,0
2020-05-01,0,0,2,2,3,1,2,0,0,0
2020-05-02,0,0,2,0,0,0,0,1,0,0
2020-05-03,0,0,0,0,0,1,1,0,0,0
2020-05-04,0,0,0,2,0,1,0,0,0,0
2020-05-05,1,0,1,2,0,1,0,0,0,0
2020-05-06,0,0,0,0,0,1,0,0,0,0
2020-05-07,0,0,0,0,1,0,0,0,0,0
2020-05-08,1,0,0,0,0,1,0,0,0,0
2020-05-09,0,0,0,0,0,2,0,0,0,0
2020-05-10,0,0,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,1,0,0,0,0,0
2020-05-12,0,0,0,1,0,1,0,0,0,0
2020-05-13,0,0,0,0,0,0,1,0,0,0
2020-05-14,0,0,1,1,1,1,0,0,1,0
2020-05-15,0,1,0,0,0,0,1,0,1,0
2020-05-16,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,1,1,0,0,0,0,0,0
2020-05-19,0,1,1,0,0,1,0,0,0,0
2020-05-20,0,0,0,0,1,0,1,0,0,0
2020-05-21,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,1,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,1,0,0,0,0
2020-05-26,0,1,1,0,0,0,0,1,0,0
2020-05-27,0,0,0,0,1,1,0,0,0,0
2020-05-28,0,0,0,0,1,0,0,1,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,2,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,1,0,0,0,0,1,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,1,0
2020-06-05,0,0,0,1,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,1,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,1,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,1,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,1,0,1,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,1,0,1,0,0,0
2020-06-20,1,0,1,0,0,0,0,0,1,0
2020-06-21,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,1,1,0,0,0,0,0,0
2020-06-23,0,0,1,0,0,0,0,0,0,0
2020-06-24,0,1,0,0,0,0,0,0,0,0
2020-06-25,0,0,0,0,1,0,0,0,0,0
2020-06-26,0,0,1,0,0,1,0,0,0,0
2020-06-27,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,2,0,0,1,0,0,0,0
2020-06-30,0,0,0,0,0,0,0,0,0,0
2020-07-01,0,0,0,0,0,0,0,0,0,0
2020-07-02,0,1,0,1,1,0,0,0,0,0
2020-07-03,0,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,1,0,1,0,0,0,1,0
2020-07-05,0,0,0,1,1,0,0,0,0,0
2020-07-06,0,0,0,1,2,2,0,0,0,0
2020-07-07,0,0,0,2,2,0,0,0,0,0
2020-07-08,0,0,0,3,0,2,0,0,0,0
2020-07-09,0,0,0,1,0,2,0,0,0,0
2020-07-10,0,0,1,3,0,1,0,0,0,0
2020-07-11,0,0,0,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,1,0,0,0,0,0
2020-07-13,0,0,1,3,1,0,1,0,0,0
2020-07-14,0,0,0,3,2,0,0,0,0,0
2020-07-15,0,0,5,6,3,0,1,0,1,0
2020-07-16,0,0,2,4,0,1,2,0,0,0
2020-07-17,0,0,0,0,1,0,0,0,0,0
2020-07-18,0,0,2,1,2,1,3,0,0,0
2020-07-19,0,0,1,1,0,0,1,0,0,0
2020-07-20,0,0,2,2,0,1,0,0,0,0
2020-07-21,1,2,1,4,3,2,1,0,0,0
2020-07-22,0,0,5,3,3,0,1,0,0,0
2020-07-23,0,1,13,11,1,1,2,0,0,0
2020-07-24,0,1,7,6,0,2,1,2,1,0
2020-07-25,0,2,9,4,2,1,1,1,0,0
2020-07-26,0,1,8,3,3,1,1,0,0,0
2020-07-27,0,3,8,5,6,2,1,0,0,0
2020-07-28,1,1,11,10,5,0,1,0,0,0
2020-07-29,0,2,13,4,4,0,2,0,2,0
2020-07-30,1,3,10,5,2,5,2,0,0,0
2020-07-31,0,1,7,7,4,1,1,0,0,0
2020-08-01,0,2,7,2,1,3,0,0,0,0
2020-08-02,0,1,3,2,4,6,0,0,0,0
2020-08-03,0,2,3,5,3,0,1,0,1,0
2020-08-04,0,2,7,7,0,6,0,0,0,0
2020-08-05,1,3,6,2,2,1,0,0,0,0
2020-08-06,0,2,6,6,4,1,1,0,0,0
2020-08-07,1,3,8,2,5,2,0,0,0,0
2020-08-08,0,1,5,3,6,1,1,0,0,0
2020-08-09,0,1,6,4,0,1,0,0,0,0
2020-08-10,0,3,9,5,0,2,2,0,0,0
2020-08-11,1,0,8,9,3,4,0,0,0,0
2020-08-12,0,4,6,3,2,2,0,0,1,0
2020-08-13,0,3,8,7,2,1,2,0,0,0
2020-08-14,0,1,5,3,2,4,0,1,0,0
2020-08-15,0,1,5,3,2,3,0,0,0,0
2020-08-16,0,2,2,1,2,1,2,0,0,0
2020-08-17,0,1,3,5,2,4,3,1,0,0
2020-08-18,0,1,6,6,5,2,1,1,1,0
2020-08-19,1,2,2,4,7,0,3,2,0,0
2020-08-20,0,1,7,7,5,1,2,0,2,0
2020-08-21,0,2,2,1,2,2,1,0,0,0
2020-08-22,1,0,6,1,5,0,0,0,0,0
2020-08-23,0,0,1,3,2,2,2,0,0,0
2020-08-24,0,1,9,7,2,2,1,1,0,0
2020-08-25,0,6,7,4,2,2,0,1,0,0
2020-08-26,0,5,8,7,2,2,2,0,3,0
2020-08-27,1,6,6,6,5,4,1,1,1,0
2020-08-28,1,2,5,5,5,2,0,1,0,0
2020-08-29,2,0,7,4,6,2,1,0,0,0
2020-08-30,2,0,6,4,2,2,0,0,0,0
2020-08-31,3,1,9,7,7,2,0,0,0,0
2020-09-01,3,1,7,6,1,4,0,0,0,0
2020-09-02,0,0,0,0,0,0,0,0,0,0
