date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,1,0,0,0,0,0,0,0
2020-02-26,0,0,2,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,2,0,1,1,0,0,0,0
2020-02-29,0,0,0,2,0,0,1,0,0,0
2020-03-01,0,0,0,0,0,1,2,0,0,0
2020-03-02,0,0,1,0,0,1,0,0,0,0
2020-03-03,0,0,1,0,0,0,1,0,0,0
2020-03-04,1,0,3,4,0,0,2,1,0,0
2020-03-05,0,0,1,3,5,3,1,2,0,0
2020-03-06,0,1,4,2,2,1,2,3,0,0
2020-03-07,0,0,2,2,2,0,0,0,0,0
2020-03-08,0,0,1,1,2,2,1,1,0,0
2020-03-09,0,0,2,6,2,1,3,3,2,0
2020-03-10,0,0,3,3,4,4,5,4,2,0
2020-03-11,0,3,8,8,9,22,3,6,3,0
2020-03-12,0,1,9,8,5,11,3,3,2,0
2020-03-13,0,1,6,5,10,10,10,6,4,0
2020-03-14,2,0,5,3,16,4,2,2,3,0
2020-03-15,0,0,2,9,4,13,5,3,3,1
2020-03-16,0,2,11,11,18,26,10,11,8,0
2020-03-17,0,5,9,15,21,22,12,5,10,0
2020-03-18,1,6,18,17,27,22,14,10,12,1
2020-03-19,0,1,19,14,19,22,11,8,9,0
2020-03-20,1,5,19,21,20,45,16,5,10,0
2020-03-21,0,2,7,9,16,20,8,3,5,0
2020-03-22,0,0,13,11,13,15,7,7,8,0
2020-03-23,1,5,19,27,20,36,21,14,9,0
2020-03-24,1,2,22,22,27,24,20,12,14,0
2020-03-25,0,2,16,22,20,24,19,12,22,0
2020-03-26,0,2,10,12,21,24,14,12,8,0
2020-03-27,0,6,15,16,19,32,24,17,10,0
2020-03-28,0,1,6,7,9,18,10,6,16,0
2020-03-29,0,4,0,4,8,8,8,7,3,0
2020-03-30,1,4,26,19,21,30,18,10,13,0
2020-03-31,1,3,16,7,12,27,18,9,10,0
2020-04-01,0,3,12,11,15,24,10,7,9,0
2020-04-02,0,1,9,13,10,23,7,5,2,0
2020-04-03,2,1,16,16,10,20,13,4,8,0
2020-04-04,1,2,6,9,8,6,4,6,8,0
2020-04-05,0,0,6,2,5,9,3,0,8,0
2020-04-06,3,1,17,11,13,18,7,6,6,0
2020-04-07,0,3,12,13,11,12,8,7,10,0
2020-04-08,0,1,10,9,10,9,6,5,4,0
2020-04-09,0,3,6,1,5,7,5,4,12,0
2020-04-10,0,0,3,2,2,6,3,2,2,0
2020-04-11,0,0,1,3,4,6,1,1,3,0
2020-04-12,0,1,3,3,2,5,3,1,4,0
2020-04-13,0,0,5,1,4,4,3,4,8,0
2020-04-14,0,2,7,1,9,12,5,4,9,0
2020-04-15,0,1,6,6,7,6,4,3,2,0
2020-04-16,0,0,11,6,6,6,3,4,3,0
2020-04-17,1,0,7,5,2,6,3,1,4,0
2020-04-18,0,0,4,2,3,0,0,0,1,0
2020-04-19,0,0,0,0,0,1,0,0,1,0
2020-04-20,0,0,2,6,4,1,1,2,3,0
2020-04-21,0,2,5,4,6,1,0,1,3,0
2020-04-22,0,1,3,3,2,4,2,1,2,0
2020-04-23,0,0,4,4,0,4,1,2,2,0
2020-04-24,0,2,3,1,2,3,1,0,4,0
2020-04-25,0,0,1,0,1,2,0,0,3,0
2020-04-26,0,0,1,1,0,0,0,0,0,0
2020-04-27,1,2,2,5,4,3,1,0,3,0
2020-04-28,1,0,4,2,1,1,1,0,2,0
2020-04-29,0,0,2,1,1,3,1,1,3,0
2020-04-30,0,1,1,3,2,1,2,1,1,0
2020-05-01,0,0,0,0,4,1,2,1,1,0
2020-05-02,2,0,1,1,2,1,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,2,2,2,4,1,0,1,0
2020-05-05,1,1,0,0,2,0,0,0,1,0
2020-05-06,1,0,1,1,3,0,0,0,0,0
2020-05-07,0,0,2,0,1,0,0,0,0,0
2020-05-08,0,1,1,1,0,0,0,0,2,0
2020-05-09,0,0,1,2,1,1,1,0,2,0
2020-05-10,0,1,1,0,0,1,0,0,0,0
2020-05-11,0,0,0,0,1,1,0,0,1,0
2020-05-12,0,1,1,1,1,0,0,0,0,0
2020-05-13,0,2,1,2,1,0,1,0,1,0
2020-05-14,0,0,0,2,1,0,0,0,0,0
2020-05-15,0,0,0,1,1,0,1,2,1,0
2020-05-16,0,0,1,0,1,0,0,0,2,0
