date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,1,0,1,0,0,0,0,0
2020-02-27,0,0,1,1,0,1,0,0,0,0
2020-02-28,0,0,2,3,1,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,1,0,1,0,0,0,0
2020-03-02,0,1,1,1,2,0,0,3,1,0
2020-03-03,0,0,0,0,2,0,1,1,0,0
2020-03-04,0,0,0,1,0,4,2,2,1,0
2020-03-05,0,0,0,2,2,7,4,1,0,0
2020-03-06,0,0,7,3,5,5,1,3,1,0
2020-03-07,0,0,0,2,3,8,1,3,1,0
2020-03-08,0,0,1,2,5,6,3,3,5,0
2020-03-09,1,1,5,8,18,10,9,12,5,0
2020-03-10,0,2,8,14,7,9,10,8,5,0
2020-03-11,0,1,21,18,18,24,14,12,6,0
2020-03-12,0,1,25,21,24,24,22,12,20,0
2020-03-13,0,4,23,24,40,25,25,26,18,0
2020-03-14,1,4,25,29,26,43,27,21,19,0
2020-03-15,0,0,14,25,19,31,16,14,14,0
2020-03-16,1,8,43,61,65,87,71,48,37,0
2020-03-17,4,12,47,83,82,82,60,47,52,0
2020-03-18,2,12,67,68,90,103,65,47,39,0
2020-03-19,1,14,31,44,52,65,36,35,38,0
2020-03-20,1,9,43,55,54,91,60,40,42,1
2020-03-21,0,9,35,35,48,72,47,42,34,2
2020-03-22,0,5,27,35,35,41,30,34,22,0
2020-03-23,0,9,58,88,109,131,76,50,60,1
2020-03-24,0,13,54,61,78,115,66,51,71,3
2020-03-25,1,7,56,64,62,69,53,35,58,0
2020-03-26,0,5,53,65,93,102,57,47,65,0
2020-03-27,0,8,40,63,63,127,69,55,85,0
2020-03-28,3,8,34,53,63,77,53,35,69,1
2020-03-29,0,5,27,27,40,39,26,30,31,0
2020-03-30,2,9,61,75,89,102,63,58,85,0
2020-03-31,2,11,48,66,88,117,61,52,66,0
2020-04-01,0,7,63,55,83,123,57,38,71,2
2020-04-02,1,14,51,69,79,90,41,27,60,0
2020-04-03,3,10,44,50,78,75,36,26,61,0
2020-04-04,2,5,30,22,39,47,23,24,34,0
2020-04-05,1,3,24,20,21,27,10,8,15,0
2020-04-06,1,8,60,49,53,73,40,35,56,1
2020-04-07,1,5,44,41,53,60,28,26,34,0
2020-04-08,1,8,43,35,36,45,21,21,50,1
2020-04-09,1,6,27,26,41,39,23,18,52,1
2020-04-10,3,2,15,18,24,20,11,15,23,0
2020-04-11,0,3,16,12,19,18,10,11,28,0
2020-04-12,0,0,13,13,13,15,7,9,16,0
2020-04-13,0,4,21,19,17,20,6,4,21,0
2020-04-14,0,3,24,23,31,20,19,12,45,0
2020-04-15,1,7,27,19,16,21,7,4,29,0
2020-04-16,0,3,19,20,17,21,6,5,19,1
2020-04-17,0,3,19,23,16,17,10,5,21,0
2020-04-18,0,3,8,6,11,10,5,2,15,0
2020-04-19,1,0,4,6,3,11,0,3,8,0
2020-04-20,2,5,14,14,13,14,5,4,19,0
2020-04-21,0,0,11,8,11,14,6,3,16,0
2020-04-22,1,0,8,8,6,8,7,3,14,0
2020-04-23,0,2,7,10,15,17,7,4,19,0
2020-04-24,3,0,8,8,5,10,6,6,6,0
2020-04-25,0,1,3,10,1,8,0,1,5,0
2020-04-26,0,2,3,4,5,2,2,2,1,0
2020-04-27,3,1,8,10,8,10,4,2,10,0
2020-04-28,3,1,7,8,7,11,5,1,9,0
2020-04-29,1,1,6,6,7,6,4,4,2,1
2020-04-30,0,4,4,5,2,5,3,2,7,0
2020-05-01,1,1,9,7,5,7,6,2,1,0
2020-05-02,1,1,3,5,0,2,3,1,0,0
2020-05-03,0,0,3,4,2,2,1,0,0,0
2020-05-04,1,0,4,8,5,4,3,0,3,0
2020-05-05,2,0,6,5,4,5,1,2,1,0
2020-05-06,2,3,6,7,5,4,1,0,3,0
2020-05-07,0,0,3,0,3,2,0,0,0,0
2020-05-08,2,2,0,1,0,3,5,1,3,0
2020-05-09,1,3,0,0,2,2,3,0,1,0
2020-05-10,0,0,0,0,0,1,1,0,1,0
2020-05-11,0,3,1,2,3,1,3,1,2,0
2020-05-12,0,2,3,3,1,3,0,1,2,0
2020-05-13,0,4,2,1,1,2,2,1,0,0
2020-05-14,2,0,1,1,2,6,1,0,3,0
2020-05-15,1,3,3,2,2,3,1,1,1,0
2020-05-16,0,1,1,1,1,0,0,0,0,0
2020-05-17,0,0,0,0,0,2,0,0,1,0
2020-05-18,1,1,2,2,1,1,0,0,1,0
2020-05-19,1,2,1,0,0,3,0,0,1,0
2020-05-20,0,1,4,0,2,1,1,0,1,0
2020-05-21,0,0,0,0,0,2,1,0,0,0
2020-05-22,1,0,2,3,1,0,0,0,0,0
2020-05-23,0,1,0,2,1,0,2,1,2,0
2020-05-24,0,0,1,0,0,0,1,0,1,0
2020-05-25,0,0,0,0,1,1,0,0,1,0
2020-05-26,0,1,4,0,0,5,0,1,0,0
2020-05-27,1,0,1,0,3,1,0,0,0,0
2020-05-28,0,0,2,3,1,1,0,1,0,0
2020-05-29,1,0,1,2,2,0,1,0,0,0
2020-05-30,0,1,0,0,1,3,0,0,0,0
2020-05-31,0,0,0,0,1,2,0,0,0,0
2020-06-01,0,0,1,0,0,0,1,0,0,0
2020-06-02,0,1,2,0,1,1,2,0,1,0
2020-06-03,0,0,1,0,0,1,0,0,0,0
2020-06-04,0,1,1,1,0,1,0,1,1,0
2020-06-05,0,0,1,2,0,1,1,1,0,0
2020-06-06,1,1,1,1,0,0,1,0,1,0
2020-06-07,0,1,1,1,1,0,0,0,0,0
2020-06-08,0,0,1,1,0,2,3,0,0,0
2020-06-09,0,1,0,1,1,0,0,1,0,0
2020-06-10,1,0,1,0,2,1,1,0,0,0
2020-06-11,1,1,1,3,1,2,0,0,0,0
2020-06-12,1,1,0,3,2,4,3,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,1,0,0,0,0,0,0,0
2020-06-15,0,0,2,2,3,1,1,0,1,0
2020-06-16,0,0,3,3,0,0,3,1,2,0
2020-06-17,0,0,2,0,1,1,2,1,0,0
2020-06-18,0,1,0,2,0,1,0,1,0,0
2020-06-19,0,2,6,1,3,2,3,0,0,0
2020-06-20,1,0,2,1,1,2,1,0,1,0
2020-06-21,0,1,1,1,0,0,1,0,0,0
2020-06-22,1,0,6,4,2,3,1,0,0,0
2020-06-23,1,2,3,5,1,3,0,1,0,0
2020-06-24,0,1,5,4,6,5,2,0,0,0
2020-06-25,0,0,0,5,5,2,0,0,0,0
2020-06-26,0,0,1,1,9,4,1,0,0,0
2020-06-27,0,1,2,1,0,2,0,0,1,0
2020-06-28,0,0,1,1,1,4,0,1,1,0
2020-06-29,0,1,12,5,0,8,5,1,0,0
2020-06-30,1,1,3,5,6,1,4,2,0,0
2020-07-01,0,2,2,4,2,0,3,0,0,0
2020-07-02,1,8,10,3,4,8,3,0,0,0
2020-07-03,0,3,4,5,3,1,1,0,0,0
2020-07-04,0,0,4,2,1,1,0,0,1,0
2020-07-05,0,0,2,1,7,1,1,0,0,0
2020-07-06,0,1,7,2,6,5,2,0,0,0
2020-07-07,0,2,7,5,5,2,4,0,0,0
2020-07-08,0,0,3,8,5,5,0,1,0,0
2020-07-09,0,1,3,5,4,2,4,0,0,0
2020-07-10,2,5,2,8,4,4,1,0,0,0
2020-07-11,0,4,4,3,1,3,3,0,0,0
2020-07-12,0,0,1,1,3,5,1,0,0,0
2020-07-13,0,0,4,8,5,3,4,0,1,0
2020-07-14,0,4,7,10,6,3,2,0,1,0
2020-07-15,2,2,11,14,7,3,6,1,1,0
2020-07-16,2,0,6,9,5,4,3,2,1,0
2020-07-17,2,0,3,10,5,3,4,0,0,0
2020-07-18,0,1,8,3,4,4,3,0,1,0
2020-07-19,0,1,4,6,0,1,1,0,0,0
2020-07-20,0,0,7,8,6,2,4,1,0,0
2020-07-21,1,3,12,8,8,7,3,2,0,0
2020-07-22,0,4,13,7,7,3,5,1,1,0
2020-07-23,1,3,25,20,8,5,3,1,0,0
2020-07-24,0,6,24,14,3,8,4,2,1,0
2020-07-25,2,2,19,9,8,3,3,1,1,0
2020-07-26,1,2,15,7,5,2,1,1,0,0
2020-07-27,0,10,29,19,11,5,5,0,1,0
2020-07-28,1,7,41,22,15,3,2,1,1,0
2020-07-29,1,6,51,11,21,11,7,1,2,0
2020-07-30,2,7,30,13,8,12,4,4,0,0
2020-07-31,1,5,20,14,10,7,3,1,0,0
2020-08-01,0,8,18,12,7,6,4,2,1,0
2020-08-02,0,6,8,7,10,9,3,0,1,0
2020-08-03,0,7,10,15,10,10,3,0,2,0
2020-08-04,0,8,17,21,7,10,1,1,0,0
2020-08-05,1,9,15,12,6,9,1,0,0,0
2020-08-06,0,7,24,11,11,6,3,0,0,0
2020-08-07,1,11,21,13,11,11,2,0,1,0
2020-08-08,0,4,21,8,10,4,1,2,2,0
2020-08-09,0,7,16,13,4,3,0,0,0,0
2020-08-10,0,10,35,19,10,7,5,3,1,0
2020-08-11,1,8,28,21,10,7,7,1,0,0
2020-08-12,2,10,24,13,11,7,1,0,3,0
2020-08-13,0,6,30,24,9,11,5,0,2,0
2020-08-14,0,4,26,15,5,8,1,3,0,0
2020-08-15,0,6,17,9,7,10,2,2,3,0
2020-08-16,0,5,14,10,11,5,3,0,1,0
2020-08-17,2,9,19,18,12,13,6,2,1,0
2020-08-18,0,9,27,22,14,10,3,3,3,0
2020-08-19,1,8,39,21,14,6,5,2,1,0
2020-08-20,0,10,56,27,15,8,9,0,4,0
2020-08-21,0,16,38,23,14,7,4,2,5,0
2020-08-22,2,13,25,16,12,9,5,1,1,0
2020-08-23,0,7,15,10,12,4,5,0,0,0
2020-08-24,1,10,46,29,11,10,3,4,3,0
2020-08-25,1,19,56,21,14,7,6,3,2,0
2020-08-26,0,18,46,22,13,14,7,1,6,0
2020-08-27,1,14,45,38,13,14,5,1,2,0
2020-08-28,7,13,59,24,14,15,7,3,6,0
2020-08-29,3,5,39,29,18,9,2,2,3,0
2020-08-30,5,8,24,18,11,14,2,0,0,0
2020-08-31,5,9,56,45,22,16,3,0,3,0
2020-09-01,8,18,45,43,19,19,6,2,1,0
2020-09-02,3,13,59,35,31,21,6,1,1,0
2020-09-03,7,21,58,39,26,28,8,1,3,0
2020-09-04,1,23,67,46,26,22,10,1,2,0
2020-09-05,1,13,42,23,30,22,7,2,4,0
2020-09-06,1,5,20,16,15,13,7,1,2,0
2020-09-07,6,24,45,27,28,25,10,4,16,0
2020-09-08,1,16,53,42,28,17,6,4,5,0
2020-09-09,4,23,63,37,33,29,15,5,7,0
2020-09-10,2,26,64,46,42,24,16,6,11,0
2020-09-11,1,29,57,61,48,28,16,6,7,0
2020-09-12,0,10,34,36,23,18,13,3,4,0
2020-09-13,0,17,23,33,44,19,8,4,1,0
2020-09-14,1,21,40,56,32,36,21,7,9,0
2020-09-15,0,28,45,55,51,24,16,6,6,0
2020-09-16,0,36,54,49,38,37,10,10,4,0
2020-09-17,0,46,71,45,42,24,18,6,4,0
2020-09-18,2,24,49,31,43,23,19,7,4,0
2020-09-19,1,23,36,30,18,12,7,3,3,0
2020-09-20,0,8,31,21,17,18,7,3,2,0
2020-09-21,1,19,43,32,34,24,13,6,3,0
2020-09-22,2,19,49,46,41,35,17,4,5,0
2020-09-23,1,30,45,42,26,29,15,5,4,0
2020-09-24,0,11,40,32,21,21,12,4,5,0
2020-09-25,1,12,26,25,26,14,8,7,15,0
2020-09-26,0,8,21,16,11,14,6,2,5,0
2020-09-27,1,3,16,10,8,11,1,2,3,0
2020-09-28,1,10,26,30,21,21,16,7,8,0
2020-09-29,1,8,39,45,21,23,13,5,15,1
2020-09-30,1,9,35,38,28,21,13,8,8,0
2020-10-01,1,13,63,38,25,32,14,2,10,0
2020-10-02,1,10,54,39,27,21,16,11,18,1
2020-10-03,2,13,41,42,25,24,14,7,7,0
2020-10-04,2,12,29,30,31,18,7,5,5,0
2020-10-05,3,19,71,59,56,38,24,16,8,0
2020-10-06,1,25,71,71,64,51,31,22,8,0
2020-10-07,1,36,88,94,87,61,44,21,11,0
2020-10-08,1,29,119,79,79,79,28,24,12,0
2020-10-09,4,49,120,114,101,95,31,27,24,0
2020-10-10,2,38,86,84,80,75,32,20,24,0
2020-10-11,0,22,63,61,59,70,26,15,17,0
2020-10-12,5,65,129,148,131,136,50,52,42,0
2020-10-13,7,70,137,151,175,120,73,57,50,0
2020-10-14,3,75,184,201,165,148,73,61,37,0
2020-10-15,6,69,237,208,205,191,83,58,56,0
2020-10-16,7,112,242,216,213,192,102,79,59,0
2020-10-17,6,81,150,171,134,145,79,39,34,0
2020-10-18,3,46,136,162,142,113,51,44,34,0
2020-10-19,13,102,288,331,300,297,158,113,87,0
2020-10-20,8,124,341,367,341,329,194,111,84,1
2020-10-21,14,112,399,413,360,342,179,131,80,3
2020-10-22,6,71,256,247,185,213,86,77,58,0
2020-10-23,0,0,1,0,1,0,0,2,1,0
