date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,1,0,0,0,0,0,0
2020-03-02,0,0,1,1,1,1,0,0,0,0
2020-03-03,0,2,1,1,1,2,0,0,0,0
2020-03-04,0,0,0,2,1,1,0,0,0,0
2020-03-05,0,0,0,1,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,2,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,1,1,0,0,0,0
2020-03-09,0,0,0,3,2,2,0,0,0,0
2020-03-10,0,0,1,2,1,1,1,0,0,0
2020-03-11,0,0,3,4,0,2,0,0,2,0
2020-03-12,0,0,0,5,9,3,1,0,0,0
2020-03-13,0,2,1,1,3,4,0,2,1,1
2020-03-14,0,0,5,2,4,7,2,0,3,0
2020-03-15,0,0,0,1,0,3,1,2,1,0
2020-03-16,0,2,8,8,13,22,3,3,2,0
2020-03-17,0,1,6,9,7,11,7,6,1,0
2020-03-18,0,5,7,8,3,17,15,4,4,0
2020-03-19,0,0,8,3,1,8,1,1,1,0
2020-03-20,0,1,5,11,8,15,7,5,0,0
2020-03-21,0,1,4,3,5,4,4,4,1,1
2020-03-22,0,1,4,8,5,4,4,3,2,0
2020-03-23,0,2,8,7,7,19,10,10,5,0
2020-03-24,0,0,3,3,9,14,9,2,6,0
2020-03-25,0,1,7,8,5,11,8,4,5,1
2020-03-26,0,1,10,10,13,19,12,9,0,0
2020-03-27,0,1,7,4,8,13,12,4,4,0
2020-03-28,0,2,1,3,4,9,5,1,2,0
2020-03-29,0,0,3,3,4,3,1,3,1,0
2020-03-30,0,3,14,4,7,9,3,7,6,0
2020-03-31,0,2,6,4,8,7,3,6,2,0
2020-04-01,0,1,3,11,5,9,3,4,12,0
2020-04-02,0,1,5,2,6,13,4,4,4,0
2020-04-03,0,3,4,3,10,11,3,5,10,0
2020-04-04,0,0,5,3,5,5,2,2,3,0
2020-04-05,0,0,5,1,1,3,1,2,0,0
2020-04-06,0,1,3,7,3,5,7,4,2,0
2020-04-07,0,0,3,3,7,5,2,2,4,0
2020-04-08,0,5,9,5,7,5,5,3,4,0
2020-04-09,0,0,6,8,2,6,6,6,12,0
2020-04-10,0,0,2,1,2,2,3,1,0,0
2020-04-11,0,1,0,0,2,0,1,1,2,0
2020-04-12,0,0,1,3,2,2,1,1,2,0
2020-04-13,0,0,3,1,1,0,2,2,0,0
2020-04-14,0,0,2,0,2,3,0,0,2,0
2020-04-15,0,0,1,2,2,1,2,1,1,0
2020-04-16,0,2,2,3,1,1,2,2,7,0
2020-04-17,0,1,1,4,1,4,0,0,4,0
2020-04-18,0,1,0,1,1,5,1,0,4,0
2020-04-19,0,0,1,1,1,1,0,0,0,0
2020-04-20,0,0,1,1,2,4,1,0,1,0
2020-04-21,0,1,1,1,4,1,0,0,0,0
2020-04-22,0,0,3,2,3,2,1,2,1,0
2020-04-23,0,0,6,4,1,4,0,0,0,0
2020-04-24,0,2,4,1,3,4,0,0,3,0
2020-04-25,0,0,2,3,0,1,1,0,0,0
2020-04-26,0,1,4,0,1,4,0,1,1,0
2020-04-27,0,0,3,2,1,6,1,0,0,0
2020-04-28,0,0,2,3,3,5,1,0,1,0
2020-04-29,0,0,3,3,2,2,0,1,2,0
2020-04-30,0,0,2,1,0,1,0,0,1,0
2020-05-01,0,2,0,0,0,0,2,0,1,0
2020-05-02,0,0,2,0,0,0,0,0,0,0
2020-05-03,0,0,1,0,0,0,0,0,0,0
2020-05-04,0,0,1,0,0,1,0,0,1,0
2020-05-05,0,1,0,1,0,1,0,1,0,0
2020-05-06,0,0,1,0,0,1,1,0,1,0
2020-05-07,0,0,0,0,0,2,0,0,0,0
2020-05-08,0,1,0,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,1,1,0,0,0,0
2020-05-10,0,0,0,2,0,0,0,0,0,0
2020-05-11,0,0,1,0,0,1,0,0,0,0
2020-05-12,0,2,1,0,0,1,0,0,0,0
2020-05-13,0,0,0,0,0,0,1,0,0,0
2020-05-14,0,2,2,0,1,0,0,1,1,0
2020-05-15,0,0,1,1,0,1,1,0,0,0
2020-05-16,0,0,0,0,0,1,0,1,0,0
2020-05-17,0,0,2,0,0,0,0,0,0,0
2020-05-18,0,0,3,0,1,0,1,0,0,0
2020-05-19,0,0,0,0,1,0,1,0,0,0
2020-05-20,0,0,0,0,0,2,0,2,1,0
2020-05-21,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,1,0,2,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,1,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,1,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,1,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,1,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,2,0,0,0,1,0,0,0
2020-06-09,0,0,0,0,0,0,1,0,0,0
2020-06-10,2,0,0,2,2,0,0,0,0,0
2020-06-11,0,0,0,0,0,1,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,1,1,0,0,0,0,0,0,0
2020-06-15,1,0,1,0,0,1,0,0,0,0
2020-06-16,0,0,0,1,1,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,1,0,0,0,0,0,0,0
2020-06-19,0,0,0,2,0,2,0,0,0,0
2020-06-20,0,1,1,1,1,0,0,0,0,0
2020-06-21,0,0,1,0,0,0,0,0,0,0
2020-06-22,1,1,4,2,0,0,0,0,0,0
2020-06-23,0,0,0,0,1,0,0,0,0,0
2020-06-24,0,0,1,0,2,1,0,0,0,0
2020-06-25,0,0,0,3,0,0,1,1,0,0
2020-06-26,0,0,4,3,0,0,2,0,0,0
2020-06-27,0,0,1,2,1,0,1,0,0,0
2020-06-28,0,1,1,0,0,0,0,0,0,0
2020-06-29,0,1,10,1,1,2,1,0,0,0
2020-06-30,0,1,4,3,5,3,1,0,0,0
2020-07-01,1,1,0,2,4,0,2,0,0,0
2020-07-02,0,1,4,1,1,2,0,0,0,0
2020-07-03,0,0,2,5,1,1,2,0,0,0
2020-07-04,0,0,0,1,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,4,3,0,3,1,0,0,0
2020-07-07,0,0,2,1,1,3,3,1,0,0
2020-07-08,0,0,0,1,2,1,2,1,0,0
2020-07-09,0,1,2,2,2,0,3,2,1,0
2020-07-10,0,0,1,1,4,1,2,2,0,0
2020-07-11,0,0,1,1,1,0,0,0,0,0
2020-07-12,0,0,1,1,1,0,3,0,0,0
2020-07-13,0,0,4,5,2,0,3,0,0,0
2020-07-14,0,1,3,2,2,5,1,1,1,0
2020-07-15,0,0,1,2,0,1,2,0,0,0
2020-07-16,0,0,4,0,1,0,0,1,0,0
2020-07-17,0,1,2,2,1,1,2,0,0,0
2020-07-18,0,0,0,0,0,1,0,0,0,0
2020-07-19,0,0,0,4,0,0,0,0,0,0
2020-07-20,0,2,2,3,4,2,1,1,0,0
2020-07-21,0,1,2,1,1,1,1,0,0,0
2020-07-22,0,1,3,2,1,1,1,0,0,0
2020-07-23,0,1,1,0,3,4,0,0,0,0
2020-07-24,0,1,1,0,0,1,0,0,0,0
2020-07-25,0,0,1,0,1,1,1,0,0,0
2020-07-26,0,1,0,0,0,0,0,0,0,0
2020-07-27,0,2,2,2,2,6,4,1,0,0
2020-07-28,1,2,2,2,2,4,3,0,0,0
2020-07-29,1,2,4,4,2,1,2,2,0,0
2020-07-30,2,3,3,4,1,3,1,0,0,0
2020-07-31,0,1,0,5,1,4,1,0,0,0
2020-08-01,0,0,0,0,0,3,0,0,0,0
2020-08-02,0,0,1,1,0,1,1,0,0,0
2020-08-03,0,1,8,2,2,5,1,0,0,0
2020-08-04,0,1,3,3,2,3,0,0,0,0
2020-08-05,0,1,3,2,0,2,2,0,0,0
2020-08-06,1,0,2,4,1,2,0,0,0,0
2020-08-07,1,1,5,2,4,2,1,0,0,0
2020-08-08,0,0,1,1,0,1,2,0,0,0
2020-08-09,1,0,1,0,0,0,0,0,0,0
2020-08-10,0,1,7,3,2,2,4,0,0,0
2020-08-11,0,0,2,0,2,1,2,0,0,0
2020-08-12,0,2,9,1,3,1,0,1,0,0
2020-08-13,1,7,8,7,2,2,1,1,0,0
2020-08-14,2,0,9,1,0,3,0,0,0,0
2020-08-15,0,1,3,1,1,1,1,0,0,0
2020-08-16,0,0,1,2,0,0,0,0,0,0
2020-08-17,1,1,5,5,0,1,1,0,0,0
2020-08-18,0,0,6,4,2,4,3,0,1,0
2020-08-19,0,2,5,2,1,0,1,1,0,0
2020-08-20,0,1,6,1,1,0,1,0,0,0
2020-08-21,0,1,10,2,3,0,6,2,0,0
2020-08-22,0,0,4,1,2,0,0,0,0,0
2020-08-23,0,0,0,1,0,3,1,0,0,0
2020-08-24,0,3,3,1,3,5,1,0,0,0
2020-08-25,0,2,11,2,5,1,0,1,0,0
2020-08-26,0,2,4,2,1,2,1,0,0,0
2020-08-27,0,3,5,3,2,0,2,0,0,0
2020-08-28,0,4,3,3,4,3,0,0,0,0
2020-08-29,0,0,1,2,4,0,3,0,0,0
2020-08-30,0,0,0,0,0,0,0,0,1,0
2020-08-31,0,2,1,2,5,1,0,0,1,0
2020-09-01,0,1,4,1,2,2,2,0,0,0
2020-09-02,0,1,5,5,4,3,1,2,0,0
2020-09-03,0,1,3,6,1,3,1,0,0,0
2020-09-04,0,1,1,4,2,4,1,1,0,0
2020-09-05,0,0,0,2,1,2,4,0,0,0
2020-09-06,0,0,2,1,0,1,0,0,0,0
2020-09-07,0,0,2,1,3,0,1,0,0,0
2020-09-08,0,1,4,1,2,3,0,1,1,0
2020-09-09,0,0,4,4,4,2,0,0,0,0
2020-09-10,1,4,5,2,4,4,3,4,0,0
2020-09-11,0,0,6,3,2,3,0,2,0,0
2020-09-12,0,0,2,1,0,0,0,0,0,0
2020-09-13,0,0,2,2,0,2,0,0,1,0
2020-09-14,0,1,3,4,2,0,1,1,1,0
2020-09-15,0,1,6,0,1,4,1,1,1,0
2020-09-16,0,0,1,2,3,6,0,0,0,0
2020-09-17,0,5,5,2,2,3,0,0,1,0
2020-09-18,0,6,3,1,3,4,1,0,0,0
2020-09-19,0,0,2,1,1,0,0,1,0,0
2020-09-20,0,1,1,0,2,2,0,0,0,0
2020-09-21,0,2,4,1,2,4,0,1,1,0
2020-09-22,0,3,5,1,3,2,1,4,0,0
2020-09-23,0,1,2,3,1,5,2,0,1,0
2020-09-24,0,0,2,2,1,3,1,1,0,0
2020-09-25,0,2,4,1,4,1,1,1,0,0
2020-09-26,0,0,2,0,2,2,0,0,1,0
2020-09-27,0,0,0,0,1,0,0,0,0,0
2020-09-28,1,1,2,5,6,5,2,0,0,0
2020-09-29,0,0,7,3,5,6,2,0,0,0
2020-09-30,0,1,6,4,5,9,7,2,1,0
2020-10-01,0,3,3,5,6,10,4,1,0,0
2020-10-02,0,1,8,10,12,12,7,7,2,0
2020-10-03,0,4,5,11,3,7,4,3,1,0
2020-10-04,0,2,7,1,2,4,2,0,0,0
2020-10-05,0,3,15,13,13,17,22,8,7,0
2020-10-06,0,7,27,12,18,22,28,8,15,0
2020-10-07,0,6,30,28,18,34,22,7,13,0
2020-10-08,3,6,38,21,15,25,17,11,13,0
2020-10-09,3,21,39,31,28,26,23,8,6,0
2020-10-10,1,14,37,19,10,27,11,13,1,0
2020-10-11,0,4,10,4,6,5,7,2,5,0
2020-10-12,2,22,48,55,35,48,31,19,10,0
2020-10-13,1,19,57,40,35,55,25,17,17,0
2020-10-14,2,27,56,39,36,56,26,14,5,0
2020-10-15,1,40,89,54,44,62,41,17,8,0
2020-10-16,1,29,70,48,54,51,34,24,20,0
2020-10-17,3,13,31,26,29,36,17,7,10,0
2020-10-18,1,7,27,22,18,14,10,7,5,0
2020-10-19,5,30,86,70,73,86,56,35,24,0
2020-10-20,0,40,70,65,66,78,47,20,17,0
2020-10-21,0,35,95,73,72,78,41,35,46,0
2020-10-22,7,44,107,91,72,73,46,32,38,0
2020-10-23,1,45,143,79,78,98,70,39,41,0
2020-10-24,2,20,51,46,38,39,23,18,9,0
2020-10-25,0,9,22,21,20,17,7,15,4,0
2020-10-26,0,0,1,0,0,0,1,0,0,0
