date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,1,0,0,0,0
2020-02-27,0,0,1,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,1,0,2,0,0,0,0,0,0
2020-03-01,0,0,1,0,0,0,0,0,0,0
2020-03-02,0,1,0,1,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,1,0
2020-03-04,0,0,0,2,1,3,3,0,1,0
2020-03-05,0,0,0,3,0,2,0,0,0,0
2020-03-06,0,0,0,0,3,0,1,2,0,0
2020-03-07,0,0,0,0,1,0,0,0,0,0
2020-03-08,0,0,0,2,1,3,0,1,0,0
2020-03-09,0,0,0,0,1,3,1,2,0,0
2020-03-10,1,0,1,0,6,3,2,2,1,0
2020-03-11,0,0,4,3,3,3,0,1,2,0
2020-03-12,0,0,2,6,4,2,4,1,1,0
2020-03-13,1,0,1,3,0,4,4,0,2,0
2020-03-14,0,0,0,1,6,3,1,1,1,0
2020-03-15,0,1,3,4,4,4,2,2,2,1
2020-03-16,1,0,7,8,13,11,10,8,6,0
2020-03-17,0,1,5,8,7,14,7,5,5,0
2020-03-18,0,4,7,8,10,12,9,7,7,0
2020-03-19,0,1,6,6,9,11,7,6,5,0
2020-03-20,2,2,6,3,13,10,12,7,5,0
2020-03-21,0,1,5,8,5,9,4,2,3,0
2020-03-22,0,1,1,2,7,11,6,4,5,0
2020-03-23,0,0,5,4,12,15,16,11,7,0
2020-03-24,0,0,4,6,6,15,16,10,13,0
2020-03-25,0,0,7,4,12,7,13,15,6,0
2020-03-26,0,1,3,6,9,12,11,12,7,0
2020-03-27,0,4,8,5,9,26,13,15,12,0
2020-03-28,0,0,0,5,3,2,8,3,7,0
2020-03-29,0,2,2,2,7,5,6,2,6,0
2020-03-30,0,2,1,5,7,14,14,18,16,0
2020-03-31,0,0,4,10,9,12,12,9,13,0
2020-04-01,0,3,4,5,4,14,11,4,13,0
2020-04-02,0,2,5,7,4,10,5,5,6,0
2020-04-03,0,1,10,6,6,12,9,6,8,0
2020-04-04,0,1,3,3,5,2,3,4,10,0
2020-04-05,0,0,3,3,2,6,2,2,5,0
2020-04-06,0,3,6,10,12,12,12,10,7,0
2020-04-07,0,0,10,2,8,8,6,5,7,0
2020-04-08,0,1,5,2,5,5,4,6,11,0
2020-04-09,0,0,3,5,2,7,6,6,9,0
2020-04-10,0,4,6,4,1,4,1,0,6,0
2020-04-11,0,1,2,0,1,6,3,0,10,0
2020-04-12,0,0,0,2,2,5,0,0,2,0
2020-04-13,0,0,0,2,3,2,1,2,6,0
2020-04-14,0,3,8,8,6,5,3,2,2,0
2020-04-15,0,1,3,2,4,8,1,4,4,0
2020-04-16,0,0,6,2,0,4,2,1,2,0
2020-04-17,0,1,2,4,1,3,2,3,2,0
2020-04-18,0,0,0,0,0,3,1,1,1,0
2020-04-19,0,0,3,2,0,1,0,1,2,0
2020-04-20,0,1,8,4,2,8,1,1,3,0
2020-04-21,0,1,1,3,1,4,2,2,2,0
2020-04-22,0,0,3,0,0,5,5,3,1,0
2020-04-23,0,1,4,1,2,2,2,0,0,0
2020-04-24,0,1,2,1,1,1,0,1,1,0
2020-04-25,0,0,1,0,1,0,0,0,0,0
2020-04-26,0,0,0,2,1,1,0,0,0,0
2020-04-27,1,0,2,4,4,3,0,1,0,0
2020-04-28,0,0,3,2,3,3,1,0,1,0
2020-04-29,0,0,2,1,4,3,1,1,1,0
2020-04-30,0,1,0,1,1,1,0,0,0,0
2020-05-01,0,0,7,1,1,0,0,1,0,0
2020-05-02,0,1,0,0,1,1,1,1,0,0
2020-05-03,0,0,1,0,1,0,1,0,0,0
2020-05-04,0,1,1,1,2,0,0,1,1,0
2020-05-05,0,1,1,2,0,2,0,0,0,0
2020-05-06,0,0,1,1,4,2,0,0,5,0
2020-05-07,0,0,2,1,1,1,2,1,0,0
2020-05-08,0,0,2,1,3,3,0,0,0,0
2020-05-09,0,0,2,1,0,0,1,0,1,0
2020-05-10,0,0,1,0,0,0,0,0,2,0
2020-05-11,1,0,0,2,1,3,1,0,0,0
2020-05-12,0,0,1,1,1,1,0,0,0,0
2020-05-13,1,1,0,0,0,1,2,0,0,0
2020-05-14,0,0,0,1,0,0,0,1,2,0
2020-05-15,0,0,1,0,0,0,3,0,0,0
2020-05-16,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0
2020-05-18,1,1,1,0,0,1,0,0,0,0
2020-05-19,0,0,2,0,1,0,1,0,1,0
2020-05-20,0,0,0,1,0,0,0,0,0,0
2020-05-21,1,0,1,0,0,1,0,0,0,0
2020-05-22,0,0,0,1,0,0,1,0,0,0
2020-05-23,0,0,0,0,0,1,0,0,0,0
2020-05-24,0,0,0,1,1,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0
2020-05-26,1,0,2,0,0,0,0,0,0,0
2020-05-27,0,1,1,0,0,0,0,1,0,0
2020-05-28,0,0,2,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,1,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,1,0
2020-05-31,0,0,0,1,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,2,0,0,1,0
2020-06-03,0,1,2,0,2,0,0,1,1,0
2020-06-04,0,1,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,1,0,0
2020-06-06,0,0,1,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,1,0,0,0,0,0
2020-06-08,2,0,0,1,0,0,0,1,0,0
2020-06-09,0,0,0,0,0,0,1,0,0,0
2020-06-10,2,0,1,0,0,0,0,0,0,0
2020-06-11,0,0,1,0,0,0,0,0,0,0
2020-06-12,0,0,1,0,2,1,0,0,0,0
2020-06-13,0,0,0,0,0,1,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,1,0,0,0,0
2020-06-16,0,0,0,0,1,0,0,1,0,0
2020-06-17,1,0,0,1,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0
2020-06-19,1,0,1,0,0,0,0,0,0,0
2020-06-20,0,1,2,0,0,0,0,0,0,0
2020-06-21,0,0,0,1,0,0,0,0,0,0
2020-06-22,0,2,0,0,2,0,1,0,0,0
2020-06-23,0,0,0,0,1,1,0,0,0,0
2020-06-24,0,0,1,1,3,0,0,1,0,0
2020-06-25,0,1,1,0,0,0,0,0,0,0
2020-06-26,0,2,2,3,1,1,0,1,1,0
2020-06-27,0,1,1,0,0,0,0,0,0,0
2020-06-28,0,0,1,0,0,1,1,0,0,0
2020-06-29,0,0,5,2,4,0,2,0,0,0
2020-06-30,0,1,2,0,3,2,1,0,0,0
2020-07-01,0,1,5,2,0,1,1,0,0,0
2020-07-02,0,0,0,1,0,1,1,1,0,0
2020-07-03,0,0,5,3,1,1,2,0,1,0
2020-07-04,0,0,1,2,0,0,0,0,0,0
2020-07-05,0,0,2,0,1,0,0,0,0,0
2020-07-06,0,1,0,0,2,1,3,0,0,0
2020-07-07,0,0,1,0,2,3,1,0,0,0
2020-07-08,0,0,0,0,0,0,0,1,0,0
2020-07-09,0,1,4,2,0,5,0,0,0,0
2020-07-10,0,1,3,1,3,1,2,0,0,0
2020-07-11,1,1,0,0,0,0,1,0,0,0
2020-07-12,0,0,2,0,0,1,1,0,0,0
2020-07-13,0,1,3,1,2,2,2,0,0,0
2020-07-14,0,1,7,0,2,3,0,0,0,0
2020-07-15,0,0,4,2,2,2,0,1,0,0
2020-07-16,1,0,3,1,1,1,0,0,1,0
2020-07-17,0,5,2,0,2,3,1,1,0,0
2020-07-18,0,0,2,0,0,0,1,0,0,0
2020-07-19,0,0,0,0,0,1,0,0,0,0
2020-07-20,0,0,1,4,1,1,1,0,0,0
2020-07-21,1,0,2,0,0,0,0,0,0,0
2020-07-22,0,0,2,1,0,0,1,0,0,0
2020-07-23,0,0,2,2,0,1,0,2,0,0
2020-07-24,0,0,2,3,0,2,1,3,0,0
2020-07-25,0,0,1,1,0,0,1,0,0,0
2020-07-26,0,0,0,3,1,1,0,0,0,0
2020-07-27,0,0,1,1,0,2,2,1,1,0
2020-07-28,0,0,2,0,3,1,1,0,0,0
2020-07-29,1,1,1,4,3,0,1,1,1,0
2020-07-30,0,1,7,3,1,2,2,1,0,0
2020-07-31,0,3,3,1,0,2,0,0,1,0
2020-08-01,0,0,1,0,2,3,0,1,0,0
2020-08-02,0,1,1,0,0,1,0,0,0,0
2020-08-03,0,5,2,2,0,4,2,0,0,0
2020-08-04,0,2,2,3,2,2,0,0,0,0
2020-08-05,2,2,0,1,2,0,3,1,0,0
2020-08-06,0,3,2,2,2,0,1,0,0,0
2020-08-07,0,0,4,1,2,0,0,2,0,0
2020-08-08,1,0,4,1,0,0,0,1,0,0
2020-08-09,0,0,3,1,0,3,0,1,0,0
2020-08-10,1,2,6,5,2,3,4,0,1,0
2020-08-11,3,3,11,6,2,2,1,0,0,0
2020-08-12,2,1,8,5,3,2,1,0,0,0
2020-08-13,1,4,8,4,1,5,0,1,0,0
2020-08-14,0,1,11,3,2,1,0,0,0,0
2020-08-15,0,0,1,2,1,0,0,2,0,0
2020-08-16,0,1,2,0,1,2,1,0,0,0
2020-08-17,0,4,9,4,1,3,0,1,0,0
2020-08-18,0,3,6,2,2,2,4,0,0,0
2020-08-19,0,5,13,2,3,1,1,0,0,0
2020-08-20,1,5,20,5,3,0,0,1,0,0
2020-08-21,0,5,14,4,0,1,4,1,0,0
2020-08-22,0,3,8,3,3,1,0,0,0,0
2020-08-23,0,0,8,3,2,2,1,1,0,0
2020-08-24,0,3,15,2,6,3,1,0,0,0
2020-08-25,0,3,9,4,2,2,3,0,0,0
2020-08-26,0,4,4,6,4,2,2,1,0,0
2020-08-27,2,3,8,3,6,3,1,1,0,0
2020-08-28,0,15,11,4,2,3,2,0,0,0
2020-08-29,0,1,6,2,1,0,1,1,1,0
2020-08-30,0,0,6,2,3,1,0,1,0,0
2020-08-31,0,3,10,8,2,5,3,0,1,0
2020-09-01,1,3,9,1,0,3,2,2,2,0
2020-09-02,0,2,15,9,5,3,2,2,5,0
2020-09-03,0,1,9,8,5,4,5,5,4,0
2020-09-04,1,5,6,5,6,4,4,1,1,0
2020-09-05,0,1,6,6,2,2,3,1,2,0
2020-09-06,0,0,4,5,2,1,1,2,0,0
2020-09-07,0,6,14,8,9,7,6,0,0,0
2020-09-08,0,1,9,6,3,6,4,0,2,0
2020-09-09,0,2,13,7,5,7,0,2,1,0
2020-09-10,0,5,14,5,6,5,1,1,1,0
2020-09-11,0,7,10,7,4,7,7,3,1,0
2020-09-12,0,1,6,4,3,5,1,1,0,0
2020-09-13,0,2,7,4,7,2,4,0,0,0
2020-09-14,1,12,14,7,11,6,3,4,1,0
2020-09-15,0,4,9,8,7,6,2,3,0,0
2020-09-16,0,5,9,9,11,7,4,2,0,0
2020-09-17,0,4,12,5,2,7,5,2,1,0
2020-09-18,0,2,6,10,10,14,4,0,2,0
2020-09-19,0,1,4,6,4,5,4,1,0,0
2020-09-20,0,3,5,3,3,3,3,0,1,0
2020-09-21,0,3,9,14,5,16,4,1,0,0
2020-09-22,0,1,11,11,5,5,6,3,1,0
2020-09-23,0,0,7,7,3,4,3,3,0,0
2020-09-24,0,2,7,5,6,12,4,3,1,0
2020-09-25,0,2,10,4,5,6,2,3,0,0
2020-09-26,0,1,2,5,5,4,1,3,1,0
2020-09-27,0,0,2,3,3,1,2,0,0,0
2020-09-28,0,4,16,2,8,11,8,2,1,0
2020-09-29,0,2,11,10,4,9,5,3,2,0
2020-09-30,0,5,13,16,14,10,8,3,3,0
2020-10-01,0,3,17,9,8,14,5,3,2,0
2020-10-02,0,6,18,18,5,8,9,5,5,0
2020-10-03,0,1,8,6,4,6,5,1,1,0
2020-10-04,0,4,7,7,4,6,3,2,4,0
2020-10-05,0,9,30,23,16,22,14,5,6,0
2020-10-06,0,9,30,21,15,16,10,6,4,0
2020-10-07,0,5,41,32,24,18,10,10,6,0
2020-10-08,0,11,48,33,26,21,8,17,4,0
2020-10-09,0,13,38,27,19,27,23,12,3,0
2020-10-10,0,11,30,23,12,17,7,11,5,0
2020-10-11,0,12,25,17,17,16,8,5,1,0
2020-10-12,1,26,62,57,39,46,31,19,17,0
2020-10-13,3,15,69,49,40,54,33,20,8,0
2020-10-14,2,31,64,51,62,58,34,14,8,1
2020-10-15,4,35,70,57,48,56,40,30,12,0
2020-10-16,3,36,61,58,60,65,37,38,15,0
2020-10-17,0,26,62,40,34,38,36,16,19,0
2020-10-18,0,14,62,39,45,32,25,7,11,0
2020-10-19,3,43,104,97,73,109,69,54,29,0
2020-10-20,4,58,122,98,91,105,71,63,24,0
2020-10-21,2,65,138,118,99,111,78,49,33,0
2020-10-22,5,66,153,120,111,127,83,67,31,0
2020-10-23,1,63,136,132,121,130,80,81,32,0
2020-10-24,5,31,79,88,92,84,56,38,19,0
2020-10-25,3,20,83,78,59,53,37,25,13,0
2020-10-26,5,65,174,146,117,140,83,63,40,0
2020-10-27,4,29,52,29,45,57,29,21,12,0
2020-10-28,0,0,0,0,0,0,0,0,0,0
