date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,1,0,0,0,0,0,0,0
2020-02-26,0,0,1,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,1,0,0,1,0,0,0,0
2020-02-29,0,0,0,1,0,0,1,0,0,0
2020-03-01,0,0,0,0,0,0,1,0,0,0
2020-03-02,0,0,1,0,0,1,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0
2020-03-04,1,0,2,3,0,0,0,1,0,0
2020-03-05,0,0,0,1,1,2,0,0,0,0
2020-03-06,0,0,1,2,1,0,2,0,0,0
2020-03-07,0,0,1,1,2,0,0,0,0,0
2020-03-08,0,0,0,0,2,0,0,1,0,0
2020-03-09,0,0,0,2,0,1,1,1,0,0
2020-03-10,0,0,1,1,2,3,2,0,1,0
2020-03-11,0,0,4,4,3,8,2,3,1,0
2020-03-12,0,0,2,3,2,4,3,3,2,0
2020-03-13,0,1,4,3,4,6,5,5,2,0
2020-03-14,1,0,0,2,11,1,1,2,0,0
2020-03-15,0,0,1,3,3,5,4,0,2,1
2020-03-16,0,1,3,6,10,11,4,8,4,0
2020-03-17,0,2,2,6,9,8,9,3,3,0
2020-03-18,0,1,8,10,12,7,11,7,4,1
2020-03-19,0,1,7,8,12,14,6,5,6,0
2020-03-20,0,2,8,10,9,28,8,3,5,0
2020-03-21,0,2,3,3,6,11,4,2,0,0
2020-03-22,0,0,2,8,3,6,5,5,2,0
2020-03-23,1,1,9,12,9,27,14,9,4,0
2020-03-24,0,1,9,8,10,14,16,8,5,0
2020-03-25,0,1,7,7,5,9,12,7,8,0
2020-03-26,0,1,6,6,11,13,7,7,2,0
2020-03-27,0,1,5,9,6,15,10,11,6,0
2020-03-28,0,1,2,4,5,8,8,2,6,0
2020-03-29,0,1,0,1,3,5,4,2,2,0
2020-03-30,1,3,14,7,11,11,9,7,9,0
2020-03-31,1,1,8,2,8,17,8,5,4,0
2020-04-01,0,1,6,4,8,10,6,3,4,0
2020-04-02,0,1,3,10,4,13,4,4,2,0
2020-04-03,2,1,7,10,6,12,5,1,2,0
2020-04-04,1,2,4,3,3,3,2,2,2,0
2020-04-05,0,0,2,1,1,5,1,0,4,0
2020-04-06,2,1,8,5,5,12,3,5,2,0
2020-04-07,0,0,7,7,6,6,6,3,4,0
2020-04-08,0,0,6,2,6,5,4,1,2,0
2020-04-09,0,1,3,0,3,4,2,1,3,0
2020-04-10,0,0,1,1,2,5,2,1,0,0
2020-04-11,0,0,1,3,2,4,0,0,1,0
2020-04-12,0,1,1,2,2,3,1,1,1,0
2020-04-13,0,0,0,1,3,1,1,2,3,0
2020-04-14,0,1,2,1,5,2,3,1,3,0
2020-04-15,0,1,1,2,2,2,3,1,0,0
2020-04-16,0,0,4,3,2,1,1,3,1,0
2020-04-17,1,0,3,3,1,1,2,0,2,0
2020-04-18,0,0,1,2,2,0,0,0,1,0
2020-04-19,0,0,0,0,0,1,0,0,0,0
2020-04-20,0,0,1,2,4,0,0,1,2,0
2020-04-21,0,1,3,2,3,1,0,0,2,0
2020-04-22,0,0,1,0,0,2,1,0,1,0
2020-04-23,0,0,2,1,0,3,1,2,0,0
2020-04-24,0,1,2,1,1,1,1,0,1,0
2020-04-25,0,0,0,0,1,1,0,0,1,0
2020-04-26,0,0,1,1,0,0,0,0,0,0
2020-04-27,0,1,2,1,3,3,0,0,3,0
2020-04-28,0,0,3,1,0,0,1,0,1,0
2020-04-29,0,0,1,1,1,2,0,1,2,0
2020-04-30,0,1,1,1,1,1,2,0,0,0
2020-05-01,0,0,0,0,1,1,1,1,0,0
2020-05-02,0,0,0,0,1,1,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,1,1,1,1,0,0,0,0
2020-05-05,0,0,0,0,1,0,0,0,0,0
2020-05-06,0,0,1,1,1,0,0,0,0,0
2020-05-07,0,0,1,0,0,0,0,0,0,0
2020-05-08,0,1,1,0,0,0,0,0,1,0
2020-05-09,0,0,1,0,0,1,0,0,0,0
2020-05-10,0,1,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,1,0,0,0,0,0
2020-05-12,0,0,0,0,0,0,0,0,0,0
2020-05-13,0,1,0,1,1,0,1,0,1,0
2020-05-14,0,0,0,0,1,0,0,0,0,0
2020-05-15,0,0,0,1,0,0,0,1,0,0
2020-05-16,0,0,1,0,1,0,0,0,1,0
