date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,1,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,1,0,0,0,1,0,0,0
2020-03-03,0,0,1,0,1,0,1,0,0,0
2020-03-04,0,0,0,1,0,0,0,1,0,0
2020-03-05,0,0,1,0,0,0,0,0,0,0
2020-03-06,0,1,0,0,1,1,1,0,1,0
2020-03-07,0,0,0,0,0,0,0,0,0,0
2020-03-08,1,0,0,1,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,1,0,0,0,0
2020-03-10,0,0,1,0,1,1,0,0,0,0
2020-03-11,0,0,1,3,0,2,2,0,0,0
2020-03-12,0,0,0,2,5,3,2,0,1,0
2020-03-13,0,0,0,0,2,0,0,1,0,0
2020-03-14,0,0,4,4,0,5,1,0,1,0
2020-03-15,0,0,1,2,1,1,2,0,0,0
2020-03-16,2,1,5,3,12,5,1,0,2,0
2020-03-17,0,0,8,3,2,7,2,3,2,0
2020-03-18,0,2,5,9,4,9,4,1,0,0
2020-03-19,0,1,1,4,9,4,4,3,1,0
2020-03-20,0,1,6,3,5,12,6,0,2,0
2020-03-21,0,2,4,1,2,3,2,2,0,0
2020-03-22,1,0,4,6,1,2,2,0,0,0
2020-03-23,0,2,6,6,4,11,4,8,0,1
2020-03-24,0,0,5,6,2,5,5,0,3,0
2020-03-25,0,0,3,9,8,4,2,1,2,0
2020-03-26,1,2,5,1,5,7,4,3,1,0
2020-03-27,0,1,8,1,10,7,5,5,3,0
2020-03-28,0,1,4,3,1,4,2,1,1,0
2020-03-29,0,0,3,0,3,0,2,2,0,0
2020-03-30,0,2,6,6,6,7,1,2,8,0
2020-03-31,0,1,5,5,6,7,3,5,3,1
2020-04-01,0,0,5,1,5,9,2,0,7,0
2020-04-02,0,0,2,3,3,6,7,0,4,0
2020-04-03,0,1,6,2,6,7,3,2,7,0
2020-04-04,0,0,2,5,4,0,3,3,9,1
2020-04-05,0,1,3,0,0,0,1,0,2,0
2020-04-06,0,1,12,3,5,6,1,3,5,0
2020-04-07,1,1,4,2,4,8,0,1,5,0
2020-04-08,0,1,8,4,2,4,1,2,12,0
2020-04-09,0,0,1,2,4,2,1,0,2,0
2020-04-10,0,0,0,1,1,0,0,1,1,0
2020-04-11,0,0,1,3,1,2,3,1,2,0
2020-04-12,0,1,1,0,0,2,1,2,0,0
2020-04-13,0,0,1,1,0,1,1,1,5,0
2020-04-14,0,0,2,3,5,5,0,0,2,0
2020-04-15,0,0,5,0,3,2,3,0,4,0
2020-04-16,1,1,4,4,0,1,2,2,2,0
2020-04-17,0,0,1,4,1,0,0,2,3,0
2020-04-18,0,0,0,0,1,1,0,0,2,0
2020-04-19,0,1,3,0,0,0,0,0,1,0
2020-04-20,0,1,4,1,2,4,4,3,0,0
2020-04-21,0,1,4,1,3,2,0,0,0,0
2020-04-22,0,1,1,1,0,0,0,0,0,0
2020-04-23,0,3,1,2,2,1,2,0,0,0
2020-04-24,0,1,1,0,1,1,1,0,1,0
2020-04-25,0,0,0,0,2,1,0,1,0,0
2020-04-26,0,0,2,2,0,1,0,0,1,0
2020-04-27,1,0,0,3,0,1,0,0,1,0
2020-04-28,0,0,1,1,0,1,0,0,4,0
2020-04-29,0,0,2,1,1,2,2,0,1,0
2020-04-30,0,0,3,1,2,1,0,0,1,0
2020-05-01,0,0,1,1,1,1,0,0,0,0
2020-05-02,0,0,1,1,0,1,0,0,0,0
2020-05-03,0,0,0,0,1,0,1,0,0,0
2020-05-04,0,0,1,0,1,2,0,0,0,0
2020-05-05,0,0,1,1,0,0,0,1,0,0
2020-05-06,0,0,0,1,0,0,0,0,1,0
2020-05-07,0,0,0,2,0,1,1,0,0,0
2020-05-08,0,0,1,0,0,1,0,2,1,0
2020-05-09,0,1,0,0,0,1,0,0,2,0
2020-05-10,0,0,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,1,0,0,0,0,0
2020-05-12,0,0,0,1,0,0,0,0,1,0
2020-05-13,0,0,0,0,0,1,1,0,0,0
2020-05-14,0,0,0,1,0,1,0,0,1,0
2020-05-15,0,0,0,0,1,0,0,0,0,0
2020-05-16,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,1,0,1,0,0,0
2020-05-19,0,1,0,1,0,0,0,0,0,0
2020-05-20,0,0,1,0,0,1,0,0,0,0
2020-05-21,0,0,1,0,0,0,0,1,0,0
2020-05-22,0,0,0,0,0,1,0,1,0,0
2020-05-23,0,0,1,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,1,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,1,0,0,0,0,0,0,0
2020-05-28,0,0,0,1,0,0,0,0,0,0
2020-05-29,0,0,0,1,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,1,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,1,0,0,0,0,1,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,1,0,0,0,0,0,0,0
2020-06-08,0,0,1,1,0,1,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,2,0,1,0,1,0,0,0,0
2020-06-11,0,0,0,1,0,0,0,0,0,0
2020-06-12,0,1,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,1,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,0,1,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,0,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,1,0,0,0
2020-06-20,0,0,2,0,0,0,0,0,0,0
2020-06-21,0,0,1,0,0,1,0,0,0,0
2020-06-22,0,0,0,1,0,0,1,0,0,0
2020-06-23,0,0,1,1,0,0,0,0,1,0
2020-06-24,0,0,0,0,0,0,0,0,0,0
2020-06-25,0,0,0,0,0,0,0,0,0,0
2020-06-26,0,0,0,0,0,0,1,0,0,0
2020-06-27,0,0,1,0,0,0,0,0,0,0
2020-06-28,0,1,0,0,0,0,0,0,0,0
2020-06-29,0,0,1,1,1,0,0,0,0,0
2020-06-30,0,1,1,1,0,1,1,0,0,0
2020-07-01,0,0,1,0,0,0,0,0,0,0
2020-07-02,0,0,1,0,0,1,1,0,0,0
2020-07-03,0,0,2,0,0,1,0,0,0,0
2020-07-04,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,1,0,0,0,0,0,0,0
2020-07-06,0,1,1,2,0,0,0,0,0,0
2020-07-07,0,0,0,0,1,1,0,0,0,0
2020-07-08,0,0,0,1,1,1,0,1,0,0
2020-07-09,0,0,1,0,1,0,1,1,0,0
2020-07-10,0,0,1,1,0,1,1,0,0,0
2020-07-11,0,1,1,2,0,0,1,0,0,0
2020-07-12,0,0,0,0,1,0,0,0,0,0
2020-07-13,0,0,1,1,0,3,0,0,0,0
2020-07-14,0,1,0,0,1,0,0,0,0,0
2020-07-15,0,0,0,0,0,0,0,0,0,0
2020-07-16,0,0,2,0,0,0,0,1,1,0
2020-07-17,2,1,0,0,0,2,0,2,0,0
2020-07-18,0,0,1,0,0,0,0,0,1,0
2020-07-19,0,0,1,0,0,0,1,0,0,0
2020-07-20,0,0,2,2,0,0,0,0,0,0
2020-07-21,0,0,0,0,1,0,0,0,0,0
2020-07-22,0,0,0,0,1,0,0,0,0,0
2020-07-23,0,0,0,0,0,0,0,0,0,0
2020-07-24,1,0,3,1,0,1,1,0,0,0
2020-07-25,0,0,2,1,0,0,0,0,0,0
2020-07-26,0,0,1,0,0,0,0,0,0,0
2020-07-27,0,0,0,0,2,0,0,0,0,0
2020-07-28,0,0,1,1,0,1,1,0,0,0
2020-07-29,0,1,2,3,1,0,0,0,0,0
2020-07-30,0,0,2,0,1,1,0,0,0,0
2020-07-31,1,0,2,2,0,3,0,1,0,0
2020-08-01,0,0,1,1,0,0,0,0,0,0
2020-08-02,1,0,0,0,0,1,0,0,0,0
2020-08-03,0,1,4,1,1,1,0,0,0,0
2020-08-04,0,0,1,1,0,1,0,0,0,0
2020-08-05,0,0,1,2,0,1,0,0,0,0
2020-08-06,0,0,1,0,0,1,0,0,0,0
2020-08-07,0,2,0,0,0,0,1,1,0,0
2020-08-08,0,1,0,1,0,0,1,0,0,0
2020-08-09,0,0,1,0,0,0,0,1,0,0
2020-08-10,0,1,1,3,0,0,0,0,0,0
2020-08-11,0,2,6,0,3,0,0,0,0,0
2020-08-12,0,1,6,1,1,2,2,0,0,0
2020-08-13,0,0,3,0,1,0,1,1,0,0
2020-08-14,0,0,5,1,1,1,2,1,0,0
2020-08-15,0,0,0,0,0,1,0,1,0,0
2020-08-16,0,1,0,0,1,0,0,0,0,0
2020-08-17,1,0,3,0,0,0,0,0,0,0
2020-08-18,1,0,0,1,0,1,1,0,0,0
2020-08-19,0,1,1,1,1,2,1,0,0,0
2020-08-20,0,2,3,1,0,0,0,0,0,0
2020-08-21,1,1,2,2,1,2,0,0,0,0
2020-08-22,0,1,2,0,0,1,0,0,0,1
2020-08-23,0,0,1,1,0,0,0,0,0,0
2020-08-24,0,1,4,4,3,1,0,0,0,0
2020-08-25,1,0,2,1,2,0,1,0,0,0
2020-08-26,0,2,5,2,1,1,0,0,0,0
2020-08-27,0,1,3,4,1,1,1,0,0,0
2020-08-28,0,1,1,1,1,1,0,0,0,0
2020-08-29,0,1,1,0,0,0,0,0,0,0
2020-08-30,0,0,1,1,0,0,0,0,0,0
2020-08-31,0,2,2,2,2,0,1,0,0,0
2020-09-01,0,0,2,3,2,1,0,0,0,0
2020-09-02,0,4,6,0,1,1,0,0,0,0
2020-09-03,1,2,6,3,1,5,1,0,0,0
2020-09-04,0,4,1,3,1,3,1,0,0,0
2020-09-05,0,0,1,0,3,2,0,1,0,0
2020-09-06,0,1,1,1,1,0,0,1,0,0
2020-09-07,0,1,1,4,4,3,0,0,0,0
2020-09-08,0,1,3,2,1,4,0,0,0,0
2020-09-09,0,3,4,4,1,3,1,1,2,0
2020-09-10,0,1,5,1,4,5,2,0,0,0
2020-09-11,0,5,9,1,5,0,0,0,1,0
2020-09-12,0,2,2,1,0,1,1,1,1,0
2020-09-13,0,0,0,1,1,1,0,1,0,0
2020-09-14,0,4,11,4,9,2,1,0,1,0
2020-09-15,0,3,6,3,7,6,1,0,0,0
2020-09-16,0,3,7,8,10,4,2,0,0,0
2020-09-17,0,3,5,4,2,4,5,0,0,0
2020-09-18,0,2,6,8,2,9,3,2,0,0
2020-09-19,1,0,4,2,3,4,1,0,0,0
2020-09-20,0,1,0,1,2,2,0,0,1,0
2020-09-21,0,1,3,4,7,5,3,0,1,0
2020-09-22,0,0,5,1,3,4,1,1,0,0
2020-09-23,0,0,5,4,3,5,1,1,1,0
2020-09-24,0,0,5,2,2,6,0,2,2,0
2020-09-25,0,3,2,5,3,3,2,1,1,0
2020-09-26,0,1,1,2,3,4,0,2,2,0
2020-09-27,0,1,3,3,1,3,0,0,1,0
2020-09-28,0,0,6,3,2,5,0,3,0,0
2020-09-29,0,3,7,2,4,5,0,1,1,0
2020-09-30,0,3,7,3,1,5,1,2,0,0
2020-10-01,0,2,4,4,5,7,4,4,1,0
2020-10-02,0,3,5,7,6,6,5,1,1,0
2020-10-03,0,1,1,4,2,2,4,1,0,0
2020-10-04,0,3,4,0,1,2,1,1,0,0
2020-10-05,0,4,10,10,9,10,4,3,2,0
2020-10-06,0,3,11,9,7,10,3,4,4,0
2020-10-07,1,4,13,5,8,3,1,1,3,0
2020-10-08,1,2,19,10,5,10,3,4,2,0
2020-10-09,0,3,16,14,11,11,7,2,2,0
2020-10-10,0,8,11,5,9,9,3,2,1,0
2020-10-11,0,2,9,3,8,4,2,3,2,0
2020-10-12,0,10,26,18,17,27,16,8,8,0
2020-10-13,1,8,21,18,21,19,8,11,6,0
2020-10-14,0,13,22,11,26,18,12,9,4,0
2020-10-15,2,16,31,26,27,26,18,14,11,0
2020-10-16,0,15,25,30,30,26,14,11,10,0
2020-10-17,0,13,18,12,17,18,5,7,2,0
2020-10-18,1,7,15,15,10,6,10,2,3,0
2020-10-19,4,22,61,49,58,32,32,11,20,0
2020-10-20,2,27,49,37,54,47,33,17,23,0
2020-10-21,1,34,56,65,44,42,32,18,22,0
2020-10-22,3,29,53,44,46,60,30,17,33,0
2020-10-23,4,25,56,46,50,50,28,28,22,0
2020-10-24,1,22,38,38,44,30,16,14,13,0
2020-10-25,1,8,27,27,18,30,6,4,10,0
2020-10-26,0,49,79,81,80,93,47,35,45,0
2020-10-27,3,41,71,71,85,65,36,22,28,1
2020-10-28,6,48,63,48,64,67,43,30,27,0
2020-10-29,1,47,79,70,54,68,38,31,21,0
2020-10-30,0,24,56,59,63,73,48,33,29,0
2020-10-31,2,11,20,31,31,25,18,6,4,0
2020-11-01,1,3,9,12,10,11,7,5,2,0
2020-11-02,0,0,0,0,0,0,0,0,0,0
