date,AG,AI,AR,BE,BL,BS,FL,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-02-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,1,1,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2020-02-27,0,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
2020-02-28,0,0,0,0,2,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-02-29,2,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
2020-03-01,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2
2020-03-02,1,0,0,4,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,5,0,5,2,2,5
2020-03-03,1,0,0,3,0,1,0,3,1,0,1,1,1,1,0,0,0,0,0,3,0,10,0,4,0,3,1
2020-03-04,3,0,1,8,2,6,0,2,1,0,2,3,3,7,0,0,0,0,0,0,1,7,0,8,1,1,5
2020-03-05,2,0,0,5,3,10,0,1,4,0,3,0,0,1,0,0,0,0,1,1,0,14,0,11,1,0,5
2020-03-06,2,0,0,9,8,5,0,1,17,0,0,0,2,4,0,0,3,0,0,0,0,9,0,8,0,0,5
2020-03-07,0,0,0,0,1,5,0,0,6,0,1,0,0,5,0,0,0,0,0,0,0,12,0,11,1,0,7
2020-03-08,1,0,1,3,0,7,0,4,9,0,1,1,1,6,1,0,1,0,0,0,1,9,0,10,6,0,7
2020-03-09,3,0,1,4,3,13,0,3,29,1,11,1,1,3,4,0,8,0,2,2,2,48,0,36,4,0,13
2020-03-10,3,0,0,7,4,18,2,10,18,1,4,3,2,4,2,1,1,1,4,1,1,47,0,40,5,0,33
2020-03-11,7,0,2,16,15,40,1,8,33,2,12,0,3,7,0,6,8,0,1,1,1,49,0,74,7,1,40
2020-03-12,7,0,0,24,12,23,1,6,49,1,8,4,7,3,0,0,8,0,3,7,2,49,0,75,25,4,39
2020-03-13,6,2,1,11,23,23,2,4,72,1,14,3,5,13,2,3,9,0,0,4,7,61,0,97,16,1,53
2020-03-14,10,0,3,19,8,19,4,9,67,4,11,4,8,9,2,5,7,1,3,4,1,56,0,107,21,4,34
2020-03-15,8,0,1,20,14,18,3,5,31,0,18,3,5,5,0,0,3,0,5,3,2,44,0,92,10,0,39
2020-03-16,33,2,5,68,33,31,5,24,124,5,25,3,24,13,15,2,28,5,18,15,10,140,1,238,59,4,135
2020-03-17,36,1,2,54,25,38,6,28,169,4,35,4,25,20,2,1,29,3,6,7,10,140,3,248,52,10,130
2020-03-18,35,0,4,62,39,54,9,26,142,3,51,8,32,28,4,2,27,3,11,20,8,156,1,270,81,4,134
2020-03-19,32,2,7,52,33,38,2,18,61,3,43,7,14,19,2,0,20,3,9,5,5,69,0,217,38,2,136
2020-03-20,37,1,2,61,49,56,8,35,59,4,27,11,26,15,5,1,39,13,18,7,19,163,5,242,95,8,141
2020-03-21,11,0,1,42,25,34,2,18,152,1,27,4,15,5,2,2,9,2,7,1,5,77,2,121,51,5,72
2020-03-22,9,0,0,35,22,43,2,23,87,1,14,4,15,13,2,2,11,1,10,5,4,45,7,105,37,0,51
2020-03-23,42,0,3,70,37,73,3,41,175,8,61,18,42,22,2,1,49,2,16,12,10,183,7,311,96,4,176
2020-03-24,54,2,3,54,50,40,2,36,139,1,33,12,22,26,3,0,29,1,21,8,14,168,6,272,101,7,140
2020-03-25,46,1,3,58,48,43,4,39,142,4,37,13,24,19,6,2,30,2,14,8,7,138,3,194,69,7,111
2020-03-26,35,0,3,54,34,34,4,37,205,2,28,10,46,19,4,3,31,3,15,11,9,125,5,206,76,5,114
2020-03-27,54,2,2,80,41,44,1,47,180,4,26,10,20,24,13,4,35,0,20,3,17,178,6,238,92,7,160
2020-03-28,22,1,4,24,23,28,1,28,219,2,14,4,12,14,2,2,8,1,3,3,5,47,3,132,45,5,71
2020-03-29,18,0,2,20,9,15,2,13,103,0,8,2,12,23,0,2,2,2,5,0,3,27,2,88,34,2,40
2020-03-30,59,0,4,74,38,45,4,33,245,4,47,12,24,28,5,2,37,1,18,11,19,132,4,214,85,7,158
2020-03-31,42,3,5,73,30,31,4,57,281,1,27,4,22,23,3,1,36,2,10,7,12,99,2,162,68,3,129
2020-04-01,37,3,2,58,18,36,3,35,277,1,21,4,20,11,2,3,22,1,8,8,14,81,3,153,69,12,115
2020-04-02,33,0,2,43,18,19,1,34,249,2,18,0,21,11,3,4,22,1,13,2,14,61,3,136,47,6,115
2020-04-03,40,1,1,63,21,29,1,42,196,2,18,7,23,18,3,0,32,1,8,14,8,71,2,137,50,7,133
2020-04-04,23,0,1,40,15,12,0,41,121,0,2,5,13,2,2,1,9,1,4,5,6,31,0,72,33,4,43
2020-04-05,11,0,1,14,10,12,0,17,73,0,3,5,4,11,0,3,6,0,2,4,4,21,0,41,15,2,22
2020-04-06,43,0,2,71,18,21,1,40,189,3,20,3,10,27,6,1,36,3,17,8,20,94,3,119,68,4,98
2020-04-07,35,2,3,52,21,20,0,28,172,3,15,5,16,24,2,1,24,0,5,5,16,57,0,82,38,2,87
2020-04-08,22,1,2,59,15,17,1,23,130,6,19,5,17,4,3,1,13,2,9,17,7,43,2,94,37,3,61
2020-04-09,25,0,1,21,9,9,0,29,110,15,5,1,14,21,1,0,12,2,11,28,12,54,1,97,27,2,52
2020-04-10,11,0,0,17,3,6,0,17,51,1,7,1,7,18,1,0,3,0,5,3,6,38,0,49,31,0,34
2020-04-11,5,0,0,20,9,5,1,18,53,0,3,1,3,17,1,0,8,0,7,2,3,23,1,40,24,0,18
2020-04-12,8,0,0,11,7,7,0,14,34,13,0,0,6,5,1,0,7,2,3,2,3,10,1,39,13,2,31
2020-04-13,12,0,0,17,6,11,0,11,54,1,3,4,6,19,0,0,6,1,2,2,3,11,0,44,14,1,17
2020-04-14,24,0,0,36,18,6,0,18,79,2,7,0,5,12,0,0,9,0,12,4,6,34,0,70,28,0,54
2020-04-15,16,0,1,30,11,8,0,21,67,1,7,1,4,13,2,1,10,1,6,1,8,25,1,51,13,1,28
2020-04-16,19,0,0,22,8,12,1,28,64,3,6,2,14,4,0,2,7,1,5,2,7,25,0,30,17,2,40
2020-04-17,23,0,2,18,3,3,0,19,64,1,2,2,10,9,0,1,12,1,3,4,4,31,0,33,17,0,29
2020-04-18,5,0,1,8,2,3,0,10,32,2,6,0,9,0,0,0,3,0,0,3,5,13,0,19,9,1,13
2020-04-19,0,0,0,10,1,1,0,4,16,1,3,3,3,4,0,0,3,0,1,1,1,7,0,11,9,0,8
