date,cases,hospitalizations,deaths
2020-02-24,1,5,0
2020-02-25,1,4,0
2020-02-26,10,9,0
2020-02-27,12,4,0
2020-02-28,10,5,0
2020-02-29,13,12,0
2020-03-01,11,10,0
2020-03-02,31,14,0
2020-03-03,34,17,0
2020-03-04,61,12,0
2020-03-05,62,15,2
2020-03-06,73,23,0
2020-03-07,49,8,0
2020-03-08,69,17,1
2020-03-09,192,29,0
2020-03-10,212,40,2
2020-03-11,334,48,3
2020-03-12,357,51,4
2020-03-13,433,54,3
2020-03-14,420,64,5
2020-03-15,329,54,8
2020-03-16,1065,118,7
2020-03-17,1088,97,12
2020-03-18,1214,113,8
2020-03-19,837,109,14
2020-03-20,1147,141,21
2020-03-21,693,117,19
2020-03-22,548,134,18
2020-03-23,1464,161,23
2020-03-24,1244,181,19
2020-03-25,1072,198,39
2020-03-26,1118,164,38
2020-03-27,1308,207,31
2020-03-28,723,122,57
2020-03-29,434,121,45
2020-03-30,1310,164,58
2020-03-31,1137,125,44
2020-04-01,1017,97,57
2020-04-02,878,95,60
2020-04-03,928,75,54
2020-04-04,486,56,55
2020-04-05,281,50,50
2020-04-06,925,71,50
2020-04-07,715,58,53
2020-04-08,613,59,58
2020-04-09,559,57,44
2020-04-10,309,40,50
2020-04-11,262,43,44
2020-04-12,219,32,36
2020-04-13,245,27,36
2020-04-14,424,52,37
2020-04-15,328,32,37
2020-04-16,321,37,38
2020-04-17,291,32,36
2020-04-18,144,14,32
2020-04-19,87,23,21
2020-04-20,277,23,37
2020-04-21,213,18,33
2020-04-22,156,21,26
2020-04-23,208,9,29
2020-04-24,167,13,24
2020-04-25,87,14,24
2020-04-26,61,6,13
2020-04-27,173,13,23
2020-04-28,153,14,11
2020-04-29,120,11,10
2020-04-30,101,4,13
2020-05-01,83,7,12
2020-05-02,47,7,9
2020-05-03,23,7,8
2020-05-04,90,3,9
2020-05-05,73,6,8
2020-05-06,80,2,4
2020-05-07,46,7,12
2020-05-08,59,3,7
2020-05-09,39,2,5
2020-05-10,16,6,7
2020-05-11,47,5,3
2020-05-12,43,1,1
2020-05-13,37,6,1
2020-05-14,38,3,2
2020-05-15,41,3,5
2020-05-16,15,3,1
2020-05-17,12,5,4
2020-05-18,34,4,3
2020-05-19,36,2,4
2020-05-20,29,2,0
2020-05-21,11,3,5
2020-05-22,20,4,1
2020-05-23,16,1,1
2020-05-24,10,1,0
2020-05-25,15,1,2
2020-05-26,19,5,2
2020-05-27,25,0,0
2020-05-28,30,4,0
2020-05-29,21,2,0
2020-05-30,11,3,0
2020-05-31,7,3,0
2020-06-01,3,0,0
2020-06-02,23,0,0
2020-06-03,23,2,0
2020-06-04,17,3,0
2020-06-05,15,0,0
2020-06-06,10,0,1
2020-06-07,8,0,0
2020-06-08,25,1,1
2020-06-09,11,0,0
2020-06-10,24,1,1
2020-06-11,25,1,0
2020-06-12,34,2,0
2020-06-13,9,0,1
2020-06-14,12,1,0
2020-06-15,32,1,0
2020-06-16,21,0,1
2020-06-17,18,2,0
2020-06-18,18,3,0
2020-06-19,37,3,0
2020-06-20,32,6,0
2020-06-21,13,0,1
2020-06-22,56,4,1
2020-06-23,37,3,0
2020-06-24,64,3,0
2020-06-25,48,0,0
2020-06-26,92,4,0
2020-06-27,36,1,0
2020-06-28,22,1,0
2020-06-29,158,5,1
2020-06-30,136,8,0
2020-07-01,102,6,1
2020-07-02,127,5,0
2020-07-03,96,5,0
2020-07-04,26,2,0
2020-07-05,37,7,0
2020-07-06,105,2,0
2020-07-07,107,7,0
2020-07-08,96,3,2
2020-07-09,97,11,0
2020-07-10,111,7,0
2020-07-11,70,10,0
2020-07-12,46,12,0
2020-07-13,120,5,1
2020-07-14,128,5,0
2020-07-15,122,7,1
2020-07-16,106,5,1
2020-07-17,115,6,1
2020-07-18,80,6,0
2020-07-19,41,1,0
2020-07-20,127,7,2
2020-07-21,138,6,1
2020-07-22,117,7,0
2020-07-23,143,7,0
2020-07-24,148,14,1
2020-07-25,95,10,1
2020-07-26,57,4,0
2020-07-27,193,7,1
2020-07-28,188,12,1
2020-07-29,220,14,0
2020-07-30,211,5,0
2020-07-31,163,9,2
2020-08-01,96,6,1
2020-08-02,80,5,0
2020-08-03,196,5,0
2020-08-04,181,2,1
2020-08-05,152,7,1
2020-08-06,156,12,1
2020-08-07,184,6,1
2020-08-08,130,8,1
2020-08-09,99,7,0
2020-08-10,281,8,1
2020-08-11,255,6,0
2020-08-12,247,5,0
2020-08-13,273,9,1
2020-08-14,234,7,0
2020-08-15,149,8,3
2020-08-16,141,7,0
2020-08-17,286,9,1
2020-08-18,295,7,0
2020-08-19,284,6,0
2020-08-20,350,8,0
2020-08-21,314,8,1
2020-08-22,193,4,1
2020-08-23,136,6,2
2020-08-24,306,7,1
2020-08-25,337,5,0
2020-08-26,362,6,0
2020-08-27,352,5,2
2020-08-28,374,9,0
2020-08-29,216,2,0
2020-08-30,144,7,1
2020-08-31,346,6,1
2020-09-01,364,10,1
2020-09-02,415,11,3
2020-09-03,436,11,1
2020-09-04,424,10,2
2020-09-05,293,8,2
2020-09-06,170,8,3
2020-09-07,466,14,1
2020-09-08,388,7,1
2020-09-09,461,13,7
2020-09-10,506,21,0
2020-09-11,531,12,4
2020-09-12,266,13,3
2020-09-13,238,11,1
2020-09-14,502,10,0
2020-09-15,458,9,3
2020-09-16,516,21,5
2020-09-17,498,13,4
2020-09-18,445,20,2
2020-09-19,285,11,1
2020-09-20,201,12,0
2020-09-21,395,20,3
2020-09-22,425,9,1
2020-09-23,386,14,1
2020-09-24,309,16,3
2020-09-25,359,12,1
2020-09-26,222,7,2
2020-09-27,120,18,1
2020-09-28,367,16,3
2020-09-29,448,25,1
2020-09-30,538,19,0
2020-10-01,603,16,6
2020-10-02,680,21,1
2020-10-03,513,15,0
2020-10-04,314,13,1
2020-10-05,1020,15,2
2020-10-06,1097,30,1
2020-10-07,1379,36,2
2020-10-08,1474,44,3
2020-10-09,1725,44,3
2020-10-10,1253,29,3
2020-10-11,808,43,3
2020-10-12,2564,73,5
2020-10-13,2693,60,5
2020-10-14,3003,75,4
2020-10-15,3407,79,5
2020-10-16,3691,90,8
2020-10-17,2381,98,6
2020-10-18,1788,65,5
2020-10-19,5411,142,12
2020-10-20,5675,133,10
2020-10-21,6468,118,11
2020-10-22,6777,136,19
2020-10-23,7531,165,18
2020-10-24,4682,134,21
2020-10-25,3219,159,16
2020-10-26,10057,196,13
2020-10-27,9693,161,33
2020-10-28,9319,188,36
2020-10-29,8932,165,50
2020-10-30,8883,199,33
2020-10-31,5123,117,48
2020-11-01,3610,132,46
2020-11-02,10261,169,49
2020-11-03,8358,118,44
2020-11-04,3998,21,22
2020-11-05,5,1,0
