date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0969719507907585,0.0,
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-19,0.0,0.0,0.0,0.0,0.28597343635443573,0.0,0.0,0.0,0.5065170037792233,
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.239574893907145,-0.22632525145785864,
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4200589327238573,
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5475695011570585,-0.7175543950951145,
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9261288872371258,
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.22027957222558014,0.0,0.0,0.0,
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7770892500392397,
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37085312220636235,1.263452029286134,
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46144470860330533,1.7670477224380772,
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17270100845045033,-0.1706630272007541,
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22591880926519026,-4.90122589300735,
2020-03-31,0.0,0.0,0.0,0.0,0.0,-0.3642783097425919,1.1300756244209555,0.0,1.2316404847019857,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6634620784575063,-2.127679211288865,
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028302481335998664,0.45726753649524765,
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3363593201306019,
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.617915992164754,0.0,-1.279161622673846,
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.34314709609482175,0.6475554824526282,
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11006407865538703,
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.340613896165888,
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7085224763872069,
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22423954675373503,
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.5009619642267931,0.0,0.0,
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.924620380986081,
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
