date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,1,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,1,1,1,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,2,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,1,0,0,0,0,0
2020-03-09,0,0,0,1,0,0,0,0,0,0
2020-03-10,0,0,1,1,0,0,0,0,0,0
2020-03-11,0,0,0,1,0,1,0,0,1,0
2020-03-12,0,0,0,3,3,1,0,0,0,0
2020-03-13,0,0,0,1,0,1,0,1,1,1
2020-03-14,0,0,1,0,2,2,1,0,2,0
2020-03-15,0,0,0,0,0,2,1,2,0,0
2020-03-16,0,0,3,5,6,7,1,1,1,0
2020-03-17,0,0,4,5,3,8,3,2,0,0
2020-03-18,0,5,5,2,2,6,7,3,2,0
2020-03-19,0,0,4,1,1,6,1,1,0,0
2020-03-20,0,0,4,8,1,9,3,1,0,0
2020-03-21,0,1,2,1,3,3,4,0,0,1
2020-03-22,0,0,1,4,2,3,2,1,2,0
2020-03-23,0,1,4,5,2,13,7,6,4,0
2020-03-24,0,0,2,0,4,7,4,1,4,0
2020-03-25,0,0,5,4,2,5,3,3,2,0
2020-03-26,0,0,6,8,8,12,7,5,0,0
2020-03-27,0,0,1,2,3,6,5,1,2,0
2020-03-28,0,2,1,1,2,4,2,0,0,0
2020-03-29,0,0,1,2,4,1,1,2,1,0
2020-03-30,0,0,6,1,6,5,0,4,2,0
2020-03-31,0,0,4,1,6,4,2,4,1,0
2020-04-01,0,1,0,5,3,5,1,1,4,0
2020-04-02,0,1,3,1,3,7,1,3,2,0
2020-04-03,0,1,2,2,1,7,2,2,6,0
2020-04-04,0,0,2,1,3,3,2,2,0,0
2020-04-05,0,0,0,0,0,2,0,2,0,0
2020-04-06,0,0,3,1,0,1,2,2,1,0
2020-04-07,0,0,2,0,6,4,1,0,3,0
2020-04-08,0,1,5,3,3,2,2,1,0,0
2020-04-09,0,0,2,3,0,3,1,1,4,0
2020-04-10,0,0,1,1,2,1,1,1,0,0
2020-04-11,0,1,0,0,0,0,1,1,0,0
2020-04-12,0,0,1,1,1,2,0,0,1,0
2020-04-13,0,0,2,1,1,0,1,1,0,0
2020-04-14,0,0,1,0,0,3,0,0,1,0
2020-04-15,0,0,0,1,0,1,0,1,1,0
2020-04-16,0,2,1,2,1,1,0,0,7,0
2020-04-17,0,0,0,3,1,3,0,0,3,0
2020-04-18,0,1,0,1,0,3,0,0,4,0
2020-04-19,0,0,1,1,0,1,0,0,0,0
2020-04-20,0,0,1,0,1,3,0,0,1,0
2020-04-21,0,1,1,0,3,1,0,0,0,0
2020-04-22,0,0,2,1,3,0,1,0,0,0
2020-04-23,0,0,2,2,0,1,0,0,0,0
2020-04-24,0,2,2,0,1,3,0,0,0,0
2020-04-25,0,0,1,2,0,0,0,0,0,0
2020-04-26,0,0,2,0,1,1,0,1,0,0
2020-04-27,0,0,1,2,1,2,1,0,0,0
2020-04-28,0,0,1,0,2,1,0,0,1,0
2020-04-29,0,0,1,2,2,2,0,1,1,0
2020-04-30,0,0,1,1,0,0,0,0,0,0
2020-05-01,0,1,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,0,0,0,1,0,0,1,0
2020-05-05,0,1,0,0,0,0,0,0,0,0
2020-05-06,0,0,1,0,0,1,1,0,0,0
2020-05-07,0,0,0,0,0,1,0,0,0,0
2020-05-08,0,0,0,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,1,0,0,0,0,0,0
2020-05-11,0,0,1,0,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0,0,0,0,0
2020-05-14,0,2,0,0,1,0,0,0,0,0
2020-05-15,0,0,1,0,0,1,1,0,0,0
2020-05-16,0,0,0,0,0,1,0,1,0,0
2020-05-17,0,0,2,0,0,0,0,0,0,0
2020-05-18,0,0,3,0,0,0,1,0,0,0
2020-05-19,0,0,0,0,0,0,1,0,0,0
2020-05-20,0,0,0,0,0,1,0,0,1,0
2020-05-21,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,1,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,1,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,0,0,0,0,0,0,0,0
2020-06-03,0,1,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0
2020-06-10,1,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,0,0,0,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,1,0,0,0,0,0,0,0
2020-06-15,0,0,1,0,0,0,0,0,0,0
2020-06-16,0,0,0,0,1,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,1,0,0,0,0,0,0,0
2020-06-19,0,0,0,0,0,0,0,0,0,0
2020-06-20,0,0,1,1,1,0,0,0,0,0
2020-06-21,0,0,1,0,0,0,0,0,0,0
2020-06-22,0,0,1,0,0,0,0,0,0,0
2020-06-23,0,0,0,0,0,0,0,0,0,0
2020-06-24,0,0,1,0,0,0,0,0,0,0
2020-06-25,0,0,0,1,0,0,0,1,0,0
2020-06-26,0,0,0,0,0,0,0,0,0,0
2020-06-27,0,0,0,2,1,0,1,0,0,0
2020-06-28,0,0,1,0,0,0,0,0,0,0
2020-06-29,0,0,5,1,0,1,0,0,0,0
2020-06-30,0,0,0,0,1,1,0,0,0,0
2020-07-01,0,0,0,0,0,0,0,0,0,0
2020-07-02,0,0,2,1,0,2,0,0,0,0
2020-07-03,0,0,1,1,0,0,0,0,0,0
2020-07-04,0,0,0,1,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,1,0,0,1,0,0,0
2020-07-07,0,0,0,0,0,1,1,0,0,0
2020-07-08,0,0,0,0,1,0,2,0,0,0
2020-07-09,0,0,0,1,1,0,1,1,0,0
2020-07-10,0,0,0,0,3,1,0,1,0,0
2020-07-11,0,0,0,1,0,0,0,0,0,0
2020-07-12,0,0,1,1,1,0,2,0,0,0
2020-07-13,0,0,1,0,1,0,2,0,0,0
2020-07-14,0,1,2,1,1,2,0,1,0,0
2020-07-15,0,0,1,0,0,1,1,0,0,0
2020-07-16,0,0,4,0,1,0,0,1,0,0
2020-07-17,0,0,1,1,1,0,2,0,0,0
2020-07-18,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,0,1,0,0,0,0,0,0
2020-07-20,0,1,1,1,1,1,0,1,0,0
2020-07-21,0,0,1,1,1,0,0,0,0,0
2020-07-22,0,0,0,0,0,1,1,0,0,0
2020-07-23,0,1,1,0,3,1,0,0,0,0
2020-07-24,0,1,1,0,0,1,0,0,0,0
2020-07-25,0,0,0,0,0,0,0,0,0,0
2020-07-26,0,0,0,0,0,0,0,0,0,0
2020-07-27,0,0,1,1,0,2,1,1,0,0
2020-07-28,1,1,1,0,1,3,2,0,0,0
2020-07-29,1,2,1,2,1,0,2,1,0,0
2020-07-30,1,2,1,1,0,1,1,0,0,0
2020-07-31,0,0,0,1,0,2,1,0,0,0
2020-08-01,0,0,0,0,0,1,0,0,0,0
2020-08-02,0,0,1,1,0,1,0,0,0,0
2020-08-03,0,0,5,1,1,3,1,0,0,0
2020-08-04,0,1,3,2,0,3,0,0,0,0
2020-08-05,0,1,3,2,0,1,2,0,0,0
2020-08-06,1,0,1,2,0,1,0,0,0,0
2020-08-07,0,1,3,0,1,2,1,0,0,0
2020-08-08,0,0,0,0,0,0,0,0,0,0
2020-08-09,0,0,1,0,0,0,0,0,0,0
2020-08-10,0,1,2,2,1,2,2,0,0,0
2020-08-11,0,0,1,0,2,0,2,0,0,0
2020-08-12,0,2,6,0,3,1,0,1,0,0
2020-08-13,1,4,7,4,0,1,1,0,0,0
2020-08-14,2,0,5,0,0,1,0,0,0,0
2020-08-15,0,1,2,0,0,1,0,0,0,0
2020-08-16,0,0,0,1,0,0,0,0,0,0
2020-08-17,0,0,2,1,0,0,1,0,0,0
2020-08-18,0,0,3,1,1,2,1,0,0,0
2020-08-19,0,0,2,0,0,0,0,0,0,0
2020-08-20,0,0,3,1,1,0,1,0,0,0
2020-08-21,0,1,1,1,2,0,2,0,0,0
2020-08-22,0,0,1,0,0,0,0,0,0,0
2020-08-23,0,0,0,1,0,2,1,0,0,0
2020-08-24,0,0,1,0,1,0,0,0,0,0
2020-08-25,0,1,5,1,3,0,0,0,0,0
2020-08-26,0,2,3,0,1,1,1,0,0,0
2020-08-27,0,3,4,0,1,0,1,0,0,0
2020-08-28,0,3,2,1,3,1,0,0,0,0
2020-08-29,0,0,1,2,1,0,1,0,0,0
2020-08-30,0,0,0,0,0,0,0,0,1,0
2020-08-31,0,2,0,2,1,0,0,0,1,0
2020-09-01,0,1,1,1,1,0,2,0,0,0
2020-09-02,0,0,3,0,1,1,1,0,0,0
2020-09-03,0,1,1,2,0,1,0,0,0,0
2020-09-04,0,1,0,2,0,1,0,0,0,0
2020-09-05,0,0,0,0,0,0,2,0,0,0
2020-09-06,0,0,2,0,0,1,0,0,0,0
2020-09-07,0,0,0,0,1,0,1,0,0,0
2020-09-08,0,1,2,1,1,0,0,0,0,0
2020-09-09,0,0,2,1,2,2,0,0,0,0
2020-09-10,1,0,1,1,1,1,3,1,0,0
2020-09-11,0,0,2,1,0,1,0,0,0,0
2020-09-12,0,0,2,0,0,0,0,0,0,0
2020-09-13,0,0,2,2,0,2,0,0,0,0
2020-09-14,0,0,1,3,2,0,0,0,0,0
2020-09-15,0,1,4,0,1,2,0,0,1,0
2020-09-16,0,0,0,2,3,4,0,0,0,0
2020-09-17,0,5,3,1,0,0,0,0,1,0
2020-09-18,0,5,1,1,2,3,0,0,0,0
2020-09-19,0,0,1,0,1,0,0,1,0,0
2020-09-20,0,1,1,0,2,1,0,0,0,0
2020-09-21,0,2,2,0,1,1,0,0,0,0
2020-09-22,0,2,1,0,1,1,1,0,0,0
2020-09-23,0,0,0,3,1,1,2,0,0,0
2020-09-24,0,0,1,1,0,0,0,0,0,0
2020-09-25,0,2,3,0,3,1,0,0,0,0
2020-09-26,0,0,1,0,1,1,0,0,1,0
2020-09-27,0,0,0,0,1,0,0,0,0,0
2020-09-28,0,0,0,1,2,2,1,0,0,0
2020-09-29,0,0,2,2,2,1,1,0,0,0
2020-09-30,0,1,5,1,0,3,3,0,0,0
2020-10-01,0,0,1,1,4,3,0,0,0,0
2020-10-02,0,0,2,3,1,2,3,0,0,0
2020-10-03,0,0,1,2,1,1,1,0,0,0
2020-10-04,0,0,3,0,1,1,0,0,0,0
2020-10-05,0,0,5,4,2,1,1,1,0,0
2020-10-06,0,1,5,7,4,4,5,0,1,0
2020-10-07,0,0,5,10,4,12,5,1,3,0
2020-10-08,1,1,11,9,4,8,7,1,3,0
2020-10-09,1,6,11,15,12,10,4,1,0,0
2020-10-10,0,2,11,8,4,11,4,1,1,0
2020-10-11,0,2,6,2,2,3,3,1,3,0
2020-10-12,0,3,19,22,11,16,6,2,0,0
2020-10-13,1,6,19,15,14,19,6,3,4,0
2020-10-14,2,7,21,12,14,22,11,2,1,0
2020-10-15,0,11,51,18,23,25,14,4,3,0
2020-10-16,0,9,22,19,21,19,11,7,5,0
2020-10-17,1,4,9,5,6,9,7,4,4,0
2020-10-18,1,5,23,13,15,5,4,5,3,0
2020-10-19,0,11,42,32,26,30,15,9,5,0
2020-10-20,0,22,40,42,28,21,14,9,4,0
2020-10-21,0,13,46,35,29,43,16,5,11,0
2020-10-22,4,29,49,43,37,32,16,10,11,0
2020-10-23,0,26,71,36,40,40,23,18,8,0
2020-10-24,1,12,17,21,13,15,13,8,6,0
2020-10-25,1,6,24,19,15,12,5,6,1,0
2020-10-26,2,29,86,54,60,65,48,14,10,0
2020-10-27,1,30,46,43,42,51,30,21,15,0
2020-10-28,0,33,63,62,53,61,22,15,3,0
2020-10-29,0,25,76,63,42,69,23,13,7,0
2020-10-30,4,26,71,61,46,69,37,9,11,0
2020-10-31,1,16,43,41,24,29,14,5,7,0
2020-11-01,2,5,14,20,7,7,8,2,1,0
2020-11-02,2,21,59,53,36,64,30,14,9,0
2020-11-03,4,26,48,64,52,55,23,9,11,0
2020-11-04,1,29,83,39,40,44,27,17,11,0
2020-11-05,0,31,62,41,43,50,26,16,19,0
2020-11-06,6,26,47,44,35,30,23,10,13,0
2020-11-07,2,11,26,20,19,15,19,10,42,0
2020-11-08,1,1,4,5,8,4,1,3,2,0
2020-11-09,0,19,37,28,32,25,14,8,5,0
2020-11-10,0,0,0,0,0,0,0,0,0,0
