date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,1,0,0
2020-03-03,0,0,0,0,1,0,1,0,0,0
2020-03-04,0,0,0,1,0,1,0,1,1,0
2020-03-05,0,0,0,1,1,3,1,0,0,0
2020-03-06,0,0,0,0,1,0,0,1,1,0
2020-03-07,0,0,0,0,1,1,0,3,1,0
2020-03-08,0,0,0,1,2,1,0,0,0,0
2020-03-09,0,1,0,1,2,4,6,3,1,0
2020-03-10,0,1,3,3,3,4,1,2,0,0
2020-03-11,0,0,12,6,6,6,4,7,0,0
2020-03-12,0,1,8,5,8,3,7,3,3,0
2020-03-13,0,1,5,5,16,9,6,10,7,0
2020-03-14,0,0,7,12,6,12,7,8,8,0
2020-03-15,0,0,7,6,7,14,5,4,6,0
2020-03-16,0,4,9,26,18,35,16,10,14,0
2020-03-17,1,1,13,25,26,20,19,8,18,0
2020-03-18,0,3,18,26,31,29,17,13,13,0
2020-03-19,1,1,12,17,17,20,16,13,14,0
2020-03-20,0,1,17,17,20,27,16,14,19,0
2020-03-21,0,1,12,8,9,10,7,12,5,0
2020-03-22,0,0,9,5,8,11,6,7,6,0
2020-03-23,0,6,17,27,34,32,17,18,40,0
2020-03-24,0,5,16,17,23,25,20,12,29,0
2020-03-25,1,2,20,18,22,18,16,5,60,0
2020-03-26,0,2,19,16,15,19,14,10,57,0
2020-03-27,0,4,13,15,20,36,11,13,26,0
2020-03-28,0,1,7,9,13,14,6,13,60,0
2020-03-29,0,1,5,5,10,9,5,5,6,0
2020-03-30,0,3,22,10,15,31,7,11,85,0
2020-03-31,0,2,14,9,13,22,9,9,33,0
2020-04-01,0,2,9,11,18,19,7,8,14,2
2020-04-02,0,1,15,10,14,16,7,2,39,0
2020-04-03,0,3,8,7,22,12,6,6,95,0
2020-04-04,1,0,6,1,8,7,5,6,14,0
2020-04-05,0,0,3,4,3,6,1,1,14,0
2020-04-06,0,1,8,7,8,10,4,21,68,1
2020-04-07,0,0,9,11,8,11,6,4,12,0
2020-04-08,0,3,14,6,9,7,5,2,24,0
2020-04-09,0,4,4,4,3,11,4,3,44,0
2020-04-10,0,1,3,3,4,2,3,5,7,0
2020-04-11,0,0,3,4,2,3,4,3,7,0
2020-04-12,0,0,4,6,3,2,2,2,35,0
2020-04-13,0,1,6,4,3,5,2,1,5,0
2020-04-14,0,1,5,7,5,2,6,2,72,0
2020-04-15,0,0,2,4,5,2,2,1,28,0
2020-04-16,0,0,4,2,3,2,1,2,16,0
2020-04-17,0,0,3,4,2,2,2,2,15,0
2020-04-18,0,1,1,1,2,0,2,1,2,0
2020-04-19,0,0,0,1,0,6,0,1,2,0
2020-04-20,0,0,1,5,3,3,1,1,18,0
2020-04-21,0,0,4,2,4,3,2,0,5,0
2020-04-22,0,0,4,0,1,2,1,1,4,0
2020-04-23,0,0,3,3,2,3,1,0,20,0
2020-04-24,1,0,1,1,0,5,1,1,4,0
2020-04-25,0,1,2,4,0,2,0,0,0,0
2020-04-26,0,1,1,1,1,0,1,0,0,0
2020-04-27,0,0,3,3,2,1,0,0,6,0
2020-04-28,0,0,2,2,3,3,1,1,1,0
2020-04-29,0,0,1,1,0,2,0,1,0,0
2020-04-30,0,1,1,2,0,1,1,0,2,0
2020-05-01,0,0,1,0,1,1,1,0,0,0
2020-05-02,1,0,0,1,0,1,2,0,0,0
2020-05-03,0,0,2,2,1,0,0,0,0,0
2020-05-04,0,0,1,2,2,1,0,0,0,0
2020-05-05,0,0,1,1,3,0,1,0,0,0
2020-05-06,1,1,3,6,1,1,0,0,0,0
2020-05-07,0,0,1,0,0,1,0,0,0,0
2020-05-08,1,0,0,0,0,0,3,0,2,0
2020-05-09,0,0,0,0,0,0,1,0,1,0
2020-05-10,0,0,0,0,0,1,0,0,0,0
2020-05-11,0,1,0,1,0,0,3,0,0,0
2020-05-12,0,1,0,2,1,1,0,0,1,0
2020-05-13,0,1,1,0,1,1,0,1,0,0
2020-05-14,0,0,0,0,0,1,0,0,1,0
2020-05-15,0,0,1,0,1,0,0,0,0,0
2020-05-16,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,1,0
2020-05-18,0,1,0,0,0,1,0,0,0,0
2020-05-19,1,0,0,0,0,0,0,0,1,0
2020-05-20,0,0,1,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,2,1,0,0,0,0,0
2020-05-23,0,1,0,1,0,0,1,0,1,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,1,0,0,1,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,0,1,1,0,0,0,0,0,0
2020-05-29,0,0,0,1,0,0,0,0,0,0
2020-05-30,0,1,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,1,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,1,0,0,1,0,0,0,0
2020-06-03,0,0,0,0,0,1,0,0,0,0
2020-06-04,0,0,0,0,0,1,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0
2020-06-06,1,0,0,0,0,0,0,0,0,0
2020-06-07,0,1,1,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,1,0,0,0,0
2020-06-09,0,0,0,0,1,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,0,0,0,0,0,0,0
2020-06-12,0,1,0,0,1,2,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,1,0,0,0,0,0,0,0
2020-06-15,0,0,0,0,2,0,0,0,0,0
2020-06-16,0,0,2,1,0,0,1,0,1,0
2020-06-17,0,0,1,0,0,0,2,0,0,0
2020-06-18,0,0,0,0,0,0,0,1,0,0
2020-06-19,0,0,0,1,0,0,1,0,0,0
2020-06-20,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,1,0,0,0,0,0,0
2020-06-22,0,0,0,2,0,0,1,0,0,0
2020-06-23,0,0,1,0,1,0,0,0,0,0
2020-06-24,0,0,1,1,1,3,1,0,0,0
2020-06-25,0,0,0,0,2,0,0,0,0,0
2020-06-26,0,0,0,0,2,0,0,0,0,0
2020-06-27,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,1,1,1,1,0,0,1,0
2020-06-29,0,0,0,2,0,2,2,0,0,0
2020-06-30,1,0,0,3,2,1,2,0,0,0
2020-07-01,0,1,2,1,1,0,1,0,0,0
2020-07-02,1,3,2,1,1,2,0,0,0,0
2020-07-03,0,2,0,1,2,0,1,0,0,0
2020-07-04,0,0,0,1,0,0,0,0,0,0
2020-07-05,0,0,1,0,1,0,0,0,0,0
2020-07-06,0,0,0,0,1,1,0,0,0,0
2020-07-07,0,0,2,1,1,0,1,0,0,0
2020-07-08,0,0,2,2,4,1,0,0,0,0
2020-07-09,0,0,1,1,1,0,1,0,0,0
2020-07-10,1,1,0,2,1,2,0,0,0,0
2020-07-11,0,2,0,2,0,2,1,0,0,0
2020-07-12,0,0,0,0,0,1,0,0,0,0
2020-07-13,0,0,1,3,0,2,1,0,1,0
2020-07-14,0,1,2,2,2,1,0,0,0,0
2020-07-15,0,1,1,2,1,1,2,0,0,0
2020-07-16,0,0,1,1,2,0,1,0,1,0
2020-07-17,1,0,1,2,1,1,1,0,0,0
2020-07-18,0,0,1,1,1,3,0,0,0,0
2020-07-19,0,0,1,2,0,0,0,0,0,0
2020-07-20,0,0,2,2,3,0,1,0,0,0
2020-07-21,0,0,0,0,1,0,1,0,0,0
2020-07-22,0,1,1,0,1,0,0,0,0,0
2020-07-23,0,0,1,2,1,0,0,1,0,0
2020-07-24,0,0,3,2,2,1,0,0,0,0
2020-07-25,0,0,2,0,1,2,0,0,1,0
2020-07-26,0,0,3,1,0,1,0,0,0,0
2020-07-27,0,1,4,7,1,0,0,0,0,0
2020-07-28,0,1,5,3,1,0,0,1,0,0
2020-07-29,1,2,8,0,4,4,2,0,0,0
2020-07-30,0,1,5,1,1,3,0,1,0,0
2020-07-31,0,0,2,1,1,3,1,0,0,0
2020-08-01,0,3,3,5,1,0,3,0,1,0
2020-08-02,0,1,0,2,1,1,0,0,0,0
2020-08-03,0,2,2,2,2,4,1,0,0,0
2020-08-04,0,0,1,5,0,0,0,0,0,0
2020-08-05,0,1,2,2,2,1,0,0,0,0
2020-08-06,0,1,7,0,2,1,0,0,0,0
2020-08-07,0,1,4,2,3,2,0,0,0,0
2020-08-08,0,0,4,1,0,2,0,2,0,0
2020-08-09,0,1,2,1,0,0,0,0,0,0
2020-08-10,0,0,7,4,2,1,0,0,0,0
2020-08-11,0,1,3,5,2,0,2,0,0,0
2020-08-12,0,1,5,3,1,0,0,0,0,0
2020-08-13,0,1,8,7,2,1,1,0,1,0
2020-08-14,0,0,8,2,0,0,0,1,0,0
2020-08-15,0,0,5,2,1,3,0,0,1,0
2020-08-16,0,1,6,4,2,0,0,0,0,0
2020-08-17,0,3,6,3,2,1,0,0,1,0
2020-08-18,0,4,6,4,0,4,1,1,1,0
2020-08-19,0,1,13,6,1,3,0,0,0,0
2020-08-20,0,1,16,3,2,4,2,0,1,0
2020-08-21,0,5,13,9,2,2,2,2,3,0
2020-08-22,1,4,5,4,3,2,2,0,0,0
2020-08-23,0,3,6,3,5,1,2,0,0,0
2020-08-24,1,1,17,4,3,3,1,2,1,0
2020-08-25,0,3,12,5,4,2,1,1,0,0
2020-08-26,0,4,16,7,3,2,1,0,2,0
2020-08-27,0,2,17,9,2,1,1,0,0,0
2020-08-28,0,1,27,8,6,3,2,1,2,0
2020-08-29,0,2,10,6,2,2,0,2,2,0
2020-08-30,0,3,5,4,4,4,0,0,0,0
2020-08-31,0,1,17,11,7,5,0,0,0,0
2020-09-01,0,7,15,16,9,4,2,0,0,0
2020-09-02,0,7,18,6,7,5,4,1,0,0
2020-09-03,0,5,22,13,7,8,2,0,2,0
2020-09-04,0,5,26,12,17,8,2,0,0,0
2020-09-05,0,5,11,7,9,9,2,0,2,0
2020-09-06,0,0,12,6,6,3,4,0,0,0
2020-09-07,1,6,17,10,9,7,2,0,4,0
2020-09-08,0,7,20,17,8,6,1,2,2,0
2020-09-09,1,9,28,12,6,7,6,2,3,0
2020-09-10,0,7,23,20,17,12,9,1,1,0
2020-09-11,0,15,19,25,15,9,7,0,2,0
2020-09-12,0,2,11,14,10,10,5,0,1,0
2020-09-13,0,5,8,12,17,8,4,3,0,0
2020-09-14,0,7,9,15,6,14,8,1,0,0
2020-09-15,0,7,18,16,20,6,6,2,2,0
2020-09-16,0,11,14,16,12,7,5,1,1,0
2020-09-17,0,22,24,16,10,11,4,3,3,0
2020-09-18,0,4,13,8,17,7,8,1,2,0
2020-09-19,0,10,14,8,6,1,1,1,1,0
2020-09-20,0,4,7,1,6,4,1,1,2,0
2020-09-21,1,8,16,10,8,5,1,1,1,0
2020-09-22,1,6,13,12,13,9,5,1,2,0
2020-09-23,0,12,13,9,8,9,6,2,2,0
2020-09-24,0,5,13,6,6,9,4,0,1,0
2020-09-25,0,5,8,7,8,4,2,3,8,0
2020-09-26,0,5,6,4,2,2,1,0,2,0
2020-09-27,0,2,5,2,5,3,0,0,0,0
2020-09-28,0,0,8,5,3,3,6,2,5,0
2020-09-29,0,1,14,15,7,3,4,1,6,0
2020-09-30,1,3,3,9,9,6,3,3,4,0
2020-10-01,0,8,16,5,4,6,4,1,3,0
2020-10-02,0,4,12,7,5,2,5,3,0,0
2020-10-03,0,4,11,10,6,11,3,2,3,0
2020-10-04,0,2,10,6,14,7,1,1,1,0
2020-10-05,0,4,15,10,10,9,5,3,2,0
2020-10-06,0,4,13,18,10,7,7,4,1,0
2020-10-07,1,7,24,20,15,14,7,4,0,0
2020-10-08,0,7,28,14,12,9,8,7,2,0
2020-10-09,0,10,24,20,21,17,4,5,6,0
2020-10-10,1,9,30,22,18,12,8,1,1,0
2020-10-11,0,5,15,12,15,11,7,5,2,0
2020-10-12,1,6,34,19,21,28,8,4,5,0
2020-10-13,0,8,28,23,35,21,14,13,13,0
2020-10-14,0,6,31,45,28,26,8,13,10,0
2020-10-15,0,18,54,49,44,33,18,10,12,0
2020-10-16,0,16,39,36,38,36,12,11,9,0
2020-10-17,0,13,36,30,28,26,10,9,6,0
2020-10-18,0,16,42,39,45,21,9,10,8,0
2020-10-19,2,19,41,53,47,43,30,15,15,0
2020-10-20,1,23,85,59,56,57,22,10,17,0
2020-10-21,1,34,86,80,69,68,37,21,15,3
2020-10-22,5,26,87,82,66,74,23,18,32,2
2020-10-23,3,35,111,108,80,84,42,32,32,1
2020-10-24,2,31,53,56,53,55,31,14,17,0
2020-10-25,0,12,67,61,50,45,18,18,11,0
2020-10-26,2,44,122,105,108,125,58,55,38,1
2020-10-27,5,59,120,119,104,98,67,57,126,0
2020-10-28,0,55,126,113,129,113,64,45,30,1
2020-10-29,5,47,156,115,102,97,56,34,42,1
2020-10-30,3,58,134,105,95,106,53,33,86,2
2020-10-31,4,34,86,76,75,82,31,28,76,1
2020-11-01,2,46,101,75,73,82,33,40,24,0
2020-11-02,5,54,155,166,162,148,80,51,45,1
2020-11-03,3,47,121,131,114,111,58,57,142,0
2020-11-04,3,62,160,115,106,115,67,48,138,0
2020-11-05,5,58,131,103,121,100,48,34,92,0
2020-11-06,7,40,123,92,117,100,63,31,50,0
2020-11-07,3,39,72,90,72,69,34,16,15,0
2020-11-08,3,23,60,54,59,52,24,10,13,0
2020-11-09,0,0,0,0,0,0,0,1,0,0
