date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,1,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,1,0,0,0,0
2020-03-02,0,0,1,0,0,0,0,1,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,1,0,0,0,0
2020-03-05,0,0,0,0,0,1,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,1,0,0,0,0,0
2020-03-08,0,0,1,0,0,2,1,2,0,0
2020-03-09,0,0,0,0,1,0,0,2,1,0
2020-03-10,0,0,1,0,1,1,0,1,1,0
2020-03-11,0,0,0,1,0,4,0,0,2,0
2020-03-12,0,0,3,6,2,5,1,3,5,0
2020-03-13,0,0,5,0,4,1,2,3,1,0
2020-03-14,1,0,4,4,3,3,5,1,0,0
2020-03-15,0,0,2,4,1,1,1,0,2,0
2020-03-16,0,1,13,3,5,14,9,8,6,0
2020-03-17,1,3,9,6,7,10,3,6,7,0
2020-03-18,0,2,14,8,12,20,10,11,4,0
2020-03-19,0,5,4,2,3,10,4,6,4,0
2020-03-20,0,3,8,15,11,26,17,6,9,0
2020-03-21,0,3,4,1,5,13,12,6,7,0
2020-03-22,0,2,5,4,6,5,5,7,3,0
2020-03-23,0,0,7,15,17,18,14,8,17,0
2020-03-24,0,2,13,10,13,24,11,10,16,2
2020-03-25,0,1,10,7,5,16,14,7,9,0
2020-03-26,0,1,8,7,15,21,11,10,3,0
2020-03-27,0,0,7,12,7,28,15,13,10,0
2020-03-28,0,1,1,6,7,13,2,2,12,1
2020-03-29,0,0,3,2,4,4,1,9,23,0
2020-03-30,0,1,9,15,7,13,12,21,22,0
2020-03-31,0,2,5,8,8,13,10,12,10,0
2020-04-01,0,0,11,8,9,16,6,7,12,0
2020-04-02,0,1,5,4,5,8,11,5,13,0
2020-04-03,1,0,7,6,13,8,7,4,4,0
2020-04-04,0,0,7,1,3,6,4,7,10,0
2020-04-05,0,0,3,3,1,4,2,1,1,0
2020-04-06,0,2,13,8,7,14,7,6,13,0
2020-04-07,0,0,2,7,5,10,4,6,10,0
2020-04-08,0,0,6,8,5,6,1,2,14,0
2020-04-09,1,2,4,2,5,5,4,3,1,0
2020-04-10,0,0,3,5,3,4,7,4,11,0
2020-04-11,0,1,4,1,3,5,1,5,6,0
2020-04-12,0,0,3,1,3,2,2,1,1,0
2020-04-13,0,0,3,2,4,2,0,0,3,0
2020-04-14,0,0,4,4,5,6,4,3,2,0
2020-04-15,0,0,3,2,1,3,2,0,2,0
2020-04-16,0,0,1,3,2,4,2,2,3,0
2020-04-17,0,0,2,2,1,3,2,1,6,0
2020-04-18,0,1,0,1,2,1,1,0,3,0
2020-04-19,0,0,0,1,0,2,0,1,8,0
2020-04-20,0,1,2,3,3,2,1,2,5,0
2020-04-21,0,0,1,3,1,1,1,0,1,0
2020-04-22,0,0,0,0,1,2,1,2,2,0
2020-04-23,0,0,1,2,2,2,2,1,8,0
2020-04-24,0,0,1,1,2,3,0,1,1,0
2020-04-25,0,0,1,0,0,2,0,0,2,0
2020-04-26,0,0,0,0,1,0,0,0,1,0
2020-04-27,2,0,0,5,2,5,0,1,3,0
2020-04-28,0,0,0,1,1,2,3,0,3,0
2020-04-29,0,0,2,1,1,1,1,1,0,0
2020-04-30,0,0,0,0,0,2,1,1,2,0
2020-05-01,0,0,1,1,0,2,0,0,0,0
2020-05-02,0,0,0,2,0,0,0,0,0,0
2020-05-03,0,0,1,0,1,0,0,0,0,0
2020-05-04,1,0,1,1,0,1,2,0,2,0
2020-05-05,0,0,1,0,0,1,0,0,0,0
2020-05-06,0,1,1,0,1,0,0,0,1,0
2020-05-07,0,0,0,0,0,1,0,0,0,0
2020-05-08,0,1,0,1,0,0,0,1,1,0
2020-05-09,0,1,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,1,0,0,0
2020-05-11,0,0,0,1,1,1,0,1,0,0
2020-05-12,0,0,0,0,0,0,0,0,0,0
2020-05-13,0,1,0,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,1,0,0,1,0
2020-05-15,1,2,2,1,1,1,0,1,0,0
2020-05-16,0,1,1,0,1,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,1,0,0,0,2,0
2020-05-19,0,0,0,0,0,1,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,1,0,0,0
2020-05-22,0,0,0,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,1,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,1,0,0,0,1,0
2020-05-26,0,0,1,0,0,2,0,0,0,0
2020-05-27,1,0,1,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,1,1,0,0,0,0
2020-06-01,0,0,0,0,0,0,1,0,0,0
2020-06-02,0,0,0,0,1,0,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,1,0,0,0,0,0,1,0,0
2020-06-05,0,0,1,0,0,1,0,0,0,0
2020-06-06,0,1,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,1,1,0,0,0,0,0
2020-06-08,0,0,1,1,0,0,3,0,0,0
2020-06-09,0,1,0,0,0,0,0,0,0,0
2020-06-10,0,0,1,0,1,1,1,0,0,0
2020-06-11,0,0,1,0,1,2,0,0,0,0
2020-06-12,0,0,0,1,1,1,1,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,2,1,1,0,1,0,0,0
2020-06-16,0,0,1,1,0,0,1,1,0,0
2020-06-17,0,0,0,0,0,1,0,0,0,0
2020-06-18,0,0,0,1,0,0,0,0,0,0
2020-06-19,0,1,4,0,1,1,1,0,0,0
2020-06-20,0,0,1,0,1,1,1,0,0,0
2020-06-21,0,0,1,0,0,0,1,0,0,0
2020-06-22,0,0,0,1,1,2,0,0,0,0
2020-06-23,0,0,0,4,0,1,0,1,0,0
2020-06-24,0,0,3,1,3,2,1,0,0,0
2020-06-25,0,0,0,4,1,2,0,0,0,0
2020-06-26,0,0,0,1,4,2,1,0,0,0
2020-06-27,0,1,1,1,0,1,0,0,0,0
2020-06-28,0,0,0,0,0,1,0,0,0,0
2020-06-29,0,0,2,2,0,1,2,1,0,0
2020-06-30,0,1,0,0,1,0,1,1,0,0
2020-07-01,0,0,0,2,0,0,1,0,0,0
2020-07-02,0,1,0,0,0,2,1,0,0,0
2020-07-03,0,0,0,2,1,1,0,0,0,0
2020-07-04,0,0,0,1,0,1,0,0,0,0
2020-07-05,0,0,1,0,1,0,0,0,0,0
2020-07-06,0,0,3,0,0,0,0,0,0,0
2020-07-07,0,0,1,0,1,0,1,0,0,0
2020-07-08,0,0,0,0,0,0,0,0,0,0
2020-07-09,0,1,0,0,1,0,0,0,0,0
2020-07-10,0,1,0,0,1,0,0,0,0,0
2020-07-11,0,1,1,0,1,1,1,0,0,0
2020-07-12,0,0,0,0,1,1,1,0,0,0
2020-07-13,0,0,2,1,0,0,0,0,0,0
2020-07-14,0,0,2,1,1,1,0,0,0,0
2020-07-15,1,0,0,0,0,1,0,0,0,0
2020-07-16,0,0,0,0,0,1,0,0,0,0
2020-07-17,0,0,0,0,0,1,2,0,0,0
2020-07-18,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,1,0,0,0,0
2020-07-20,0,0,2,0,0,0,0,1,0,0
2020-07-21,0,0,0,0,0,2,0,0,0,0
2020-07-22,0,0,1,1,1,0,0,0,0,0
2020-07-23,0,0,1,0,0,1,0,0,0,0
2020-07-24,0,0,0,1,0,0,1,0,0,0
2020-07-25,0,0,0,0,0,0,0,0,0,0
2020-07-26,0,0,0,0,1,0,0,0,0,0
2020-07-27,0,0,1,0,1,0,0,0,0,0
2020-07-28,0,0,2,2,1,0,0,0,0,0
2020-07-29,0,0,6,1,2,0,0,0,0,0
2020-07-30,0,0,6,1,0,0,0,1,0,0
2020-07-31,0,1,0,0,0,1,0,0,0,0
2020-08-01,0,1,2,0,0,0,0,0,0,0
2020-08-02,0,0,1,0,0,0,0,0,0,0
2020-08-03,0,1,0,1,0,1,0,0,0,0
2020-08-04,0,3,2,1,1,1,0,0,0,0
2020-08-05,0,1,1,1,0,1,0,0,0,0
2020-08-06,0,3,3,0,0,0,0,0,0,0
2020-08-07,0,2,2,1,1,0,0,0,1,0
2020-08-08,0,1,3,0,0,0,0,0,2,0
2020-08-09,0,0,1,1,0,1,0,0,0,0
2020-08-10,0,0,3,0,2,2,2,1,1,0
2020-08-11,0,1,2,2,1,0,1,0,0,0
2020-08-12,0,0,4,1,2,1,0,0,0,0
2020-08-13,0,0,5,1,1,0,1,0,0,0
2020-08-14,0,1,2,2,1,0,1,0,0,0
2020-08-15,0,0,1,0,1,0,2,1,0,0
2020-08-16,0,1,2,1,1,0,0,0,0,0
2020-08-17,0,0,3,1,1,2,2,0,0,0
2020-08-18,0,1,2,0,0,2,0,0,1,0
2020-08-19,0,0,5,1,0,1,1,0,0,0
2020-08-20,0,0,3,1,3,0,1,0,0,0
2020-08-21,0,2,5,4,3,2,0,0,1,0
2020-08-22,0,2,4,3,0,2,0,0,0,0
2020-08-23,0,1,0,0,1,1,0,0,0,0
2020-08-24,0,2,5,3,2,2,0,0,0,0
2020-08-25,1,1,5,2,0,1,2,0,2,0
2020-08-26,0,2,4,1,1,3,1,0,0,0
2020-08-27,0,0,4,3,1,1,0,0,0,0
2020-08-28,0,3,7,1,0,2,0,0,1,0
2020-08-29,0,0,0,0,0,1,1,0,0,0
2020-08-30,0,0,0,1,0,0,0,0,0,0
2020-08-31,0,0,3,0,0,4,0,0,0,0
2020-09-01,1,1,4,0,1,2,1,0,0,0
2020-09-02,0,1,6,3,1,1,1,0,0,0
2020-09-03,1,2,7,3,0,4,0,0,0,0
2020-09-04,0,1,7,3,2,0,0,0,0,0
2020-09-05,0,1,3,1,3,0,0,0,0,0
2020-09-06,0,0,0,0,0,2,0,0,0,0
2020-09-07,0,3,3,0,1,1,0,0,1,0
2020-09-08,0,1,1,2,3,1,0,0,1,0
2020-09-09,0,1,2,0,1,0,2,0,0,0
2020-09-10,1,1,2,0,2,6,1,0,0,0
2020-09-11,0,0,4,2,1,1,0,1,0,0
2020-09-12,0,1,3,3,0,1,1,1,0,0
2020-09-13,0,1,1,0,2,3,0,0,0,0
2020-09-14,0,2,7,3,3,2,1,0,1,0
2020-09-15,0,2,4,1,1,0,0,0,0,0
2020-09-16,0,4,4,4,0,4,3,0,1,0
2020-09-17,0,6,7,3,3,3,2,1,0,0
2020-09-18,0,3,2,1,2,1,2,0,0,0
2020-09-19,0,3,1,0,0,0,1,0,0,0
2020-09-20,0,1,0,3,0,2,0,0,0,0
2020-09-21,0,2,4,4,1,3,2,0,0,0
2020-09-22,0,4,2,1,2,4,2,0,0,0
2020-09-23,0,4,4,4,1,3,3,0,0,0
2020-09-24,0,0,4,3,2,2,3,0,1,0
2020-09-25,0,0,1,2,1,1,0,0,1,0
2020-09-26,0,0,1,0,1,1,2,0,0,0
2020-09-27,0,0,1,1,1,1,0,0,0,0
2020-09-28,0,1,0,4,3,3,2,2,0,0
2020-09-29,0,2,1,4,3,2,2,0,0,0
2020-09-30,0,2,7,3,6,2,4,2,0,0
2020-10-01,0,0,3,7,1,4,1,0,1,0
2020-10-02,0,1,8,12,4,2,2,0,2,0
2020-10-03,0,0,5,5,3,2,2,0,0,0
2020-10-04,0,2,3,3,2,4,1,0,1,0
2020-10-05,1,2,11,2,5,9,2,2,1,0
2020-10-06,0,2,14,11,7,13,3,9,2,0
2020-10-07,0,5,18,20,25,17,5,8,4,0
2020-10-08,0,3,19,16,18,21,4,9,4,0
2020-10-09,0,9,31,30,16,23,9,11,10,0
2020-10-10,0,8,12,12,8,16,5,10,10,0
2020-10-11,0,4,6,16,12,18,7,5,8,0
2020-10-12,2,18,26,38,28,39,20,28,30,0
2020-10-13,2,21,33,31,43,34,24,19,16,0
2020-10-14,0,33,55,49,43,45,35,26,14,0
2020-10-15,2,24,63,58,51,57,20,17,18,0
2020-10-16,3,44,71,63,65,65,34,30,31,0
2020-10-17,0,27,45,49,43,47,37,16,20,0
2020-10-18,0,9,29,40,39,34,20,15,12,0
2020-10-19,5,28,84,99,107,117,56,44,52,0
2020-10-20,3,49,79,86,111,87,80,40,24,0
2020-10-21,2,30,132,121,114,125,70,47,35,0
2020-10-22,3,40,121,122,125,126,61,44,52,0
2020-10-23,2,40,131,136,130,123,85,58,57,0
2020-10-24,2,29,94,89,85,96,65,38,24,0
2020-10-25,0,22,66,74,65,75,36,22,17,0
2020-10-26,7,55,137,138,158,159,104,83,41,0
2020-10-27,2,63,151,174,132,138,122,61,45,0
2020-10-28,2,59,132,115,123,157,77,65,61,0
2020-10-29,3,48,118,142,139,148,99,64,34,1
2020-10-30,6,56,122,146,135,131,96,74,58,0
2020-10-31,1,31,74,86,87,76,47,39,27,0
2020-11-01,0,15,51,59,66,62,30,16,31,0
2020-11-02,8,70,109,134,136,153,98,89,51,0
2020-11-03,3,49,115,86,112,121,164,71,59,0
2020-11-04,4,40,82,78,77,114,60,107,46,0
2020-11-05,1,49,94,77,94,86,50,43,129,0
2020-11-06,6,25,57,57,54,90,57,48,34,0
2020-11-07,1,18,47,46,35,49,32,27,22,0
2020-11-08,0,5,19,12,11,15,7,4,9,0
2020-11-09,0,0,0,0,0,0,0,0,0,0
