date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,1,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,1,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,0
2020-03-03,0,0,1,0,0,0,0,0,0,0
2020-03-04,0,0,1,0,0,0,0,0,0,0
2020-03-05,0,0,1,0,1,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,1,0,0
2020-03-07,0,0,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,1,0,0,0,0
2020-03-09,0,0,1,0,1,0,0,0,0,0
2020-03-10,0,0,0,0,1,0,0,0,0,0
2020-03-11,0,0,1,2,0,3,0,0,0,0
2020-03-12,0,0,0,2,0,2,0,0,0,0
2020-03-13,0,0,1,0,0,1,1,0,0,0
2020-03-14,0,0,1,1,2,2,1,0,1,0
2020-03-15,0,0,1,3,1,0,0,0,0,0
2020-03-16,0,1,3,2,2,6,1,0,1,0
2020-03-17,0,3,2,3,7,4,1,1,1,0
2020-03-18,1,2,3,2,6,6,1,1,0,0
2020-03-19,0,0,6,0,0,3,1,2,2,0
2020-03-20,0,2,2,5,4,5,1,0,0,0
2020-03-21,0,0,1,0,1,2,2,1,0,0
2020-03-22,0,0,2,0,2,1,0,1,0,0
2020-03-23,0,2,1,7,2,4,3,1,1,0
2020-03-24,1,1,4,7,5,3,2,1,1,0
2020-03-25,0,0,5,4,4,4,3,1,2,0
2020-03-26,0,0,2,1,7,4,4,2,1,0
2020-03-27,0,2,4,1,4,8,8,3,1,0
2020-03-28,0,0,3,0,3,4,0,0,1,0
2020-03-29,0,2,0,1,2,0,3,3,0,0
2020-03-30,0,1,8,4,2,11,3,1,2,0
2020-03-31,0,0,4,3,0,4,4,0,0,0
2020-04-01,0,2,2,2,3,8,0,1,2,0
2020-04-02,0,0,3,1,2,6,2,0,0,0
2020-04-03,0,0,3,0,3,4,7,2,3,0
2020-04-04,0,0,1,5,2,1,0,3,4,0
2020-04-05,0,0,1,0,0,2,1,0,1,0
2020-04-06,1,0,7,4,5,3,2,0,2,0
2020-04-07,0,0,2,5,2,0,2,2,4,0
2020-04-08,0,1,1,3,3,1,1,0,0,0
2020-04-09,0,1,1,1,2,0,1,3,6,0
2020-04-10,0,0,0,1,0,1,0,1,2,0
2020-04-11,0,0,0,0,0,0,0,0,0,0
2020-04-12,0,0,0,1,0,1,1,0,1,0
2020-04-13,0,0,3,0,0,2,0,0,0,0
2020-04-14,0,1,3,0,2,3,1,1,3,0
2020-04-15,0,0,3,0,2,2,0,1,1,0
2020-04-16,0,0,4,1,3,0,0,1,0,0
2020-04-17,0,0,2,1,1,5,1,1,1,0
2020-04-18,0,0,2,0,1,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0,0,0,0
2020-04-20,0,0,0,3,0,1,1,1,1,0
2020-04-21,0,1,0,1,3,0,0,0,1,0
2020-04-22,0,1,1,3,1,2,1,1,1,0
2020-04-23,0,0,1,2,0,1,0,0,2,0
2020-04-24,0,1,0,0,1,1,0,0,3,0
2020-04-25,0,0,1,0,0,1,0,0,1,0
2020-04-26,0,0,0,0,0,0,0,0,0,0
2020-04-27,0,0,0,3,0,0,0,0,0,0
2020-04-28,1,0,1,1,0,0,0,0,0,0
2020-04-29,0,0,0,0,0,1,1,0,1,0
2020-04-30,0,0,0,2,0,0,0,1,0,0
2020-05-01,0,0,0,0,1,0,1,0,0,0
2020-05-02,2,0,0,0,1,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0,0,0
2020-05-04,0,0,1,1,0,2,1,0,1,0
2020-05-05,1,1,0,0,0,0,0,0,0,0
2020-05-06,1,0,0,0,2,0,0,0,0,0
2020-05-07,0,0,1,0,1,0,0,0,0,0
2020-05-08,0,0,0,1,0,0,0,0,1,0
2020-05-09,0,0,0,1,1,0,0,0,2,0
2020-05-10,0,0,1,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,1,0,0,1,0
2020-05-12,0,1,1,1,1,0,0,0,0,0
2020-05-13,0,0,1,0,0,0,0,0,0,0
2020-05-14,0,0,0,2,0,0,0,0,0,0
2020-05-15,0,0,0,0,1,0,1,0,1,0
2020-05-16,0,0,0,0,0,0,0,0,1,0
2020-05-17,0,0,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,1,0,1,0
2020-05-19,0,1,0,0,0,0,1,0,0,0
2020-05-20,0,0,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,1,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,1,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0,0,0
2020-05-28,0,0,3,0,1,0,0,0,0,0
2020-05-29,0,0,1,0,0,0,0,0,0,0
2020-05-30,0,0,0,1,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,0,0,0,0,0,0,0,0
2020-06-02,0,0,1,0,0,1,0,0,0,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,0,0
2020-06-05,0,0,0,0,0,0,0,0,0,0
2020-06-06,0,0,0,0,0,0,1,0,0,0
2020-06-07,1,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,0,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0
2020-06-10,0,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,1,0,1,0,0,0,0,0
2020-06-12,0,0,0,1,0,0,0,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,1,0,0,0,0,1,0,0,0,0
2020-06-15,0,0,0,0,1,0,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,0,0,0,0,0,0,0,0
2020-06-18,0,0,2,1,0,0,0,0,0,0
2020-06-19,0,0,0,1,0,1,0,0,0,0
2020-06-20,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,1,0,0,0,1,0,0,0,0
2020-06-23,0,0,0,1,0,1,0,0,0,0
2020-06-24,0,1,2,1,0,0,0,0,0,0
2020-06-25,0,1,2,0,1,0,0,0,0,0
2020-06-26,0,1,0,0,2,0,0,0,0,0
2020-06-27,0,0,4,0,0,0,0,0,0,0
2020-06-28,0,0,0,2,0,0,0,0,0,0
2020-06-29,0,3,5,1,0,1,1,0,0,0
2020-06-30,0,1,2,1,1,0,0,0,0,0
2020-07-01,0,0,0,0,1,0,0,0,0,0
2020-07-02,0,0,1,2,1,0,0,0,0,0
2020-07-03,0,1,0,0,0,1,0,1,0,0
2020-07-04,0,0,0,1,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0
2020-07-06,0,0,0,0,1,1,0,0,0,0
2020-07-07,1,0,0,2,1,1,0,0,0,0
2020-07-08,1,0,1,0,2,0,0,0,0,0
2020-07-09,0,0,2,0,0,1,0,0,0,0
2020-07-10,0,1,4,1,1,1,1,0,0,0
2020-07-11,0,0,0,1,0,1,0,0,0,0
2020-07-12,0,0,0,1,0,0,0,0,0,0
2020-07-13,0,2,1,3,0,2,0,0,0,0
2020-07-14,0,0,1,1,0,1,4,0,0,0
2020-07-15,0,0,3,0,1,0,0,0,0,0
2020-07-16,0,0,2,0,2,0,0,0,0,0
2020-07-17,0,2,0,3,0,1,0,1,1,0
2020-07-18,0,0,1,1,0,0,0,0,0,0
2020-07-19,0,0,0,1,0,0,1,0,0,0
2020-07-20,0,0,0,0,3,3,2,0,0,0
2020-07-21,0,0,2,1,3,0,1,0,1,0
2020-07-22,0,0,3,2,0,1,0,0,0,0
2020-07-23,0,1,4,2,1,2,0,0,0,0
2020-07-24,0,0,3,0,0,1,0,2,0,0
2020-07-25,0,0,2,1,0,0,0,0,0,0
2020-07-26,0,0,0,0,0,0,0,0,0,0
2020-07-27,0,0,1,1,0,1,0,0,0,0
2020-07-28,0,2,1,2,1,2,0,1,0,0
2020-07-29,0,1,2,0,2,2,2,0,0,0
2020-07-30,0,0,3,0,2,2,0,0,1,0
2020-07-31,0,1,0,1,1,4,0,1,0,0
2020-08-01,0,0,0,0,0,1,1,0,0,0
2020-08-02,0,0,0,0,0,0,0,0,0,0
2020-08-03,0,2,1,1,3,2,1,0,0,0
2020-08-04,0,0,3,1,0,0,1,0,0,0
2020-08-05,0,1,2,1,0,3,1,0,0,0
2020-08-06,0,1,2,1,0,0,1,0,0,0
2020-08-07,0,0,3,0,0,1,0,0,0,0
2020-08-08,0,1,1,0,0,0,0,0,0,0
2020-08-09,0,2,1,0,0,0,0,0,0,0
2020-08-10,0,4,3,0,0,0,1,0,0,0
2020-08-11,0,2,4,1,0,2,1,0,0,0
2020-08-12,0,0,2,1,1,0,1,0,0,0
2020-08-13,0,0,0,1,2,0,1,0,0,0
2020-08-14,0,0,4,0,3,0,1,1,0,0
2020-08-15,0,1,2,0,0,0,1,0,0,0
2020-08-16,0,2,1,1,0,0,0,1,0,0
2020-08-17,0,0,5,2,1,1,1,0,0,0
2020-08-18,0,3,5,3,1,0,0,0,0,0
2020-08-19,0,2,4,1,0,1,1,0,0,0
2020-08-20,0,0,2,1,1,0,1,0,0,0
2020-08-21,1,1,3,1,1,3,2,0,1,0
2020-08-22,0,0,0,1,0,0,1,0,0,0
2020-08-23,0,0,0,1,1,1,1,0,0,0
2020-08-24,0,2,4,4,2,1,1,0,1,0
2020-08-25,0,1,1,1,4,1,0,0,1,0
2020-08-26,0,1,3,4,3,3,2,1,0,0
2020-08-27,0,4,3,1,3,2,0,0,0,0
2020-08-28,0,1,5,0,1,1,4,0,0,0
2020-08-29,0,3,1,1,0,1,0,0,0,0
2020-08-30,0,0,0,2,0,0,0,0,0,0
2020-08-31,0,1,5,2,1,1,0,0,0,0
2020-09-01,0,0,1,4,3,2,0,1,1,0
2020-09-02,1,0,6,1,3,2,1,0,0,0
2020-09-03,0,3,4,1,1,3,1,0,0,0
2020-09-04,0,1,4,2,2,0,1,2,2,0
2020-09-05,0,0,0,1,2,1,0,0,0,0
2020-09-06,0,0,1,0,1,2,0,1,1,0
2020-09-07,0,2,3,1,2,2,1,0,0,0
2020-09-08,0,2,2,0,0,2,0,1,0,0
2020-09-09,0,1,2,2,1,2,1,0,0,0
2020-09-10,0,6,2,1,0,1,0,0,0,0
2020-09-11,0,0,6,0,0,4,1,2,0,0
2020-09-12,0,1,1,1,0,1,0,0,0,0
2020-09-13,0,1,0,2,2,1,0,0,0,0
2020-09-14,0,0,2,2,0,2,1,0,1,0
2020-09-15,0,0,0,2,0,1,0,3,1,0
2020-09-16,0,2,2,2,1,4,1,0,0,0
2020-09-17,0,1,2,3,1,1,2,2,0,0
2020-09-18,0,0,4,0,0,2,0,0,1,0
2020-09-19,0,1,3,0,2,1,0,0,0,0
2020-09-20,0,0,0,1,0,0,0,0,0,0
2020-09-21,0,1,6,1,3,0,3,0,0,0
2020-09-22,0,0,2,3,1,1,1,4,0,0
2020-09-23,0,0,0,2,2,2,2,0,0,0
2020-09-24,0,0,0,0,1,0,0,0,0,0
2020-09-25,0,0,3,1,1,2,0,1,1,0
2020-09-26,0,0,0,1,0,0,0,0,0,0
2020-09-27,0,0,0,0,0,0,0,0,0,0
2020-09-28,0,0,0,0,1,1,2,0,0,0
2020-09-29,0,0,1,1,1,1,1,1,0,0
2020-09-30,0,3,3,3,0,1,0,1,1,0
2020-10-01,0,0,2,2,0,0,1,0,0,0
2020-10-02,0,0,2,1,2,3,1,1,1,0
2020-10-03,0,1,2,3,1,3,0,0,0,0
2020-10-04,0,0,1,1,0,0,1,0,0,0
2020-10-05,0,1,6,4,1,3,5,0,0,0
2020-10-06,0,2,2,4,2,1,2,0,0,0
2020-10-07,0,5,9,2,5,8,2,1,1,0
2020-10-08,0,0,9,7,4,8,1,1,0,0
2020-10-09,0,2,6,1,6,4,1,1,1,0
2020-10-10,0,4,2,4,2,7,1,0,0,0
2020-10-11,1,2,4,2,2,5,6,2,0,0
2020-10-12,0,9,3,10,8,10,8,5,6,0
2020-10-13,0,6,10,14,8,16,7,3,0,0
2020-10-14,1,4,7,10,17,8,8,3,0,0
2020-10-15,1,4,17,11,12,15,10,7,0,0
2020-10-16,2,12,10,16,11,17,11,5,1,0
2020-10-17,0,5,11,6,6,10,4,3,2,0
2020-10-18,1,1,5,6,9,2,2,1,1,0
2020-10-19,0,10,29,27,30,21,10,8,3,0
2020-10-20,0,7,23,22,29,26,12,9,3,0
2020-10-21,0,9,35,24,32,23,12,7,6,0
2020-10-22,2,14,38,36,25,27,17,4,7,0
2020-10-23,0,18,36,28,35,26,11,11,10,0
2020-10-24,0,14,23,17,20,10,8,4,4,0
2020-10-25,0,4,13,12,9,5,2,4,3,0
2020-10-26,3,18,53,37,32,34,29,10,12,0
2020-10-27,4,24,40,46,28,38,17,17,16,0
2020-10-28,3,31,38,39,35,41,16,13,4,0
2020-10-29,1,24,29,35,31,47,21,6,12,1
2020-10-30,2,15,38,38,37,28,21,10,13,0
2020-10-31,1,12,21,24,13,24,9,6,5,0
2020-11-01,0,6,14,9,12,10,4,1,4,0
2020-11-02,3,28,42,33,46,39,22,20,20,0
2020-11-03,2,11,44,40,39,34,15,8,13,0
2020-11-04,2,23,35,43,41,31,16,10,11,0
2020-11-05,0,21,44,31,37,43,22,3,14,1
2020-11-06,0,22,35,37,31,36,9,10,9,0
2020-11-07,2,12,8,17,14,10,12,8,7,0
2020-11-08,2,1,9,14,10,11,5,6,4,0
2020-11-09,3,17,46,30,37,37,26,8,16,0
2020-11-10,0,5,13,14,4,10,4,6,3,0
2020-11-11,0,0,0,0,0,0,0,0,0,0
