date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,1,0,0,0,0,0,0,0
2020-02-27,0,0,1,1,0,1,0,0,0,0
2020-02-28,0,0,2,2,1,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,1,0,0,0,0,0,0
2020-03-02,0,1,0,0,0,0,0,1,0,0
2020-03-03,0,0,1,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,1,0,0,0,0
2020-03-05,0,0,0,1,0,2,1,0,0,0
2020-03-06,0,0,6,3,3,4,1,0,0,0
2020-03-07,0,0,0,2,1,3,0,0,0,0
2020-03-08,0,0,0,1,2,2,1,0,3,0
2020-03-09,1,0,4,5,11,3,1,3,1,0
2020-03-10,0,1,1,7,2,3,2,2,0,0
2020-03-11,0,0,4,6,6,9,4,2,2,0
2020-03-12,0,0,6,9,7,9,6,5,7,0
2020-03-13,0,2,10,16,13,11,9,6,5,0
2020-03-14,0,4,8,9,13,13,12,2,6,0
2020-03-15,0,0,1,6,4,7,4,5,4,0
2020-03-16,0,2,18,20,24,21,23,9,7,0
2020-03-17,1,6,17,34,31,36,20,14,10,0
2020-03-18,0,4,23,17,26,34,14,10,14,0
2020-03-19,0,4,5,8,16,11,3,5,9,0
2020-03-20,0,2,9,12,7,14,6,4,7,0
2020-03-21,0,4,13,22,25,38,15,18,15,2
2020-03-22,0,0,6,16,16,16,12,11,10,0
2020-03-23,0,2,26,30,42,36,17,13,20,1
2020-03-24,0,3,12,22,26,35,13,14,14,0
2020-03-25,0,3,17,32,26,21,8,19,48,0
2020-03-26,0,2,22,34,44,42,17,18,26,0
2020-03-27,0,3,10,20,28,38,23,20,101,0
2020-03-28,2,5,26,35,41,38,33,37,57,0
2020-03-29,0,2,14,16,18,17,16,22,14,0
2020-03-30,2,4,23,40,54,36,41,23,52,0
2020-03-31,2,4,24,42,58,67,26,44,114,0
2020-04-01,0,5,38,33,54,73,32,14,68,0
2020-04-02,1,11,26,48,52,51,17,19,76,0
2020-04-03,2,4,27,33,36,40,13,12,87,0
2020-04-04,1,5,10,16,25,27,12,17,72,0
2020-04-05,1,3,17,10,14,15,4,4,11,0
2020-04-06,1,5,31,29,31,40,21,15,96,0
2020-04-07,1,5,29,21,37,30,17,20,51,0
2020-04-08,1,4,17,18,21,27,9,10,118,0
2020-04-09,0,0,14,18,27,16,8,10,56,0
2020-04-10,3,1,8,6,11,10,1,4,42,0
2020-04-11,0,1,8,4,13,9,4,4,34,0
2020-04-12,0,0,5,4,4,10,2,5,16,0
2020-04-13,0,3,10,12,7,9,3,2,14,0
2020-04-14,0,2,11,8,18,9,8,4,29,0
2020-04-15,1,5,19,11,7,12,2,2,24,0
2020-04-16,0,3,9,14,10,15,3,2,27,1
2020-04-17,0,3,11,15,12,12,5,0,16,0
2020-04-18,0,1,7,3,3,8,1,1,10,0
2020-04-19,1,0,4,4,3,2,0,1,2,0
2020-04-20,2,4,7,4,6,7,2,1,8,0
2020-04-21,0,0,4,2,6,6,2,1,26,0
2020-04-22,1,0,2,5,3,4,4,0,16,0
2020-04-23,0,2,3,3,8,9,4,1,5,0
2020-04-24,2,0,3,6,2,2,3,2,1,0
2020-04-25,0,0,0,3,1,4,0,0,4,0
2020-04-26,0,1,2,3,2,1,1,0,0,0
2020-04-27,0,0,5,1,4,2,4,0,4,0
2020-04-28,3,0,3,1,3,4,0,0,7,0
2020-04-29,0,1,3,3,3,3,2,0,1,0
2020-04-30,0,1,2,1,1,2,1,1,5,0
2020-05-01,0,1,4,3,4,2,3,0,1,0
2020-05-02,0,0,2,1,0,1,0,1,0,0
2020-05-03,0,0,0,1,0,2,1,0,0,0
2020-05-04,0,0,2,3,3,1,1,0,2,0
2020-05-05,1,0,3,3,1,3,0,2,0,0
2020-05-06,1,0,1,0,1,2,0,0,2,0
2020-05-07,0,0,1,0,1,0,0,0,0,0
2020-05-08,1,0,0,0,0,1,0,0,0,0
2020-05-09,1,0,0,0,1,2,0,0,0,0
2020-05-10,0,0,0,0,0,0,0,0,1,0
2020-05-11,0,1,0,0,2,0,0,0,2,0
2020-05-12,0,0,2,1,0,2,0,0,0,0
2020-05-13,0,0,0,1,0,0,2,0,0,0
2020-05-14,0,0,1,1,2,3,1,0,1,0
2020-05-15,0,1,0,0,0,1,1,0,1,0
2020-05-16,0,0,0,1,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,1,0,0,0,0
2020-05-18,1,0,1,1,0,0,0,0,0,0
2020-05-19,0,1,1,0,0,1,0,0,0,0
2020-05-20,0,1,2,0,2,0,1,0,0,0
2020-05-21,0,0,0,0,0,2,0,0,0,0
2020-05-22,1,0,0,1,0,0,0,0,0,0
2020-05-23,0,0,0,1,0,0,0,1,1,0
2020-05-24,0,0,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,1,0,0,0,0
2020-05-26,0,1,1,0,0,1,0,1,0,0
2020-05-27,0,0,0,0,1,1,0,0,0,0
2020-05-28,0,0,0,2,1,1,0,1,0,0
2020-05-29,0,0,1,1,2,0,0,0,0,0
2020-05-30,0,0,0,0,1,3,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0
2020-06-01,0,0,1,0,0,0,0,0,0,0
2020-06-02,0,1,0,0,0,0,1,0,1,0
2020-06-03,0,0,0,0,0,0,0,0,0,0
2020-06-04,0,0,0,0,0,0,0,0,1,0
2020-06-05,0,0,0,1,0,0,1,0,0,0
2020-06-06,0,0,1,0,0,0,1,0,1,0
2020-06-07,0,0,0,0,0,0,0,0,0,0
2020-06-08,0,0,0,0,0,1,0,0,0,0
2020-06-09,0,0,0,0,0,0,0,0,0,0
2020-06-10,1,0,0,0,0,0,0,0,0,0
2020-06-11,0,0,0,1,0,0,0,0,0,0
2020-06-12,0,0,0,1,0,0,1,0,0,0
2020-06-13,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,0,0,1,0,1,0,0,0,0
2020-06-16,0,0,0,0,0,0,0,0,0,0
2020-06-17,0,0,1,0,0,0,0,0,0,0
2020-06-18,0,0,0,1,0,1,0,0,0,0
2020-06-19,0,1,0,0,1,0,1,0,0,0
2020-06-20,1,0,1,0,0,0,0,0,1,0
2020-06-21,0,0,0,0,0,0,0,0,0,0
2020-06-22,0,0,1,1,0,0,0,0,0,0
2020-06-23,1,0,1,0,0,1,0,0,0,0
2020-06-24,0,1,1,1,0,0,0,0,0,0
2020-06-25,0,0,0,1,1,0,0,0,0,0
2020-06-26,0,0,1,0,0,1,0,0,0,0
2020-06-27,0,0,0,0,0,1,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0
2020-06-29,0,0,3,0,0,4,1,0,0,0
2020-06-30,0,0,1,0,0,0,1,1,0,0
2020-07-01,0,0,0,0,0,0,0,0,0,0
2020-07-02,0,1,2,1,2,1,0,0,0,0
2020-07-03,0,0,0,0,0,0,0,0,0,0
2020-07-04,0,0,2,0,1,0,0,0,1,0
2020-07-05,0,0,0,1,2,0,0,0,0,0
2020-07-06,0,0,0,1,3,2,1,0,0,0
2020-07-07,0,0,2,2,2,0,0,0,0,0
2020-07-08,0,0,0,3,1,3,0,0,0,0
2020-07-09,0,0,1,2,0,2,0,0,0,0
2020-07-10,1,2,1,3,0,2,0,0,0,0
2020-07-11,0,1,2,0,0,0,1,0,0,0
2020-07-12,0,0,1,0,1,0,0,0,0,0
2020-07-13,0,0,1,3,2,0,2,0,0,0
2020-07-14,0,1,1,4,2,1,0,0,0,0
2020-07-15,1,1,6,10,5,0,3,0,1,0
2020-07-16,2,0,3,6,2,2,2,0,0,0
2020-07-17,0,0,1,5,2,0,0,0,0,0
2020-07-18,0,0,5,1,3,1,3,0,1,0
2020-07-19,0,0,3,2,0,0,1,0,0,0
2020-07-20,0,0,3,4,1,1,2,0,0,0
2020-07-21,1,3,10,8,6,5,1,2,0,0
2020-07-22,0,3,9,5,3,2,4,1,0,0
2020-07-23,1,3,21,16,6,3,3,0,0,0
2020-07-24,0,5,19,9,1,5,3,2,1,0
2020-07-25,2,2,16,6,6,1,2,1,0,0
2020-07-26,1,2,12,4,4,1,1,1,0,0
2020-07-27,0,9,21,9,9,3,4,0,1,0
2020-07-28,1,5,25,13,10,2,2,0,1,0
2020-07-29,0,3,30,8,12,2,3,0,2,0
2020-07-30,2,5,17,7,7,6,3,2,0,0
2020-07-31,1,2,12,12,8,3,2,0,0,0
2020-08-01,0,4,10,5,3,4,0,1,0,0
2020-08-02,0,1,7,5,7,8,0,0,0,0
2020-08-03,0,4,6,9,8,4,1,0,1,0
2020-08-04,0,4,12,12,3,9,1,1,0,0
2020-08-05,1,5,8,7,4,5,0,0,0,0
2020-08-06,0,3,12,10,8,3,2,0,0,0
2020-08-07,1,6,12,6,7,8,2,0,0,0
2020-08-08,0,2,9,6,8,2,1,0,0,0
2020-08-09,0,5,12,11,4,2,0,0,0,0
2020-08-10,0,8,17,15,5,4,3,1,0,0
2020-08-11,1,3,17,14,7,6,3,0,0,0
2020-08-12,1,9,9,5,7,5,1,0,2,0
2020-08-13,0,4,10,13,3,8,2,0,1,0
2020-08-14,0,3,8,8,3,6,0,2,0,0
2020-08-15,0,6,8,4,4,4,0,0,0,0
2020-08-16,0,3,4,4,8,3,2,0,1,0
2020-08-17,2,4,6,7,4,9,4,1,0,0
2020-08-18,0,2,8,11,10,3,1,1,1,0
2020-08-19,1,5,7,8,11,1,3,2,1,0
2020-08-20,0,1,16,14,7,1,3,0,3,0
2020-08-21,0,5,7,4,7,2,2,0,0,0
2020-08-22,1,3,7,3,9,3,2,0,0,0
2020-08-23,0,0,6,4,4,2,3,0,0,0
2020-08-24,0,3,11,10,3,4,1,1,1,0
2020-08-25,0,13,14,6,6,4,0,2,0,0
2020-08-26,0,8,13,10,6,6,2,0,4,0
2020-08-27,1,7,10,9,7,9,1,1,2,0
2020-08-28,7,5,10,8,7,7,3,1,3,0
2020-08-29,3,2,16,10,9,4,1,0,1,0
2020-08-30,5,2,9,7,4,6,2,0,0,0
2020-08-31,5,3,18,17,9,5,0,0,2,0
2020-09-01,6,1,13,16,4,9,1,1,1,0
2020-09-02,3,0,16,14,14,10,0,0,1,0
2020-09-03,6,5,14,10,6,10,2,1,1,0
2020-09-04,1,5,12,14,2,8,3,1,1,0
2020-09-05,1,3,11,5,8,5,1,2,2,0
2020-09-06,1,3,3,3,4,2,2,0,0,0
2020-09-07,5,4,6,11,8,8,5,1,5,0
2020-09-08,1,2,11,12,7,4,3,1,2,0
2020-09-09,2,4,13,10,13,13,6,1,2,0
2020-09-10,1,3,12,6,9,2,0,3,7,0
2020-09-11,1,3,10,15,15,12,3,1,4,0
2020-09-12,0,4,12,7,8,2,4,0,2,0
2020-09-13,0,4,8,2,16,4,3,1,0,0
2020-09-14,0,1,13,17,12,15,3,2,7,0
2020-09-15,0,5,8,14,15,7,5,2,2,0
2020-09-16,0,7,16,16,15,12,1,7,1,0
2020-09-17,0,8,12,13,14,4,5,1,0,0
2020-09-18,1,6,16,13,15,10,6,5,1,0
2020-09-19,1,3,12,14,8,3,2,2,1,0
2020-09-20,0,3,11,10,5,6,2,0,0,0
2020-09-21,0,4,14,9,16,9,7,5,2,0
2020-09-22,1,6,9,17,11,14,2,3,2,0
2020-09-23,1,5,15,15,8,7,5,1,0,0
2020-09-24,0,3,10,16,8,2,4,3,3,0
2020-09-25,1,4,5,6,8,6,5,2,4,0
2020-09-26,0,2,2,7,4,7,1,1,2,0
2020-09-27,1,0,7,6,1,3,0,1,3,0
2020-09-28,1,2,11,11,8,8,5,1,2,0
2020-09-29,1,2,14,19,8,15,4,2,5,0
2020-09-30,0,1,15,17,7,7,2,1,4,0
2020-10-01,1,3,16,19,10,15,7,1,6,0
2020-10-02,1,1,16,10,12,13,7,8,13,1
2020-10-03,1,3,8,18,10,5,8,3,4,0
2020-10-04,1,2,6,10,6,3,2,2,2,0
2020-10-05,1,6,32,25,29,10,9,7,4,0
2020-10-06,1,7,23,24,28,19,12,7,4,0
2020-10-07,0,9,25,36,31,18,18,6,3,0
2020-10-08,0,10,40,31,32,29,9,2,5,0
2020-10-09,1,19,45,38,47,40,11,7,5,0
2020-10-10,1,12,24,30,38,33,12,5,8,0
2020-10-11,0,8,22,20,19,26,7,2,6,0
2020-10-12,2,31,50,58,56,40,12,17,6,0
2020-10-13,4,29,45,65,70,38,22,11,15,0
2020-10-14,3,25,63,69,70,51,19,12,9,0
2020-10-15,4,21,69,66,63,53,29,16,16,0
2020-10-16,4,39,91,77,83,66,32,30,25,0
2020-10-17,3,27,41,63,32,37,18,5,4,0
2020-10-18,3,13,31,38,28,29,8,7,11,0
2020-10-19,5,37,97,120,86,79,42,32,38,0
2020-10-20,3,35,112,146,111,116,57,48,31,0
2020-10-21,9,33,118,160,134,118,46,49,29,0
2020-10-22,3,54,170,170,156,152,81,54,50,0
2020-10-23,7,50,193,210,163,163,74,58,88,0
2020-10-24,6,38,89,82,82,66,40,32,38,0
2020-10-25,6,28,72,75,74,66,29,14,42,0
2020-10-26,11,94,250,216,224,229,124,60,74,0
2020-10-27,13,98,230,257,248,228,110,94,115,0
2020-10-28,8,96,238,276,213,212,92,61,62,0
2020-10-29,6,95,277,222,213,190,103,80,254,0
2020-10-30,10,89,206,237,217,194,83,63,55,0
2020-10-31,9,59,85,116,86,89,46,36,71,0
2020-11-01,8,33,65,73,66,68,20,18,25,0
2020-11-02,9,84,211,266,240,242,102,60,142,0
2020-11-03,12,122,246,253,260,243,119,100,221,2
2020-11-04,7,100,227,205,204,197,92,70,157,0
2020-11-05,8,105,173,187,200,160,82,57,188,0
2020-11-06,17,93,149,164,213,176,85,115,341,0
2020-11-07,6,56,72,84,97,67,38,27,152,0
2020-11-08,5,31,56,54,43,42,19,18,39,0
2020-11-09,18,85,150,171,201,194,84,75,76,0
2020-11-10,4,50,83,106,107,110,49,32,25,0
2020-11-11,0,1,0,0,1,0,1,2,0,0
