date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0,0,0,0,0,0,0,1,0,0
2020-02-25,0,0,1,0,0,0,0,0,0,0
2020-02-26,2,0,3,1,2,1,1,0,0,0
2020-02-27,0,0,3,4,0,3,0,2,0,0
2020-02-28,0,0,4,3,2,1,0,0,0,0
2020-02-29,0,1,3,5,2,1,1,0,0,0
2020-03-01,0,0,2,3,1,2,2,0,1,0
2020-03-02,0,2,10,5,4,4,2,3,1,0
2020-03-03,0,3,5,6,7,4,5,2,2,0
2020-03-04,1,1,4,13,8,15,10,4,5,0
2020-03-05,1,1,3,12,11,19,9,4,3,0
2020-03-06,1,2,12,10,15,13,10,8,2,0
2020-03-07,0,0,5,5,16,12,2,4,5,0
2020-03-08,1,0,6,8,15,17,9,7,6,0
2020-03-09,1,3,14,33,36,32,23,33,17,0
2020-03-10,2,6,23,35,38,42,31,23,12,0
2020-03-11,1,6,53,56,50,76,37,35,20,0
2020-03-12,3,5,46,58,68,71,43,26,37,0
2020-03-13,2,12,49,64,79,77,58,56,35,1
2020-03-14,3,12,56,55,72,92,41,49,40,0
2020-03-15,1,1,27,60,50,70,47,36,36,2
2020-03-16,5,22,116,136,180,251,150,117,96,2
2020-03-17,7,30,120,173,185,224,153,103,109,1
2020-03-18,4,46,155,172,201,248,168,112,113,3
2020-03-19,2,24,101,117,134,185,109,83,99,3
2020-03-20,5,38,127,156,173,275,158,133,130,2
2020-03-21,2,22,74,87,97,160,95,84,78,8
2020-03-22,1,14,62,85,77,104,75,88,70,0
2020-03-23,2,40,162,203,237,334,208,144,194,2
2020-03-24,3,28,133,156,192,272,177,122,177,3
2020-03-25,2,24,130,151,162,200,155,111,306,2
2020-03-26,2,24,119,125,191,256,177,155,272,1
2020-03-27,2,32,130,151,181,301,186,157,301,0
2020-03-28,4,12,65,92,103,144,98,119,241,1
2020-03-29,1,14,46,46,80,74,53,77,114,0
2020-03-30,3,32,159,161,193,282,167,157,438,1
2020-03-31,6,35,116,127,191,237,149,134,302,3
2020-04-01,1,25,128,112,159,236,123,85,425,2
2020-04-02,2,21,105,136,141,195,103,85,276,0
2020-04-03,7,27,120,112,150,186,122,79,430,0
2020-04-04,3,12,66,59,78,79,41,71,180,1
2020-04-05,1,5,50,34,41,54,20,21,137,0
2020-04-06,5,25,138,124,140,181,105,142,295,2
2020-04-07,2,17,108,97,117,137,73,81,229,0
2020-04-08,2,22,104,80,89,102,64,55,287,1
2020-04-09,2,15,67,63,85,90,58,56,273,1
2020-04-10,4,12,45,38,47,47,24,34,116,0
2020-04-11,0,7,26,23,43,44,27,27,128,0
2020-04-12,2,4,22,28,25,47,22,20,105,0
2020-04-13,1,5,43,33,30,35,19,22,89,0
2020-04-14,2,14,53,52,74,76,44,28,159,0
2020-04-15,1,18,61,45,44,48,29,20,120,0
2020-04-16,2,11,56,58,39,45,20,25,108,2
2020-04-17,1,11,44,51,42,46,19,18,100,1
2020-04-18,0,5,19,15,20,26,12,7,52,0
2020-04-19,2,3,11,19,7,19,2,8,21,0
2020-04-20,2,9,45,37,42,50,22,16,80,0
2020-04-21,0,7,40,32,37,36,13,13,59,0
2020-04-22,1,4,28,17,17,26,23,16,35,0
2020-04-23,0,8,35,30,28,45,17,11,62,0
2020-04-24,3,10,29,27,22,27,14,11,28,0
2020-04-25,1,2,12,18,11,18,5,5,16,0
2020-04-26,1,5,12,11,8,9,5,5,6,0
2020-04-27,7,4,23,33,28,33,12,4,37,0
2020-04-28,4,4,24,25,22,28,14,4,30,0
2020-04-29,2,2,22,13,18,23,12,11,16,1
2020-04-30,2,8,14,13,11,18,6,4,27,0
2020-05-01,1,4,22,11,14,10,10,4,7,0
2020-05-02,3,3,10,8,8,6,5,3,1,0
2020-05-03,0,0,7,4,4,2,4,0,2,0
2020-05-04,2,1,18,16,17,16,7,6,8,0
2020-05-05,3,7,11,12,10,14,5,8,3,0
2020-05-06,4,3,14,14,13,12,4,3,13,0
2020-05-07,1,1,7,9,10,7,3,4,4,0
2020-05-08,2,6,5,4,9,10,7,4,13,0
2020-05-09,1,5,5,5,5,5,6,0,7,0
2020-05-10,0,2,2,4,0,3,1,0,4,0
2020-05-11,2,4,5,7,8,10,7,2,3,0
2020-05-12,1,6,7,6,6,9,2,2,4,0
2020-05-13,2,7,4,5,3,5,7,2,2,0
2020-05-14,2,3,3,5,5,8,1,4,7,0
2020-05-15,1,3,5,5,8,6,7,4,2,0
2020-05-16,0,1,3,1,3,2,0,2,3,0
2020-05-17,0,0,2,2,1,4,2,0,1,0
2020-05-18,2,2,8,3,4,5,4,2,5,0
2020-05-19,1,4,6,1,8,9,3,1,3,0
2020-05-20,0,2,7,2,4,5,2,3,4,0
2020-05-21,1,1,2,0,1,3,2,1,0,0
2020-05-22,1,0,3,5,4,3,1,3,0,0
2020-05-23,0,1,3,2,1,2,2,1,4,0
2020-05-24,1,0,4,2,1,0,1,0,1,0
2020-05-25,0,1,2,2,4,3,1,0,2,0
2020-05-26,2,2,6,1,1,6,0,1,0,0
2020-05-27,4,4,5,2,6,1,2,1,0,0
2020-05-28,0,6,7,7,3,4,0,1,2,0
2020-05-29,1,1,5,5,3,2,2,2,0,0
2020-05-30,0,1,1,1,4,3,0,0,1,0
2020-05-31,0,0,0,1,2,4,0,0,0,0
