date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,0.0,0.0,0.0,-2.0832248320399978,0.0,0.0,0.0,0.0,0.0,
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.041275442687001,
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7261957275190625,
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.671434873022875,
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.601417158541111,
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.150797151679375,
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.240779334076479,0.0,
2020-03-23,0.0,0.0,0.0,0.0,0.0,-2.646899620302249,0.0,0.0,-4.201062868905834,
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,-3.3237774730981764,-3.6349537149226965,-5.671434873022875,
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4737891875971645,-5.626423485141741,
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5602302676694855,
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,-3.693086081220196,-3.8772839625842095,-5.401366545736072,
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.361944457907236,-6.0495305312244,
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.523497956348244,-5.368024776935232,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.308093291760233,-6.001518384151191,
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6349537149226965,-5.776461444745522,
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.513895015438907,
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,-3.4622682011439334,-3.231069968820175,-4.7261957275190625,
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,-2.769814560915147,0.0,-4.7261957275190625,
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7261957275190625,
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.308093291760233,-5.4613817295775835,
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.15423281705451,-4.096036297183188,
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.907962971938157,-5.401366545736072,
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.423302476615131,-2.700683272868036,
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.231069968820175,-4.01010546577375,
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6349537149226965,-2.1005314344529173,
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.150797151679375,
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.881488016468167,
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.201062868905834,
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.150797151679375,
