date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,0.0,0.0,0.0,0.0,0.0,-8.207485226526595,0.0,0.0,0.0,
2020-03-11,0.0,0.0,-18.06305205102836,-10.168493314560727,0.0,0.0,0.0,0.0,0.0,
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-13,0.0,-14.111515985630849,0.0,0.0,0.0,0.0,0.0,-16.05651894669236,0.0,
2020-03-14,0.0,0.0,-22.143489813994687,0.0,-9.769441187964047,-8.207485226526595,0.0,0.0,-26.709401709401714,
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-16,0.0,0.0,0.0,0.0,-9.769441187964047,-8.207485226526595,0.0,0.0,0.0,
2020-03-17,0.0,0.0,0.0,0.0,-9.769441187964047,0.0,0.0,0.0,0.0,
2020-03-18,0.0,0.0,0.0,0.0,0.0,-8.962218299085864,0.0,0.0,0.0,
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-20,0.0,0.0,0.0,-10.28383381324558,0.0,0.0,0.0,0.0,0.0,
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.113037893384714,0.0,
2020-03-22,0.0,0.0,-11.071744906997344,-10.28383381324558,0.0,0.0,0.0,0.0,0.0,
2020-03-23,0.0,0.0,0.0,0.0,0.0,-8.207485226526595,0.0,0.0,0.0,
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-25,0.0,0.0,-11.071744906997344,0.0,0.0,0.0,-10.8038029386344,0.0,0.0,
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,-11.455313978572121,-16.05651894669236,0.0,
2020-03-27,0.0,0.0,-12.042034700685576,0.0,-9.769441187964047,-8.207485226526595,0.0,0.0,0.0,
2020-03-28,0.0,0.0,0.0,-10.28383381324558,-9.769441187964047,0.0,0.0,0.0,0.0,
2020-03-29,0.0,0.0,-11.071744906997344,0.0,0.0,0.0,0.0,-16.05651894669236,0.0,
2020-03-30,0.0,0.0,-11.071744906997344,-10.28383381324558,0.0,0.0,0.0,0.0,0.0,
2020-03-31,0.0,0.0,-11.071744906997344,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-01,0.0,0.0,0.0,-10.401174720909662,0.0,0.0,0.0,0.0,0.0,
2020-04-02,0.0,0.0,-11.071744906997344,0.0,0.0,-8.554355186586506,-10.8038029386344,0.0,0.0,
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-04,0.0,0.0,0.0,0.0,0.0,-8.207485226526595,0.0,0.0,0.0,
2020-04-05,0.0,0.0,-11.071744906997344,-10.28383381324558,-9.769441187964047,0.0,0.0,0.0,0.0,
2020-04-06,0.0,0.0,0.0,-10.28383381324558,0.0,0.0,0.0,0.0,0.0,
2020-04-07,0.0,0.0,0.0,-10.28383381324558,0.0,0.0,0.0,0.0,0.0,
2020-04-08,0.0,0.0,0.0,-10.28383381324558,0.0,0.0,0.0,0.0,0.0,
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-15,0.0,0.0,0.0,0.0,-9.769441187964047,0.0,0.0,0.0,0.0,
2020-04-16,0.0,0.0,-11.071744906997344,-10.28383381324558,0.0,0.0,0.0,0.0,0.0,
