date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8457598178713694,
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4185512326968883,
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.673207460334279,
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-19,0.0,0.0,0.0,0.0,0.0,-1.970105766469652,0.0,0.0,-3.7943464238284936,
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5862389684765845,-5.415760681227991,
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.497852282311761,
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.446569299403632,
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.42382703243819,
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.797917369558029,
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.7112183115182225,-3.449082111938915,
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6177041542642685,-9.087065679056513,
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6053995915316066,-8.876442419874081,
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6441355579907087,-6.248612544564506,
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2585088942907454,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1896386854357428,0.0,
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.265551911774386,
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.734224261911965,
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.53584502069026,
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.6580030904718308,0.0,-4.071643800790916,
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.745485857024374,
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.542363680725896,-6.537821969255097,
2020-04-08,0.0,0.0,0.0,0.0,0.0,-0.7948167729883756,0.0,-1.6177041542642685,-7.671936677250376,
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.127826849045328,
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.909729273618036,
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.872776359202297,0.0,
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6177041542642685,-5.127826849045328,
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.797917369558029,
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6177041542642685,0.0,
