date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6762056747180222,
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7161559042757372,0.0,
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8913489311383466,
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4896493097056949,
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.337297390670621,
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2913681320599912,
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.051491116881654,0.0,
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1827170631983375,
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3499822045692141,-1.74435646844341,
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.897365845656513,
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,-0.5030079877668457,-1.4810923727156102,-0.6590327581997897,
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8277984551614581,-1.8676145131783137,
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6875953818735051,
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3862446457874413,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1576108316919371,-1.3004778527773218,
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.24965177902692448,0.0,-1.0066116443101958,
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3321095687373194,
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6884152542131998,
2020-04-05,0.0,0.0,0.0,0.0,0.0,-0.2299410890929744,0.0,0.0,-1.627451267408086,
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3650183597433467,
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1631355249813846,
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.9770129006871173,-0.5637744056748777,-0.9016075662906964,
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.473088657814044,
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5197090694286521,
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,-0.17564398645631368,-0.8277984551614581,-1.0162267174914945,
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7144750542462552,
2020-04-13,0.0,0.0,0.0,0.0,0.0,-0.2299410890929744,0.0,0.0,-1.2340806137680556,
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4502790369453974,-2.181294698978059,
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3524113494360444,
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.3353386585112305,0.0,-2.0120546636441,
