date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1273430721524757,0.0,
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,0.0,0.0,0.0,-0.33152440911697295,0.0,0.0,0.0,0.0,-0.17466589031763813,
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4636723274495735,
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,-0.030922460600171897,0.0,-0.6763800421337096,
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27779589307534847,
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037689371802611976,-0.8361002398297067,
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24204918650046783,-0.45533592523483024,
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15453611675240925,0.0,
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.740205317605536,0.0,-3.198512707484973,
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,-0.0958300841661876,-0.01580388993893732,-1.9657039448930025,
2020-03-19,0.0,0.0,0.0,0.0,0.0,-0.11401342163877227,0.0,0.0,-2.5295176740316307,
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0824847758462264,-2.8365569941726134,
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1893300965001365,-0.9476881537738993,
2020-03-22,0.0,0.0,0.0,0.0,0.0,-0.2087786105942399,0.0,-1.4158901692768378,-2.4038502368626755,
2020-03-23,0.0,0.0,0.0,0.0,0.0,-0.4765503850276021,0.0,-0.5255809904874345,-3.2624132234011722,
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016646975215957108,-3.2002466234487814,
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,-0.15193390967820636,-0.7693055917319301,-3.5280057853569957,
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,-0.13861799200431038,-0.20102295598719294,-2.109586622044184,
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,-0.040053007221426115,-1.1291097376450536,-4.809413573384873,
2020-03-28,0.0,0.0,0.0,-0.007505776888396973,0.0,0.0,-0.10011959885361109,-1.3838741347858572,-4.312814156849214,
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,-0.7764976438905753,-0.8851171270325774,-3.1134962760417637,
2020-03-30,0.0,0.0,0.0,0.0,0.0,-0.3928616146795453,0.0,-1.0878421397957099,-3.8315030291992223,
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,-0.5085440808518028,-1.0937544355385573,-4.458842839515706,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6881311308562792,-3.0649508600907516,
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,-0.42623694749350494,-2.180803766364631,-3.1788270042070352,
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,-0.07799786127855343,-0.062654183955384,-4.168777317114382,
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,-0.488192673257284,-1.0536278357976006,-3.6636406999092572,
2020-04-05,0.0,0.0,0.0,0.0,0.0,-0.02248232236802033,-0.37553109525904166,-0.0711946530179376,-3.5577210042270915,
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,-0.16444779324599723,-1.128153289273838,-3.4907871935322974,
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.015384202246139768,-0.7867908206012583,-3.509258556019522,
2020-04-08,0.0,0.0,0.0,0.0,0.0,-0.04499058161775585,-0.5346436347987733,-0.9619150903938958,-3.465463325564138,
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9873139068093842,-4.536616415745552,
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1957608114799139,-2.585726598862353,
