date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5275625029675391,0.8465966813410092,0.0,
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2729525826773373,0.0,
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5617030837499297,
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3365133848198812,
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4505783172702163,
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3825196184749325,
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.067053925437376,0.0,0.1426779800793004,
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363374115490998,
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19125980923746624,
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762461286028202,
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1643099147888782,0.7489374449999064,
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9011566345404326,
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6473665130250142,
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11801262026961164,0.11491426246877204,
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.07923145488759037,0.0,1.094711293354477,
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.16399545404601384,0.5692183777845452,0.9667580253000575,
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13874936869037247,0.12739729866767907,
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.13240017688663633,0.32541066826334836,0.5397826565133549,
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49089632760457325,1.9454874418785626,
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.03296889516616653,0.0,0.0,1.0176213863310553,
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.1958401591788814,0.0,0.9750218892414134,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17918931171593477,1.0377965503642665,
2020-04-02,0.0,0.0,0.0,0.09107094882268031,0.0,0.0,0.17406773671906686,1.1022836561646592,1.661615355984474,
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.5050320127167061,0.27749873738074493,1.307418554361156,
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27749873738074493,1.3460535392795248,
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.44190301112711783,0.6913286645604187,2.4635168550743827,
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861183035842438,0.9400896532165951,
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.28480859438414413,1.066988185773313,2.2243477100340323,
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.2019520686960157,0.3227628499959655,0.9011566345404326,
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6913286645604187,0.42270310179536097,
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30503521631572367,1.5411229392296697,
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5459051653546746,1.329292284787579,
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0918696869778497,
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.5195641895577989,0.0,1.184562777878685,
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9817926552091465,0.8055382364834712,
