date,0 - 9,10 - 19,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80+,Unbekannt
2020-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-19,0.0,0.0,0.0,0.0,0.5830087917725799,0.0,0.0,0.0,1.971647705987894,
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7620905668429636,0.0,
2020-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8149479109949544,
2020-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7893889236825622,
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.2760379717833985,0.0,2.1056621254553494,0.0,
2020-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2536198272511878,
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.528350909368791,
2020-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1056621254553494,4.315925766076823,
2020-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1579628830384117,
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8071676487206393,10.141693952652778,
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.28228970828181543,0.49050865747780453,0.0,2.6958537768911413,
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9611595428725214,1.6593654586486128,
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0528310627276747,2.1579628830384117,
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4215029461619175,1.528350909368791,
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.7262058648385644,0.0,0.0,
2020-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0528310627276747,5.914943117963682,
2020-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9485580670303975,
2020-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8708449808849528,1.528350909368791,
2020-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1579628830384117,
2020-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1579628830384117,
2020-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0528310627276747,0.0,
2020-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.971647705987894,
2020-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.7262058648385644,1.0528310627276747,0.0,
2020-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.315925766076823,
2020-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.7262058648385644,1.0528310627276747,4.315925766076823,
